model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20180101      2458119.0      265.      3.113357E-001      5.309517E+002      6.606279E+002      5.311530E+002      6.621321E+002      2.938480E-003      4.008137E-003      8.101254E-003      4.663596E-004      3.406446E+000
20180102      2458120.0     5922.      3.114780E-001      5.306830E+002      6.604767E+002      5.312471E+002      6.622686E+002      2.962714E-003      1.512227E-003      1.051735E-002      7.867477E-004      1.776957E+000
20180103      2458121.0       90.      3.116250E-001      5.305350E+002      6.603734E+002      5.312288E+002      6.621080E+002      2.947496E-003      2.753322E-003      9.022965E-003      1.382562E-003      3.125443E+000
20180104      2458122.0       69.      3.114919E-001      5.310879E+002      6.606074E+002      5.312781E+002      6.624275E+002      2.947627E-003      2.496691E-003      9.367816E-003      1.274271E-003      1.498473E+000
20180105      2458123.0      256.      3.112476E-001      5.304944E+002      6.611552E+002      5.312599E+002      6.622363E+002      2.945199E-003      2.996784E-003      8.844868E-003      5.252215E-004      2.237252E+000
20180106      2458124.0     6707.      3.113962E-001      5.305560E+002      6.605396E+002      5.312109E+002      6.623158E+002      2.962031E-003      1.538765E-003      1.048131E-002      8.384961E-004      1.829670E+000
20180110      2458128.0     7344.      3.114159E-001      5.306666E+002      6.605305E+002      5.312187E+002      6.623062E+002      2.961024E-003      1.608197E-003      1.037030E-002      8.144003E-004      2.058578E+000
20180112      2458130.0     1708.      3.114474E-001      5.307382E+002      6.604365E+002      5.312693E+002      6.623572E+002      2.947807E-003      2.664160E-003      9.147827E-003      6.669177E-004      1.781435E+000
20180113      2458131.0     4485.      3.113932E-001      5.306514E+002      6.605862E+002      5.312253E+002      6.622769E+002      2.959873E-003      1.688715E-003      1.025195E-002      8.263064E-004      2.163491E+000
20180114      2458132.0     1771.      3.114679E-001      5.305142E+002      6.606131E+002      5.312325E+002      6.622784E+002      2.946893E-003      2.676649E-003      9.149588E-003      6.154953E-004      2.170093E+000
20180115      2458133.0     3652.      3.114484E-001      5.306386E+002      6.607100E+002      5.311968E+002      6.622587E+002      2.950552E-003      2.515944E-003      9.249208E-003      7.836773E-004      2.037687E+000
20180117      2458135.0    10170.      3.114790E-001      5.306544E+002      6.604379E+002      5.312318E+002      6.622955E+002      2.963223E-003      1.469723E-003      1.059371E-002      8.858550E-004      1.869285E+000
20180118      2458136.0      637.      3.111991E-001      5.310104E+002      6.611950E+002      5.311405E+002      6.621965E+002      2.940513E-003      3.555301E-003      8.385063E-003      1.158413E-003      2.411206E+000
20180120      2458138.0     2724.      3.113860E-001      5.307037E+002      6.606337E+002      5.311752E+002      6.622991E+002      2.940586E-003      3.357404E-003      8.592295E-003      8.146910E-004      2.136904E+000
20180121      2458139.0     9842.      3.114545E-001      5.306769E+002      6.604897E+002      5.312108E+002      6.623015E+002      2.963891E-003      1.446264E-003      1.062324E-002      9.078427E-004      1.906582E+000
20180122      2458140.0      826.      3.112980E-001      5.306627E+002      6.609897E+002      5.312803E+002      6.622297E+002      2.921563E-003      5.892065E-003      7.304426E-003      8.370960E-004      2.457439E+000
20180123      2458141.0    10001.      3.114446E-001      5.306761E+002      6.605466E+002      5.312090E+002      6.622706E+002      2.962523E-003      1.518105E-003      1.051144E-002      9.179759E-004      1.988168E+000
20180124      2458142.0     9610.      3.114782E-001      5.307253E+002      6.604815E+002      5.311818E+002      6.623033E+002      2.962135E-003      1.547384E-003      1.046322E-002      9.476667E-004      1.974382E+000
20180125      2458143.0     4912.      3.114741E-001      5.306792E+002      6.605572E+002      5.312100E+002      6.623022E+002      2.962032E-003      1.563372E-003      1.042943E-002      8.570860E-004      1.982131E+000
20180126      2458144.0     3091.      3.114540E-001      5.307053E+002      6.605796E+002      5.312078E+002      6.622820E+002      2.956181E-003      1.955337E-003      9.896724E-003      8.388281E-004      2.135770E+000
20180127      2458145.0     1460.      3.114395E-001      5.306854E+002      6.607153E+002      5.311739E+002      6.622825E+002      2.959737E-003      1.706507E-003      1.021940E-002      1.102688E-003      2.147045E+000
20180128      2458146.0     1301.      3.114874E-001      5.307510E+002      6.605295E+002      5.311740E+002      6.623262E+002      2.960134E-003      1.652076E-003      1.031043E-002      1.011541E-003      1.961608E+000
