model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      5.452870E-011      4.785960E-009     -1.922506E-008      1.685434E-010      1.958989E-009     -9.730825E-016     -9.932001E-015      2.570939E-014      1.261865E-012     -5.416257E-010
      4.785960E-009      4.119323E-004      2.112174E-006     -8.052140E-005     -2.413614E-006      5.628480E-011     -1.268048E-010     -6.296444E-010      1.395360E-008     -4.295402E-006
     -1.922506E-008      2.112174E-006      4.823861E-004     -2.250131E-006     -9.693110E-005      4.219222E-011      3.600638E-010     -9.377663E-010      1.222176E-009      1.662505E-005
      1.685434E-010     -8.052140E-005     -2.250131E-006      3.612005E-005      6.322681E-007     -2.790332E-011      1.180138E-010      1.511545E-010      8.329224E-009     -2.854959E-006
      1.958989E-009     -2.413614E-006     -9.693110E-005      6.322681E-007      4.555778E-005     -2.142795E-011      5.427854E-012      1.360023E-010      1.090344E-009      1.567677E-005
     -9.730825E-016      5.628480E-011      4.219222E-011     -2.790332E-011     -2.142795E-011      8.660669E-015     -1.445452E-014     -6.280028E-014      2.903839E-016      5.112748E-012
     -9.932001E-015     -1.268048E-010      3.600638E-010      1.180138E-010      5.427854E-012     -1.445452E-014      1.938384E-012     -1.880860E-012      5.884637E-013     -4.385933E-010
      2.570939E-014     -6.296444E-010     -9.377663E-010      1.511545E-010      1.360023E-010     -6.280028E-014     -1.880860E-012      2.864393E-012     -2.665885E-013      4.150387E-010
      1.261865E-012      1.395360E-008      1.222176E-009      8.329224E-009      1.090344E-009      2.903839E-016      5.884637E-013     -2.665885E-013      5.145425E-011     -6.332389E-010
     -5.416257E-010     -4.295402E-006      1.662505E-005     -2.854959E-006      1.567677E-005      5.112748E-012     -4.385933E-010      4.150387E-010     -6.332389E-010      9.322195E-005
