model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181100      2458422.0       33.      1.    5.00E+000      0.4550      0.4605      0.0029     7.223    -0.067     8.766     8.684     8.510
20181101      2458423.0      578.      1.    5.00E+000      0.3599      0.6257      0.0029     9.023    -0.615     9.611     9.077     8.932
20181102      2458424.0        0.      0.    5.00E+000      0.2551      0.8198      0.0029     8.300    -0.300     9.208     8.935     8.860
20181103      2458425.0      744.      0.    5.00E+000      0.1635      1.0255      0.0029     8.300    -0.300     9.397     9.111     8.907
20181104      2458426.0     1830.      0.    5.00E+000      0.0897      1.2347      0.0029     8.300    -0.300     9.380     9.114     8.886
20181105      2458427.0     7182.      1.    5.00E+000      0.0374      1.4426      0.0029     8.143    -0.214    10.561    10.078     9.523
20181106      2458428.0     2279.      0.    5.00E+000      0.0083      1.6005      0.0029     8.300    -0.300    10.087     9.500     8.969
20181107      2458429.0     8473.      1.    5.00E+000      0.0029      1.6756      0.0029     8.300    -0.300    10.501     9.995     9.587
20181108      2458430.0     9338.      1.    5.00E+000      0.0200      1.5613      0.0029     7.909    -0.154    10.565    10.128     9.548
20181109      2458431.0     4955.      1.    5.00E+000      0.0574      1.4605      0.0029     8.574    -0.530    10.354     9.756     9.295
20181110      2458432.0     9712.      1.    5.00E+000      0.1119      1.3567      0.0029     7.971    -0.199    10.595    10.099     9.449
20181111      2458433.0     9822.      1.    5.00E+000      0.1804      1.2609      0.0029     7.899    -0.153    10.570    10.098     9.458
20181112      2458434.0     8283.      1.    5.00E+000      0.2596      1.1733      0.0029     7.772    -0.083    10.498    10.003     9.399
20181113      2458435.0     2606.      1.    5.00E+000      0.3465      1.0974      0.0029     7.754    -0.171    10.286     9.585     9.013
20181114      2458436.0     7487.      1.    5.00E+000      0.4383      1.0362      0.0029     7.754    -0.053    10.422     9.880     9.276
20181115      2458437.0     1150.      1.    5.00E+000      0.5327      0.9854      0.0029     8.000    -0.297     9.336     9.035     8.880
20181116      2458438.0     8297.      1.    5.00E+000      0.6265      0.9245      0.0029     7.992    -0.205    10.400     9.863     9.363
20181117      2458439.0     7037.      1.    5.00E+000      0.7171      0.8536      0.0029     8.001    -0.208    10.272     9.825     9.296
20181118      2458440.0     3054.      1.    5.00E+000      0.8013      0.7753      0.0029     7.933    -0.276     9.920     9.405     8.732
20181119      2458441.0        0.      0.    5.00E+000      0.8755      0.6924      0.0029     8.300    -0.300     8.377     8.265     8.207
20181120      2458442.0     3440.      1.    5.00E+000      0.9356      0.6080      0.0029     8.676    -0.132     9.381     8.615     8.373
20181121      2458443.0      247.      1.    5.00E+000      0.9774      0.5267      0.0029     8.014    -0.218     8.686     8.400     8.286
20181122      2458444.0       77.      0.    5.00E+000      0.9972      0.4536      0.0029     8.300    -0.300     8.735     8.443     8.118
20181123      2458445.0        0.      0.    5.00E+000      0.9920      0.3947      0.0029     8.300    -0.300     8.233     8.044     7.976
20181124      2458446.0        0.      0.    5.00E+000      0.9606      0.3564      0.0029     8.300    -0.300     8.149     8.059     8.090
20181125      2458447.0      580.      1.    5.00E+000      0.9037      0.3434      0.0029     7.949    -0.102     8.303     8.332     8.321
20181126      2458448.0      461.      0.    5.00E+000      0.8249      0.3571      0.0029     8.300    -0.300     8.395     8.377     8.381
20181127      2458449.0     1026.      1.    5.00E+000      0.7286      0.3957      0.0029     7.812    -0.063     9.009     8.707     8.673
20181128      2458450.0     9332.      1.    5.00E+000      0.6209      0.4557      0.0029     8.001    -0.187    10.440    10.027     9.485
20181129      2458451.0     9628.      1.    5.00E+000      0.5081      0.5318      0.0029     7.947    -0.159    10.492    10.048     9.478
20181130      2458452.0        0.      0.    5.00E+000      0.4220      2.2270      0.0029     8.300    -0.300     9.201     8.850     8.568
