model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181100      2458422.0       33.      1.    5.00E+000      0.4550      0.4605      0.0029     0.108     0.079     0.397     0.353     0.492
20181101      2458423.0      578.      1.    5.00E+000      0.3599      0.6257      0.0029     0.031     0.018     0.624     0.523     0.629
20181102      2458424.0        0.      0.    5.00E+000      0.2551      0.8198      0.0029     0.000     0.000     0.487     0.425     0.581
20181103      2458425.0      744.      0.    5.00E+000      0.1635      1.0255      0.0029     0.000     0.000     0.609     0.521     0.593
20181104      2458426.0     1830.      0.    5.00E+000      0.0897      1.2347      0.0029     0.000     0.000     0.834     0.663     0.653
20181105      2458427.0     7182.      1.    5.00E+000      0.0374      1.4426      0.0029     0.006     0.003     0.616     0.584     0.675
20181106      2458428.0     2279.      0.    5.00E+000      0.0083      1.6005      0.0029     0.000     0.000     0.820     0.605     0.549
20181107      2458429.0     8473.      1.    5.00E+000      0.0029      1.6756      0.0029     0.007     0.004     0.237     0.389     0.572
20181108      2458430.0     9338.      1.    5.00E+000      0.0200      1.5613      0.0029     0.004     0.003     0.247     0.330     0.565
20181109      2458431.0     4955.      1.    5.00E+000      0.0574      1.4605      0.0029     0.010     0.006     0.503     0.450     0.578
20181110      2458432.0     9712.      1.    5.00E+000      0.1119      1.3567      0.0029     0.004     0.003     0.152     0.272     0.518
20181111      2458433.0     9822.      1.    5.00E+000      0.1804      1.2609      0.0029     0.004     0.003     0.145     0.266     0.519
20181112      2458434.0     8283.      1.    5.00E+000      0.2596      1.1733      0.0029     0.005     0.003     0.184     0.249     0.496
20181113      2458435.0     2606.      1.    5.00E+000      0.3465      1.0974      0.0029     0.009     0.005     0.378     0.382     0.512
20181114      2458436.0     7487.      1.    5.00E+000      0.4383      1.0362      0.0029     0.006     0.004     0.206     0.241     0.472
20181115      2458437.0     1150.      1.    5.00E+000      0.5327      0.9854      0.0029     0.016     0.011     0.637     0.568     0.638
20181116      2458438.0     8297.      1.    5.00E+000      0.6265      0.9245      0.0029     0.005     0.003     0.258     0.346     0.526
20181117      2458439.0     7037.      1.    5.00E+000      0.7171      0.8536      0.0029     0.005     0.003     0.313     0.383     0.537
20181118      2458440.0     3054.      1.    5.00E+000      0.8013      0.7753      0.0029     0.009     0.006     0.673     0.674     0.584
20181119      2458441.0        0.      0.    5.00E+000      0.8755      0.6924      0.0029     0.000     0.000     0.424     0.437     0.519
20181120      2458442.0     3440.      1.    5.00E+000      0.9356      0.6080      0.0029     0.014     0.007     1.082     0.904     0.678
20181121      2458443.0      247.      1.    5.00E+000      0.9774      0.5267      0.0029     0.022     0.012     0.680     0.639     0.506
20181122      2458444.0       77.      0.    5.00E+000      0.9972      0.4536      0.0029     0.000     0.000     0.641     0.707     0.525
20181123      2458445.0        0.      0.    5.00E+000      0.9920      0.3947      0.0029     0.000     0.000     0.445     0.531     0.442
20181124      2458446.0        0.      0.    5.00E+000      0.9606      0.3564      0.0029     0.000     0.000     0.425     0.349     0.402
20181125      2458447.0      580.      1.    5.00E+000      0.9037      0.3434      0.0029     0.016     0.008     0.850     0.669     0.496
20181126      2458448.0      461.      0.    5.00E+000      0.8249      0.3571      0.0029     0.000     0.000     0.729     0.584     0.505
20181127      2458449.0     1026.      1.    5.00E+000      0.7286      0.3957      0.0029     0.015     0.009     0.753     0.615     0.587
20181128      2458450.0     9332.      1.    5.00E+000      0.6209      0.4557      0.0029     0.004     0.002     0.226     0.344     0.473
20181129      2458451.0     9628.      1.    5.00E+000      0.5081      0.5318      0.0029     0.004     0.002     0.210     0.329     0.445
20181130      2458452.0        0.      0.    5.00E+000      0.4220      2.2270      0.0029     0.000     0.000     0.257     0.356     0.478
