model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000     -1.534608E-004      2.901489E-005      4.074325E-005      5.160704E-005      8.637462E-005      3.057566E-005
           0.087266                NaN                NaN                NaN      1.793140E-004      3.485604E-005      3.058603E-005
           0.174533                NaN                NaN                NaN      2.960430E-004      2.829614E-005      3.117728E-005
           0.261799                NaN                NaN                NaN      3.147831E-004      2.564007E-005      3.233862E-005
           0.349066     -2.965883E-005      4.353123E-005      4.255836E-005      1.074526E-004      2.832302E-005      3.386454E-005
           0.436332                NaN                NaN                NaN     -2.271651E-005      2.573386E-005      3.553521E-005
           0.523599                NaN                NaN                NaN     -1.024174E-004      2.460041E-005      3.713989E-005
           0.610865                NaN                NaN                NaN     -1.496118E-004      2.724849E-005      3.849914E-005
           0.698132     -1.294910E-005      3.407096E-005      4.297517E-005     -1.108714E-004      3.080251E-005      3.950008E-005
           0.785398                NaN                NaN                NaN     -1.532380E-004      3.221113E-005      4.016693E-005
           0.872665                NaN                NaN                NaN      4.362399E-005      3.685795E-005      4.079429E-005
           0.959931                NaN                NaN                NaN      1.119238E-004      6.337775E-005      4.214728E-005
           1.047198      6.987794E-005      3.979924E-005      4.277736E-005      5.988284E-004      1.143698E-004      4.560485E-005
           1.134464                NaN                NaN                NaN      1.740434E-003      1.893967E-004      5.293960E-005
           1.221731                NaN                NaN                NaN      1.148320E-003      1.867537E-004      6.569388E-005
           1.308997                NaN                NaN                NaN      2.761670E-003      7.302092E-004      8.476098E-005
           1.396263     -3.041195E-005      3.529714E-005      4.156835E-005      4.734363E-004      1.142589E-003      1.105207E-004
           1.483530                NaN                NaN                NaN                NaN                NaN      1.431467E-004
           1.570796                NaN                NaN                NaN                NaN                NaN      1.827627E-004
           1.745329     -5.546568E-006      3.753993E-005      4.025448E-005                NaN                NaN                NaN
           2.094395     -9.109463E-008      3.627253E-005      3.942916E-005                NaN                NaN                NaN
           2.443461     -7.573787E-005      3.899144E-005      3.932324E-005                NaN                NaN                NaN
           2.792527     -1.703305E-004      3.527410E-005      3.974865E-005                NaN                NaN                NaN
           3.141593     -2.213309E-004      3.154766E-005      4.068194E-005                NaN                NaN                NaN
           3.490659     -3.121489E-005      3.567359E-005      4.168284E-005                NaN                NaN                NaN
           3.839725      1.099565E-004      2.338119E-005      4.147536E-005                NaN                NaN                NaN
           4.188790      2.659209E-004      2.657290E-005      4.096725E-005                NaN                NaN                NaN
           4.537856      2.113616E-004      2.783195E-005      3.962916E-005                NaN                NaN                NaN
           4.886922      1.196032E-004      3.572661E-005      3.823913E-005                NaN                NaN                NaN
           5.235988      4.161346E-005      2.861580E-005      3.743219E-005                NaN                NaN                NaN
           5.585054     -8.566870E-005      2.020490E-005      3.765336E-005                NaN                NaN                NaN
           5.934120     -1.576632E-004      3.003983E-005      3.884987E-005                NaN                NaN                NaN
           6.283185     -1.534608E-004      2.901489E-005      4.074325E-005                NaN                NaN                NaN
