model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20190600      2458634.0     1084.      9.541316E-005      2.230112E-001      2.403439E-001      5.501503E-002      6.073290E-002      9.527379E-007      2.753157E-005      2.034467E-005      6.229869E-005      7.118497E-002
20190603      2458637.0       34.      1.256482E-003      2.704293E+000      3.156957E+000      5.061029E-001      5.563316E-001      8.833417E-006      1.124740E-001      9.066833E-004      3.070758E-004      1.065572E-001
20190605      2458639.0       32.      3.923031E-004      1.077355E+000      1.271150E+000      2.515562E-001      3.233829E-001      4.209552E-006      1.802968E-004      1.988960E-004      6.776767E-005      3.077150E-001
20190606      2458640.0     2304.      5.783356E-005      1.355836E-001      1.529807E-001      3.399024E-002      3.874718E-002      5.829249E-007      1.409537E-005      1.270456E-005      4.445012E-005      4.325977E-002
20190607      2458641.0      753.      1.258215E-004      2.944519E-001      3.204387E-001      7.261549E-002      8.046187E-002      1.325821E-006      5.402524E-005      2.559446E-005      9.183615E-005      7.390037E-002
20190608      2458642.0     1864.      6.944819E-005      1.629607E-001      1.804947E-001      4.005225E-002      4.448414E-002      6.980997E-007      1.773952E-005      1.540471E-005      4.806312E-005      5.333738E-002
20190609      2458643.0     1042.      1.023759E-004      2.382500E-001      2.663132E-001      5.899083E-002      6.730035E-002      1.065158E-006      4.035582E-005      1.942689E-005      7.082946E-005      9.427091E-002
20190610      2458644.0      140.      2.848425E-004      6.953689E-001      7.479886E-001      1.837586E-001      1.934275E-001      3.021401E-006      9.659561E-005      4.773376E-005      9.669348E-005      1.632488E-001
20190611      2458645.0      924.      1.030531E-004      2.465969E-001      2.750052E-001      5.870834E-002      6.493890E-002      1.032667E-006      2.867220E-005      2.218346E-005      6.297103E-005      6.596733E-002
20190612      2458646.0      500.      1.275515E-004      2.763533E-001      3.150388E-001      6.747334E-002      7.669270E-002      1.233712E-006      2.059364E-005      2.877102E-005      6.043740E-005      7.490088E-002
20190613      2458647.0     1427.      8.193105E-005      1.862326E-001      2.091472E-001      4.549913E-002      5.174442E-002      8.046378E-007      1.837509E-005      1.652527E-005      6.932296E-005      5.573822E-002
20190616      2458650.0      561.      1.310871E-004      2.927253E-001      3.428424E-001      7.392642E-002      8.108117E-002      1.343341E-006      4.631883E-005      2.572839E-005      7.155767E-005      2.499147E-002
20190617      2458651.0      307.      1.665036E-004      3.872832E-001      4.580551E-001      9.719410E-002      1.108103E-001      1.679511E-006      3.979651E-005      4.248116E-005      7.022761E-005      1.971994E-002
20190618      2458652.0     1316.      8.056243E-005      1.764827E-001      1.971043E-001      4.347218E-002      4.839989E-002      8.094906E-007      1.876783E-005      1.619159E-005      4.874039E-005      6.351048E-002
20190619      2458653.0      599.      1.076393E-004      2.463797E-001      2.829212E-001      6.342398E-002      7.459638E-002      1.139995E-006      3.233712E-005      2.337705E-005      5.887350E-005      2.723686E-002
20190620      2458654.0      911.      1.015365E-004      2.206472E-001      2.469501E-001      5.585059E-002      6.258918E-002      1.026623E-006      2.478506E-005      2.185559E-005      6.446384E-005      5.874116E-002
20190621      2458655.0      373.      1.689958E-004      3.943937E-001      4.510559E-001      9.210168E-002      1.089323E-001      1.758537E-006      5.651901E-005      3.143957E-005      7.883982E-005      9.598746E-002
20190622      2458656.0      209.      2.275722E-004      5.276368E-001      5.946707E-001      1.342575E-001      1.560197E-001      2.245416E-006      4.230880E-005      4.556608E-005      7.520879E-005      1.591413E-001
20190623      2458657.0     1564.      8.137977E-005      1.848054E-001      2.033498E-001      4.492732E-002      5.057602E-002      8.130496E-007      2.102832E-005      1.754739E-005      5.946718E-005      6.476941E-002
20190624      2458658.0     3481.      6.201778E-005      1.417142E-001      1.503486E-001      3.530643E-002      3.975228E-002      6.132369E-007      1.674786E-005      1.208733E-005      5.346206E-005      4.555086E-002
20190625      2458659.0     2794.      6.245667E-005      1.443435E-001      1.558844E-001      3.550684E-002      3.991057E-002      6.326875E-007      1.899743E-005      1.255804E-005      4.788303E-005      4.139354E-002
20190626      2458660.0     2145.      8.298844E-005      1.780513E-001      1.975413E-001      4.584207E-002      5.237814E-002      8.269438E-007      2.204162E-005      1.489120E-005      6.570430E-005      5.513862E-002
20190627      2458661.0     3432.      5.730331E-005      1.305096E-001      1.396664E-001      3.281625E-002      3.681883E-002      5.780666E-007      1.763297E-005      1.161128E-005      4.856963E-005      4.742368E-002
20190628      2458662.0     2560.      7.608422E-005      1.731279E-001      1.869782E-001      4.228442E-002      4.655975E-002      7.541985E-007      2.397075E-005      1.534967E-005      5.324801E-005      5.625172E-002
20190629      2458663.0     3835.      5.255521E-005      1.182925E-001      1.305589E-001      3.065950E-002      3.497335E-002      5.318469E-007      1.411837E-005      1.071067E-005      4.305574E-005      4.614697E-002
20190630      2458664.0     1749.      7.525804E-005      1.727366E-001      1.885670E-001      4.438905E-002      4.954641E-002      7.706431E-007      2.229369E-005      1.512718E-005      5.455102E-005      4.744261E-002
