model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      1.285209E-011      3.966062E-009     -9.232985E-009     -3.971520E-010      3.919546E-010     -1.911924E-016     -2.154757E-015      1.466429E-014      6.932953E-013      5.450055E-010
      3.966062E-009      1.414694E-004      8.966138E-007     -3.478889E-005     -7.014864E-007      3.528425E-011      3.395054E-011     -4.587481E-010     -2.696201E-010      8.785030E-006
     -9.232985E-009      8.966138E-007      1.792413E-004     -4.101703E-007     -4.272187E-005      1.937534E-011     -4.847031E-011     -2.897243E-010     -3.750918E-009     -1.000547E-006
     -3.971520E-010     -3.478889E-005     -4.101703E-007      1.774595E-005      1.491983E-007     -2.127484E-011      3.621580E-011      1.205560E-010     -3.473301E-010      8.054721E-006
      3.919546E-010     -7.014864E-007     -4.272187E-005      1.491983E-007      2.158596E-005     -7.232711E-012      3.479454E-011      3.987263E-011     -3.518061E-009     -7.828016E-007
     -1.911924E-016      3.528425E-011      1.937534E-011     -2.127484E-011     -7.232711E-012      3.199005E-015     -1.332556E-015     -2.572601E-014      9.974065E-016      1.743852E-011
     -2.154757E-015      3.395054E-011     -4.847031E-011      3.621580E-011      3.479454E-011     -1.332556E-015      3.410880E-013     -4.459961E-013     -1.896311E-013      7.736730E-010
      1.466429E-014     -4.587481E-010     -2.897243E-010      1.205560E-010      3.987263E-011     -2.572601E-014     -4.459961E-013      9.249525E-013      1.265880E-013     -7.128286E-010
      6.932953E-013     -2.696201E-010     -3.750918E-009     -3.473301E-010     -3.518061E-009      9.974065E-016     -1.896311E-013      1.265880E-013      1.415126E-011     -1.353285E-009
      5.450055E-010      8.785030E-006     -1.000547E-006      8.054721E-006     -7.828016E-007      1.743852E-011      7.736730E-010     -7.128286E-010     -1.353285E-009      1.004654E-004
