model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20200100      2458848.0     7750.      8.745282E-002      5.404949E+002      6.572527E+002      5.440850E+002      6.623351E+002      2.908748E-003      2.352281E-003      9.575869E-003      4.343642E-004      3.167338E+000
20200101      2458849.0    18093.      8.740506E-002      5.405077E+002      6.572930E+002      5.440877E+002      6.623619E+002      2.905808E-003      2.578913E-003      9.365499E-003      4.055689E-004      3.127808E+000
20200102      2458850.0    11696.      8.740547E-002      5.404535E+002      6.572985E+002      5.440966E+002      6.623627E+002      2.903839E-003      2.716194E-003      9.248507E-003      3.539735E-004      3.230229E+000
20200103      2458851.0     3756.      8.741777E-002      5.405593E+002      6.572877E+002      5.440781E+002      6.623563E+002      2.909717E-003      2.284961E-003      9.639389E-003      3.542230E-004      2.941811E+000
20200104      2458852.0    13595.      8.741506E-002      5.404877E+002      6.572643E+002      5.440876E+002      6.623439E+002      2.907646E-003      2.431557E-003      9.498810E-003      4.103961E-004      2.951644E+000
20200105      2458853.0    11811.      8.739220E-002      5.404748E+002      6.572665E+002      5.441088E+002      6.623737E+002      2.908292E-003      2.382740E-003      9.547262E-003      3.894673E-004      3.170887E+000
20200106      2458854.0     9603.      8.742348E-002      5.405434E+002      6.572448E+002      5.440945E+002      6.623778E+002      2.907070E-003      2.466345E-003      9.468724E-003      3.461619E-004      3.115463E+000
20200107      2458855.0     4730.      8.744180E-002      5.404788E+002      6.572484E+002      5.441445E+002      6.623542E+002      2.905828E-003      2.563298E-003      9.378075E-003      4.643777E-004      3.218832E+000
20200108      2458856.0     1897.      8.742596E-002      5.404536E+002      6.571978E+002      5.441147E+002      6.623576E+002      2.905962E-003      2.537003E-003      9.403998E-003      5.053354E-004      3.383965E+000
20200109      2458857.0      493.      8.745124E-002      5.406221E+002      6.572447E+002      5.440553E+002      6.622941E+002      2.900939E-003      2.998659E-003      9.012067E-003      5.404471E-004      2.629645E+000
20200110      2458858.0       27.      8.735269E-002      5.405556E+002      6.571786E+002      5.441081E+002      6.624103E+002      2.921195E-003      1.618687E-003      1.039296E-002      8.711707E-004      1.840459E+000
20200111      2458859.0     1459.      8.740878E-002      5.405893E+002      6.574542E+002      5.441159E+002      6.623321E+002      2.904629E-003      2.666601E-003      9.282339E-003      4.091303E-004      3.023687E+000
20200112      2458860.0     5936.      8.740270E-002      5.404971E+002      6.573124E+002      5.441116E+002      6.623392E+002      2.904811E-003      2.642659E-003      9.310214E-003      4.740412E-004      3.055553E+000
20200113      2458861.0     5564.      8.740734E-002      5.405045E+002      6.572964E+002      5.441043E+002      6.623398E+002      2.904562E-003      2.670202E-003      9.286149E-003      4.050097E-004      3.139415E+000
20200114      2458862.0     4770.      8.734076E-002      5.405687E+002      6.573970E+002      5.440930E+002      6.623236E+002      2.903151E-003      2.780610E-003      9.188660E-003      4.109700E-004      2.983357E+000
20200115      2458863.0     2127.      8.746808E-002      5.405223E+002      6.573693E+002      5.440488E+002      6.623061E+002      2.905600E-003      2.581611E-003      9.361578E-003      5.841571E-004      2.872833E+000
20200116      2458864.0     2111.      8.732021E-002      5.405835E+002      6.574494E+002      5.440029E+002      6.622265E+002      2.916259E-003      2.013500E-003      9.889002E-003      6.225583E-004      2.823010E+000
20200117      2458865.0     2213.      8.734876E-002      5.404401E+002      6.573818E+002      5.441093E+002      6.623305E+002      2.899698E-003      3.081233E-003      8.955047E-003      3.099340E-004      3.339900E+000
20200120      2458868.0       43.      8.766335E-002      5.408818E+002      6.570211E+002      5.440961E+002      6.623644E+002      2.907191E-003      2.376346E-003      9.556090E-003      8.415732E-004      2.706826E+000
20200121      2458869.0       31.      8.806039E-002      5.428275E+002      6.555632E+002      5.439984E+002      6.624332E+002      2.912027E-003      2.117003E-003      9.744625E-003      1.222124E-003      3.197879E+000
20200122      2458870.0    17970.      8.741605E-002      5.404709E+002      6.573181E+002      5.441066E+002      6.623315E+002      2.907033E-003      2.467952E-003      9.468936E-003      4.128680E-004      3.123980E+000
20200123      2458871.0    15787.      8.741212E-002      5.404953E+002      6.572928E+002      5.441208E+002      6.623577E+002      2.907281E-003      2.455289E-003      9.478518E-003      4.904894E-004      3.162701E+000
20200126      2458874.0     3933.      8.746782E-002      5.406725E+002      6.573646E+002      5.440295E+002      6.622834E+002      2.909564E-003      2.383918E-003      9.527820E-003      6.166647E-004      3.137548E+000
20200127      2458875.0     1822.      8.748512E-002      5.405002E+002      6.571766E+002      5.440601E+002      6.623206E+002      2.898260E-003      3.264754E-003      8.808811E-003      2.205500E-004      3.150572E+000
