model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000     -1.488049E-004      2.253844E-005      2.108649E-005      2.752635E-005      6.262166E-005      1.724676E-005
           0.087266                NaN                NaN                NaN     -3.026323E-006      2.577960E-005      1.674881E-005
           0.174533                NaN                NaN                NaN     -7.514639E-005      2.071073E-005      1.709401E-005
           0.261799                NaN                NaN                NaN     -4.254709E-005      1.637886E-005      1.773414E-005
           0.349066     -1.294307E-004      2.750758E-005      2.113931E-005     -2.292236E-005      1.559239E-005      1.857929E-005
           0.436332                NaN                NaN                NaN      4.661480E-006      1.532593E-005      1.952691E-005
           0.523599                NaN                NaN                NaN      8.312129E-006      1.492277E-005      2.047009E-005
           0.610865                NaN                NaN                NaN      2.646474E-005      1.460137E-005      2.130337E-005
           0.698132     -1.078972E-004      2.161201E-005      2.059062E-005      7.798968E-005      1.577870E-005      2.193090E-005
           0.785398                NaN                NaN                NaN      9.789206E-005      1.582168E-005      2.228503E-005
           0.872665                NaN                NaN                NaN      1.109600E-005      2.060847E-005      2.236791E-005
           0.959931                NaN                NaN                NaN     -8.993437E-005      2.414436E-005      2.233609E-005
           1.047198     -1.360668E-005      2.054085E-005      1.966143E-005     -2.258138E-004      2.852950E-005      2.264148E-005
           1.134464                NaN                NaN                NaN     -4.214675E-005      4.203449E-005      2.415933E-005
           1.221731                NaN                NaN                NaN      8.828876E-004      6.209456E-005      2.804246E-005
           1.308997                NaN                NaN                NaN      2.770954E-003      9.887218E-005      3.519554E-005
           1.396263      4.112934E-005      1.899389E-005      1.809008E-005      3.343214E-003      2.186519E-004      4.596718E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      6.036340E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      7.830635E-005
           1.745329      8.722819E-005      1.844217E-005      1.757932E-005                NaN                NaN                NaN
           2.094395      6.497425E-005      1.720737E-005      1.784484E-005                NaN                NaN                NaN
           2.443461      3.150909E-005      1.783139E-005      1.924775E-005                NaN                NaN                NaN
           2.792527      2.230195E-005      1.891485E-005      2.024281E-005                NaN                NaN                NaN
           3.141593      3.233505E-005      1.980441E-005      2.098443E-005                NaN                NaN                NaN
           3.490659     -4.348010E-005      2.364228E-005      2.116979E-005                NaN                NaN                NaN
           3.839725     -1.069114E-004      2.715947E-005      2.074352E-005                NaN                NaN                NaN
           4.188790      1.325845E-005      2.306329E-005      1.990788E-005                NaN                NaN                NaN
           4.537856      1.325037E-004      2.118785E-005      1.899987E-005                NaN                NaN                NaN
           4.886922      2.332416E-004      1.991261E-005      1.853369E-005                NaN                NaN                NaN
           5.235988      1.713495E-004      2.276056E-005      1.873729E-005                NaN                NaN                NaN
           5.585054      9.635441E-005      1.767759E-005      1.955047E-005                NaN                NaN                NaN
           5.934120     -1.313014E-004      1.843451E-005      2.046209E-005                NaN                NaN                NaN
           6.283185     -1.488049E-004      2.253844E-005      2.108649E-005                NaN                NaN                NaN
