model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      8.890552E-011      2.055186E-009      3.333983E-008      1.073590E-009     -7.905337E-010     -1.579839E-016      1.607820E-014      1.351578E-014      2.022962E-012      2.976324E-009
      2.055186E-009      2.970845E-004      1.435963E-005     -7.884341E-005     -3.426457E-006     -7.053213E-011     -1.622132E-010      1.499839E-009      7.252574E-009     -6.937973E-007
      3.333983E-008      1.435963E-005      4.403042E-004     -3.197187E-006     -1.099784E-004      1.826399E-011      1.864818E-010     -2.145396E-010      4.237900E-009      8.525431E-006
      1.073590E-009     -7.884341E-005     -3.197187E-006      4.675062E-005      1.647705E-006      3.858429E-011     -2.082309E-010     -1.100319E-010      1.337686E-008     -1.194487E-006
     -7.905337E-010     -3.426457E-006     -1.099784E-004      1.647705E-006      6.228911E-005     -1.427958E-011     -2.766697E-011      1.382388E-010      3.611606E-009      5.392932E-006
     -1.579839E-016     -7.053213E-011      1.826399E-011      3.858429E-011     -1.427958E-011      8.720939E-015     -5.678450E-015     -6.176756E-014      2.020746E-014      4.977023E-012
      1.607820E-014     -1.622132E-010      1.864818E-010     -2.082309E-010     -2.766697E-011     -5.678450E-015      7.126785E-013     -8.436402E-013     -1.213359E-012      1.468735E-010
      1.351578E-014      1.499839E-009     -2.145396E-010     -1.100319E-010      1.382388E-010     -6.176756E-014     -8.436402E-013      1.763985E-012      6.430803E-013     -1.126295E-010
      2.022962E-012      7.252574E-009      4.237900E-009      1.337686E-008      3.611606E-009      2.020746E-014     -1.213359E-012      6.430803E-013      6.284327E-011     -1.975815E-009
      2.976324E-009     -6.937973E-007      8.525431E-006     -1.194487E-006      5.392932E-006      4.977023E-012      1.468735E-010     -1.126295E-010     -1.975815E-009      8.886261E-006
