model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000     -5.210784E-007      2.319080E-005      2.210106E-005     -4.181519E-005      1.239504E-004      2.142028E-005
           0.087266                NaN                NaN                NaN     -1.837417E-004      4.605338E-005      2.149565E-005
           0.174533                NaN                NaN                NaN     -2.571044E-004      3.243968E-005      2.171412E-005
           0.261799                NaN                NaN                NaN     -2.807144E-004      2.609238E-005      2.220417E-005
           0.349066     -6.536521E-005      2.515957E-005      2.238911E-005     -3.064618E-004      2.174590E-005      2.289765E-005
           0.436332                NaN                NaN                NaN     -2.621451E-004      2.094166E-005      2.370945E-005
           0.523599                NaN                NaN                NaN     -5.808625E-005      2.067542E-005      2.454118E-005
           0.610865                NaN                NaN                NaN      7.394415E-005      1.977685E-005      2.528469E-005
           0.698132     -1.452006E-004      1.687148E-005      2.191203E-005      2.122167E-004      2.087190E-005      2.582706E-005
           0.785398                NaN                NaN                NaN      3.002641E-004      2.120698E-005      2.606204E-005
           0.872665                NaN                NaN                NaN      2.455417E-004      2.346770E-005      2.591700E-005
           0.959931                NaN                NaN                NaN      5.760212E-005      2.609878E-005      2.541268E-005
           1.047198     -9.811830E-005      1.725044E-005      2.089910E-005     -2.910535E-004      2.791127E-005      2.478401E-005
           1.134464                NaN                NaN                NaN     -5.019318E-004      3.153594E-005      2.467694E-005
           1.221731                NaN                NaN                NaN     -1.176717E-004      3.980833E-005      2.628002E-005
           1.308997                NaN                NaN                NaN      1.212707E-003      5.786505E-005      3.096079E-005
           1.396263      1.320695E-005      2.349954E-005      2.021295E-005      2.948403E-003      1.546729E-004      3.949566E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      5.192943E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      6.802468E-005
           1.745329      5.526687E-005      2.594312E-005      1.976974E-005                NaN                NaN                NaN
           2.094395      1.101182E-004      2.673639E-005      2.043517E-005                NaN                NaN                NaN
           2.443461      4.821142E-005      2.521264E-005      2.164870E-005                NaN                NaN                NaN
           2.792527     -1.934530E-007      2.393918E-005      2.312719E-005                NaN                NaN                NaN
           3.141593     -2.844872E-005      1.993811E-005      2.384074E-005                NaN                NaN                NaN
           3.490659     -4.262085E-005      1.952791E-005      2.414849E-005                NaN                NaN                NaN
           3.839725     -8.746469E-005      2.176038E-005      2.356046E-005                NaN                NaN                NaN
           4.188790     -1.045965E-004      1.690201E-005      2.226079E-005                NaN                NaN                NaN
           4.537856     -5.290587E-005      1.662306E-005      2.111005E-005                NaN                NaN                NaN
           4.886922      4.857480E-005      1.877187E-005      1.994522E-005                NaN                NaN                NaN
           5.235988      1.382394E-004      2.430588E-005      1.981965E-005                NaN                NaN                NaN
           5.585054      1.402506E-004      2.029786E-005      2.038232E-005                NaN                NaN                NaN
           5.934120      6.292644E-005      1.813906E-005      2.151639E-005                NaN                NaN                NaN
           6.283185     -5.210784E-007      2.319080E-005      2.210106E-005                NaN                NaN                NaN
