model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20180901      2458362.0      292.      3.600808E-001      5.045669E+002      6.626474E+002      5.111184E+002      6.632747E+002      2.913954E-003      2.343453E-003      9.600334E-003      2.349541E-003      5.301136E+000
20180902      2458363.0     2371.      3.604385E-001      5.038184E+002      6.619937E+002      5.110540E+002      6.634335E+002      2.919064E-003      2.085500E-003      9.822517E-003      2.830471E-003      5.360277E+000
20180903      2458364.0     4012.      3.605188E-001      5.037373E+002      6.618724E+002      5.111431E+002      6.634990E+002      2.919110E-003      2.057983E-003      9.843549E-003      3.477861E-003      5.338104E+000
20180904      2458365.0     5720.      3.604482E-001      5.037659E+002      6.618004E+002      5.110720E+002      6.635105E+002      2.920291E-003      2.028358E-003      9.864527E-003      3.151670E-003      5.354637E+000
20180905      2458366.0     4910.      3.603277E-001      5.038086E+002      6.618320E+002      5.110374E+002      6.634937E+002      2.915347E-003      2.332596E-003      9.564992E-003      2.880368E-003      5.377669E+000
20180906      2458367.0     5124.      3.603554E-001      5.041355E+002      6.620173E+002      5.110413E+002      6.634285E+002      2.900386E-003      3.500496E-003      8.665709E-003      2.657800E-003      5.323202E+000
20180907      2458368.0      978.      3.603303E-001      5.037827E+002      6.622692E+002      5.109185E+002      6.629247E+002      2.938914E-003      1.319178E-003      1.074042E-002      3.287157E-003      5.095835E+000
20180908      2458369.0     4889.      3.603136E-001      5.036815E+002      6.618815E+002      5.110429E+002      6.634464E+002      2.918848E-003      2.170151E-003      9.710834E-003      3.047185E-003      5.332346E+000
20180909      2458370.0     4869.      3.603516E-001      5.038672E+002      6.618419E+002      5.110792E+002      6.634852E+002      2.906112E-003      3.060719E-003      8.950404E-003      2.798395E-003      5.325513E+000
20180910      2458371.0     9317.      3.603081E-001      5.037242E+002      6.618485E+002      5.110220E+002      6.634952E+002      2.913829E-003      2.414198E-003      9.491974E-003      2.715931E-003      5.351723E+000
20180911      2458372.0    11380.      3.603251E-001      5.037306E+002      6.618691E+002      5.110074E+002      6.634943E+002      2.919064E-003      2.064837E-003      9.833599E-003      3.114046E-003      5.357444E+000
20180912      2458373.0     9064.      3.603518E-001      5.037391E+002      6.618943E+002      5.110947E+002      6.634627E+002      2.909919E-003      2.709513E-003      9.238380E-003      2.664637E-003      5.293541E+000
20180913      2458374.0     5977.      3.602972E-001      5.039134E+002      6.619620E+002      5.110103E+002      6.634642E+002      2.904715E-003      3.141108E-003      8.903073E-003      2.496170E-003      5.308564E+000
20180914      2458375.0     4072.      3.603510E-001      5.037820E+002      6.618837E+002      5.110047E+002      6.634644E+002      2.921081E-003      1.947349E-003      9.964864E-003      2.988979E-003      5.340569E+000
20180915      2458376.0      548.      3.604320E-001      5.070770E+002      6.620875E+002      5.097250E+002      6.631088E+002      2.905467E-003      2.745259E-003      9.353607E-003      7.870499E-004      2.608644E+000
20180916      2458377.0     3378.      3.602614E-001      5.042348E+002      6.620881E+002      5.110444E+002      6.634327E+002      2.902877E-003      3.246648E-003      8.859881E-003      2.409026E-003      5.308681E+000
20180917      2458378.0      612.      3.571266E-001      5.100379E+002      6.596271E+002      5.100653E+002      6.609762E+002      2.907027E-003      5.048384E-003      7.670156E-003      2.365355E-003      3.454021E+000
20180918      2458379.0      857.      3.598536E-001      5.054435E+002      6.621469E+002      5.100280E+002      6.631431E+002      2.900374E-003      2.785569E-003      9.334184E-003      1.674247E-003      5.062856E+000
20180919      2458380.0     2560.      3.603260E-001      5.036413E+002      6.618529E+002      5.110641E+002      6.634769E+002      2.911152E-003      2.545665E-003      9.405652E-003      2.269220E-003      5.344745E+000
20180920      2458381.0     2434.      3.603757E-001      5.037041E+002      6.620187E+002      5.110465E+002      6.634247E+002      2.906205E-003      2.980873E-003      9.036779E-003      2.240247E-003      5.292352E+000
20180921      2458382.0     4822.      3.603583E-001      5.040899E+002      6.620631E+002      5.110462E+002      6.634323E+002      2.897278E-003      3.908950E-003      8.397466E-003      2.131801E-003      5.326312E+000
20180922      2458383.0     4518.      3.604491E-001      5.036636E+002      6.620220E+002      5.111204E+002      6.633499E+002      2.916095E-003      2.238222E-003      9.673676E-003      2.810308E-003      5.276122E+000
20180924      2458385.0     4621.      3.603356E-001      5.037058E+002      6.618911E+002      5.110901E+002      6.633951E+002      2.909417E-003      2.709195E-003      9.262458E-003      2.293662E-003      5.303918E+000
20180925      2458386.0     5031.      3.603593E-001      5.037849E+002      6.619518E+002      5.110797E+002      6.633513E+002      2.909723E-003      2.689731E-003      9.272307E-003      2.330730E-003      5.288186E+000
