model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20180901      2458362.0      292.      2.183743E-004      4.058054E-001      4.518464E-001      1.354832E-001      1.513131E-001      1.965456E-006      1.895430E-005      3.357522E-005      1.090048E-004      7.124092E-002
20180902      2458363.0     2371.      6.203785E-005      1.175385E-001      1.428395E-001      5.808568E-002      6.881551E-002      6.237293E-007      4.141804E-006      7.989295E-006      4.550100E-005      1.911414E-002
20180903      2458364.0     4012.      6.171211E-005      1.088717E-001      1.295114E-001      5.882899E-002      6.487685E-002      6.244918E-007      3.657000E-006      7.483952E-006      4.500505E-005      1.491264E-002
20180904      2458365.0     5720.      5.045484E-005      9.107549E-002      1.104970E-001      4.849507E-002      5.630045E-002      5.283208E-007      3.077059E-006      6.490285E-006      3.718480E-005      1.381586E-002
20180905      2458366.0     4910.      5.557825E-005      1.006572E-001      1.214334E-001      4.297464E-002      4.886618E-002      5.410089E-007      4.561119E-006      7.522426E-006      4.522794E-005      1.780313E-002
20180906      2458367.0     5124.      5.000225E-005      8.896980E-002      1.108492E-001      4.075604E-002      4.680620E-002      5.186055E-007      5.871817E-006      6.586506E-006      4.126581E-005      1.589405E-002
20180907      2458368.0      978.      1.895786E-004      2.549510E-001      3.025221E-001      1.356108E-001      1.462185E-001      1.933437E-006      5.866682E-006      2.062535E-005      9.704940E-005      4.235474E-002
20180908      2458369.0     4889.      6.112683E-005      1.098589E-001      1.307930E-001      5.300651E-002      6.007424E-002      5.984611E-007      4.290426E-006      7.919943E-006      5.119757E-005      1.793766E-002
20180909      2458370.0     4869.      4.742707E-005      8.880644E-002      1.148098E-001      3.732314E-002      4.390631E-002      4.740506E-007      5.393011E-006      7.107571E-006      3.697618E-005      1.400457E-002
20180910      2458371.0     9317.      3.005241E-005      5.604900E-002      6.855293E-002      2.244419E-002      2.608260E-002      3.038622E-007      2.634211E-006      4.319953E-006      2.571044E-005      9.924265E-003
20180911      2458372.0    11380.      3.195997E-005      5.510015E-002      6.711463E-002      2.592380E-002      2.987242E-002      3.253502E-007      2.043253E-006      4.131653E-006      2.590911E-005      8.884926E-003
20180912      2458373.0     9064.      3.108983E-005      6.084761E-002      7.408077E-002      2.096558E-002      2.424647E-002      3.059620E-007      3.458998E-006      4.915247E-006      2.588199E-005      1.032481E-002
20180913      2458374.0     5977.      4.179412E-005      7.899310E-002      9.803617E-002      3.133237E-002      3.640540E-002      4.206498E-007      4.863129E-006      6.041201E-006      3.318922E-005      1.425422E-002
20180914      2458375.0     4072.      5.911971E-005      9.909144E-002      1.238604E-001      4.946294E-002      5.579866E-002      5.729003E-007      3.549196E-006      7.352744E-006      4.553258E-005      1.706850E-002
20180915      2458376.0      548.      4.512048E-004      5.910269E-001      6.513245E-001      2.468067E-001      2.655306E-001      3.223100E-006      3.268002E-005      4.699321E-005      1.543258E-004      4.535231E-001
20180916      2458377.0     3378.      9.094677E-005      1.515370E-001      1.945845E-001      5.891606E-002      6.650290E-002      8.249044E-007      1.061374E-005      1.191121E-005      8.187249E-005      3.429207E-002
20180917      2458378.0      612.      4.697854E-004      5.093267E-001      7.095314E-001      2.225261E-001      2.333922E-001      2.937365E-006      7.041527E-005      4.957400E-005      2.217294E-004      5.654424E-002
20180918      2458379.0      857.      3.516292E-004      4.127431E-001      5.797778E-001      1.891725E-001      1.914371E-001      2.156593E-006      2.442472E-005      3.024111E-005      1.799966E-004      1.557062E-001
20180919      2458380.0     2560.      4.970341E-005      9.889566E-002      1.198496E-001      3.282549E-002      3.832770E-002      4.760361E-007      5.282064E-006      8.132751E-006      3.544298E-005      1.908548E-002
20180920      2458381.0     2434.      6.780648E-005      1.298690E-001      1.594196E-001      3.979396E-002      4.689275E-002      6.500471E-007      8.699287E-006      1.093876E-005      5.314239E-005      2.799237E-002
20180921      2458382.0     4822.      5.232387E-005      1.037463E-001      1.300201E-001      3.043477E-002      3.485098E-002      5.174808E-007      9.795703E-006      9.158864E-006      4.748813E-005      2.344875E-002
20180922      2458383.0     4518.      4.643633E-005      8.393608E-002      1.017550E-001      3.755389E-002      4.260637E-002      4.739508E-007      3.357915E-006      6.248135E-006      3.522911E-005      1.301243E-002
20180924      2458385.0     4621.      3.587599E-005      7.165813E-002      8.566368E-002      2.214136E-002      2.584023E-002      3.668825E-007      4.093845E-006      5.931949E-006      2.907476E-005      1.361606E-002
20180925      2458386.0     5031.      3.290095E-005      6.831477E-002      8.093374E-002      2.145410E-002      2.516600E-002      3.418155E-007      3.792025E-006      5.504693E-006      2.633726E-005      1.264517E-002
