model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20180900      2458361.0        0.      0.    5.00E+000      0.7142      0.5804      0.0029     8.300    -0.300     9.816     9.810     9.747
20180901      2458362.0      292.      0.    5.00E+000      0.6244      0.5312      0.0029     8.300    -0.300     9.445     9.569     9.601
20180902      2458363.0     2371.      1.    5.00E+000      0.5163      0.5603      0.0029     8.203    -0.233    10.629    10.462    10.389
20180903      2458364.0     4012.      1.    5.00E+000      0.4047      0.6654      0.0029     8.461    -0.279    11.166    11.066    10.788
20180904      2458365.0     5720.      1.    5.00E+000      0.2956      0.8187      0.0029     8.368    -0.249    11.144    11.107    10.915
20180905      2458366.0     4910.      1.    5.00E+000      0.1948      1.0043      0.0029     8.294    -0.228    11.070    11.153    10.914
20180906      2458367.0     5124.      1.    5.00E+000      0.1093      1.1768      0.0029     8.187    -0.244    10.573    10.773    10.990
20180907      2458368.0      978.      1.    5.00E+000      0.0460      1.3857      0.0029     8.247    -0.225    11.107    10.835    10.150
20180908      2458369.0     4889.      1.    5.00E+000      0.0095      1.5902      0.0029     8.338    -0.255    11.169    11.228    11.009
20180909      2458370.0     4869.      1.    5.00E+000      0.0019      1.6850      0.0029     7.785    -0.271    11.149    11.047    10.664
20180910      2458371.0     9317.      1.    5.00E+000      0.0226      1.5826      0.0029     8.317    -0.279    11.154    11.228    10.935
20180911      2458372.0    11380.      1.    5.00E+000      0.0685      1.4999      0.0029     8.332    -0.222    11.262    11.296    11.088
20180912      2458373.0     9064.      1.    5.00E+000      0.1349      1.4175      0.0029     8.253    -0.274    11.307    11.168    10.789
20180913      2458374.0     5977.      1.    5.00E+000      0.2161      1.3394      0.0029     8.043    -0.238    10.930    11.071    10.966
20180914      2458375.0     4072.      1.    5.00E+000      0.3075      1.2512      0.0029     8.187    -0.280    10.950    11.112    10.940
20180915      2458376.0      548.      1.    5.00E+000      0.4039      1.2023      0.0029     8.535    -0.182    10.826    10.448    10.283
20180916      2458377.0     3378.      1.    5.00E+000      0.5014      1.1667      0.0029     8.130    -0.194    10.972    10.978    10.921
20180917      2458378.0      612.      1.    5.00E+000      0.5970      1.1465      0.0029     8.125    -0.208    10.549    10.488    10.459
20180918      2458379.0      857.      1.    5.00E+000      0.6878      1.1395      0.0029     8.165    -0.228    10.759    10.488    10.209
20180919      2458380.0     2560.      1.    5.00E+000      0.7714      1.1241      0.0029     8.086    -0.165    10.395    10.471    10.238
20180920      2458381.0     2434.      1.    5.00E+000      0.8451      1.0925      0.0029     8.172    -0.213    10.354    10.391    10.129
20180921      2458382.0     4822.      1.    5.00E+000      0.9071      1.0462      0.0029     8.004    -0.142    10.390    10.116     9.735
20180922      2458383.0     4518.      1.    5.00E+000      0.9547      0.9873      0.0029     8.172    -0.209    10.214    10.009     9.505
20180923      2458384.0        0.      0.    5.00E+000      0.9858      0.9180      0.0029     8.300    -0.300     8.252     8.493     9.222
20180924      2458385.0     4621.      1.    5.00E+000      0.9983      0.8414      0.0029     8.244    -0.186     9.929     9.610     9.233
20180925      2458386.0     5031.      1.    5.00E+000      0.9907      0.7604      0.0029     8.240    -0.179    10.047     9.665     9.266
20180926      2458387.0     2886.      1.    5.00E+000      0.9624      0.6786      0.0029     8.198    -0.132    10.169     9.751     9.336
20180927      2458388.0     8295.      1.    5.00E+000      0.9134      0.6003      0.0029     8.259    -0.202    10.419    10.208     9.886
20180928      2458389.0     6811.      1.    5.00E+000      0.8450      0.5297      0.0029     8.300    -0.225    10.434    10.284    10.044
20180929      2458390.0     5015.      1.    5.00E+000      0.7593      0.4714      0.0029     8.170    -0.172    10.551    10.276    10.075
