model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20180900      2458361.0        0.      0.    5.00E+000      0.7142      0.5804      0.0029     0.000     0.000     0.437     0.779     0.693
20180901      2458362.0      292.      0.    5.00E+000      0.6244      0.5312      0.0029     0.000     0.000     0.830     0.756     0.852
20180902      2458363.0     2371.      1.    5.00E+000      0.5163      0.5603      0.0029     0.010     0.005     0.579     0.698     0.591
20180903      2458364.0     4012.      1.    5.00E+000      0.4047      0.6654      0.0029     0.011     0.005     0.278     0.427     0.698
20180904      2458365.0     5720.      1.    5.00E+000      0.2956      0.8187      0.0029     0.008     0.004     0.415     0.522     0.749
20180905      2458366.0     4910.      1.    5.00E+000      0.1948      1.0043      0.0029     0.008     0.004     0.466     0.534     0.716
20180906      2458367.0     5124.      1.    5.00E+000      0.1093      1.1768      0.0029     0.005     0.002     0.765     0.629     0.672
20180907      2458368.0      978.      1.    5.00E+000      0.0460      1.3857      0.0029     0.025     0.009     0.904     1.162     1.176
20180908      2458369.0     4889.      1.    5.00E+000      0.0095      1.5902      0.0029     0.007     0.003     0.496     0.551     0.725
20180909      2458370.0     4869.      1.    5.00E+000      0.0019      1.6850      0.0029     0.008     0.004     0.467     0.516     0.541
20180910      2458371.0     9317.      1.    5.00E+000      0.0226      1.5826      0.0029     0.004     0.002     0.420     0.508     0.626
20180911      2458372.0    11380.      1.    5.00E+000      0.0685      1.4999      0.0029     0.004     0.002     0.447     0.527     0.664
20180912      2458373.0     9064.      1.    5.00E+000      0.1349      1.4175      0.0029     0.005     0.003     0.319     0.405     0.448
20180913      2458374.0     5977.      1.    5.00E+000      0.2161      1.3394      0.0029     0.007     0.004     0.499     0.513     0.648
20180914      2458375.0     4072.      1.    5.00E+000      0.3075      1.2512      0.0029     0.008     0.004     0.585     0.679     0.824
20180915      2458376.0      548.      1.    5.00E+000      0.4039      1.2023      0.0029     0.025     0.012     0.764     0.798     0.958
20180916      2458377.0     3378.      1.    5.00E+000      0.5014      1.1667      0.0029     0.010     0.005     0.581     0.616     0.708
20180917      2458378.0      612.      1.    5.00E+000      0.5970      1.1465      0.0029     0.045     0.017     0.992     1.172     1.236
20180918      2458379.0      857.      1.    5.00E+000      0.6878      1.1395      0.0029     0.025     0.009     0.572     0.712     0.911
20180919      2458380.0     2560.      1.    5.00E+000      0.7714      1.1241      0.0029     0.007     0.003     0.541     0.656     0.899
20180920      2458381.0     2434.      1.    5.00E+000      0.8451      1.0925      0.0029     0.007     0.003     0.819     0.854     0.999
20180921      2458382.0     4822.      1.    5.00E+000      0.9071      1.0462      0.0029     0.007     0.005     0.683     0.801     0.889
20180922      2458383.0     4518.      1.    5.00E+000      0.9547      0.9873      0.0029     0.006     0.003     0.717     0.888     0.962
20180923      2458384.0        0.      0.    5.00E+000      0.9858      0.9180      0.0029     0.000     0.000     0.704     0.580     0.616
20180924      2458385.0     4621.      1.    5.00E+000      0.9983      0.8414      0.0029     0.005     0.002     0.604     0.793     0.727
20180925      2458386.0     5031.      1.    5.00E+000      0.9907      0.7604      0.0029     0.005     0.003     0.673     0.824     0.691
20180926      2458387.0     2886.      1.    5.00E+000      0.9624      0.6786      0.0029     0.007     0.004     0.422     1.004     0.668
20180927      2458388.0     8295.      1.    5.00E+000      0.9134      0.6003      0.0029     0.004     0.002     0.220     0.817     0.510
20180928      2458389.0     6811.      1.    5.00E+000      0.8450      0.5297      0.0029     0.004     0.002     0.255     0.751     0.571
20180929      2458390.0     5015.      1.    5.00E+000      0.7593      0.4714      0.0029     0.006     0.003     0.338     0.646     0.607
