model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20180900      2458361.0       43.      1.119986E-003      1.350089E+000      1.653417E+000      7.284887E-001      8.583348E-001      1.112159E-005      1.146662E-003      5.331885E-005      1.935869E-004      1.159429E-001
20180901      2458362.0      731.      2.279993E-004      3.674018E-001      3.738885E-001      1.108504E-001      1.139999E-001      1.824733E-006      2.811074E-005      2.963510E-005      1.225000E-004      1.411012E-001
20180902      2458363.0     2413.      8.015951E-005      1.619407E-001      1.763185E-001      3.997533E-002      4.481258E-002      6.830229E-007      1.320293E-005      1.420823E-005      5.744983E-005      5.869500E-002
20180903      2458364.0     9234.      3.601085E-005      6.788997E-002      7.776444E-002      1.995990E-002      2.259340E-002      3.041136E-007      4.064955E-006      5.800292E-006      2.738448E-005      2.249986E-002
20180904      2458365.0     8719.      3.890289E-005      7.318199E-002      8.401099E-002      2.110470E-002      2.364090E-002      3.266280E-007      4.444166E-006      6.206237E-006      2.810715E-005      2.781291E-002
20180905      2458366.0     4716.      5.085790E-005      1.019994E-001      1.170031E-001      2.583236E-002      2.924276E-002      4.400845E-007      7.595866E-006      9.366965E-006      3.690482E-005      3.538739E-002
20180906      2458367.0      430.      2.539187E-004      3.784143E-001      4.832446E-001      1.246246E-001      1.430312E-001      2.126134E-006      6.920745E-005      3.146077E-005      1.076969E-004      1.344710E-001
20180907      2458368.0     4565.      5.075349E-005      1.006382E-001      1.202762E-001      2.636074E-002      2.986995E-002      4.419401E-007      7.889550E-006      9.223227E-006      2.336446E-005      2.843611E-002
20180908      2458369.0     7757.      4.094635E-005      7.812613E-002      8.978317E-002      2.147085E-002      2.417616E-002      3.435582E-007      4.901630E-006      6.915006E-006      2.932506E-005      3.004940E-002
20180909      2458370.0     1850.      9.300458E-005      1.853555E-001      2.246110E-001      4.413162E-002      4.982004E-002      8.079801E-007      2.005221E-005      1.850555E-005      6.928427E-005      8.015656E-002
20180910      2458371.0     3910.      5.824290E-005      1.191313E-001      1.377854E-001      2.873221E-002      3.297247E-002      5.114013E-007      1.122299E-005      1.137756E-005      5.061158E-005      4.049569E-002
20180911      2458372.0     3944.      5.539848E-005      1.094135E-001      1.296142E-001      2.792608E-002      3.166097E-002      4.798121E-007      8.795309E-006      1.054744E-005      3.661248E-005      4.284480E-002
20180912      2458373.0      905.      1.065228E-004      2.246355E-001      2.829501E-001      6.027215E-002      7.170881E-002      9.391474E-007      2.142492E-005      2.050941E-005      6.430221E-005      2.027707E-002
20180914      2458375.0     3943.      5.539459E-005      1.106100E-001      1.235358E-001      2.866972E-002      3.214079E-002      4.753090E-007      8.578962E-006      1.027996E-005      3.963025E-005      3.880211E-002
20180915      2458376.0      601.      1.313360E-004      2.462533E-001      3.204331E-001      6.257687E-002      7.035422E-002      1.184336E-006      2.307137E-005      2.248886E-005      5.922884E-005      7.598522E-002
20180916      2458377.0      502.      1.509397E-004      3.139581E-001      3.864347E-001      8.994071E-002      1.013139E-001      1.392915E-006      3.784880E-005      2.438611E-005      7.127791E-005      1.075540E-001
20180917      2458378.0      502.      1.439682E-004      3.081762E-001      3.623462E-001      7.612368E-002      8.830834E-002      1.238498E-006      2.420183E-005      2.715290E-005      5.766830E-005      1.471191E-001
20180918      2458379.0     2271.      6.965493E-005      1.408243E-001      1.759138E-001      3.560215E-002      4.052426E-002      6.123672E-007      1.238824E-005      1.361665E-005      4.715694E-005      5.860071E-002
20180919      2458380.0     2101.      7.413772E-005      1.463153E-001      1.876502E-001      3.643019E-002      4.169595E-002      6.679840E-007      1.430287E-005      1.508288E-005      5.835074E-005      6.034849E-002
20180920      2458381.0     3920.      5.470849E-005      1.075456E-001      1.316684E-001      2.704498E-002      3.099197E-002      4.710436E-007      8.240781E-006      1.043507E-005      4.099877E-005      3.614856E-002
20180921      2458382.0      246.      2.502377E-004      4.975695E-001      6.462994E-001      1.144401E-001      1.421559E-001      2.262032E-006      6.551539E-005      4.562160E-005      1.240386E-004      1.724849E-001
20180922      2458383.0     1212.      8.827025E-005      1.694539E-001      2.156990E-001      4.227151E-002      4.934277E-002      7.805132E-007      1.247495E-005      1.711469E-005      5.177001E-005      6.443967E-002
20180923      2458384.0     2916.      5.949794E-005      1.139306E-001      1.354988E-001      3.009144E-002      3.497877E-002      5.160596E-007      7.550876E-006      1.035942E-005      4.142298E-005      5.045347E-002
20180924      2458385.0     3186.      5.960167E-005      1.091432E-001      1.273891E-001      2.962203E-002      3.425079E-002      5.182977E-007      6.920867E-006      9.810942E-006      4.440479E-005      4.158735E-002
