model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20180900      2458361.0       43.      1.    5.00E+000      0.7141      0.5896      0.0029     0.101     0.043     0.710     0.648     0.607
20180901      2458362.0      731.      0.    5.00E+000      0.6244      0.5400      0.0029     0.000     0.000     0.912     0.755     0.406
20180902      2458363.0     2413.      1.    5.00E+000      0.5164      0.5677      0.0029     0.014     0.010     0.467     0.427     0.348
20180903      2458364.0     9234.      1.    5.00E+000      0.4047      0.6691      0.0029     0.005     0.003     0.126     0.184     0.240
20180904      2458365.0     8719.      1.    5.00E+000      0.2953      0.8201      0.0029     0.005     0.003     0.146     0.210     0.291
20180905      2458366.0     4716.      1.    5.00E+000      0.1949      1.0040      0.0029     0.008     0.006     0.244     0.212     0.267
20180906      2458367.0      430.      0.    5.00E+000      0.1096      1.2052      0.0029     0.000     0.000     0.792     0.575     0.248
20180907      2458368.0     4565.      1.    5.00E+000      0.0461      1.3842      0.0029     0.008     0.006     0.264     0.257     0.311
20180908      2458369.0     7757.      1.    5.00E+000      0.0095      1.5859      0.0029     0.005     0.003     0.201     0.233     0.293
20180909      2458370.0     1850.      1.    5.00E+000      0.0019      1.7150      0.0029     0.017     0.012     0.224     0.260     0.267
20180910      2458371.0     3910.      1.    5.00E+000      0.0226      1.5809      0.0029     0.011     0.008     0.172     0.221     0.294
20180911      2458372.0     3944.      1.    5.00E+000      0.0685      1.5002      0.0029     0.008     0.006     0.237     0.264     0.340
20180912      2458373.0      905.      1.    5.00E+000      0.1349      1.4203      0.0029     0.021     0.014     0.435     0.318     0.306
20180913      2458374.0        0.      0.    5.00E+000      0.2163      1.3460      0.0029     0.000     0.000     0.661     0.423     0.274
20180914      2458375.0     3943.      1.    5.00E+000      0.3075      1.2796      0.0029     0.008     0.005     0.535     0.436     0.265
20180915      2458376.0      601.      1.    5.00E+000      0.4039      1.2098      0.0029     0.019     0.013     0.686     0.549     0.270
20180916      2458377.0      502.      1.    5.00E+000      0.5015      1.1762      0.0029     0.034     0.024     1.052     0.877     0.441
20180917      2458378.0      502.      1.    5.00E+000      0.5971      1.1559      0.0029     0.027     0.020     0.495     0.358     0.256
20180918      2458379.0     2271.      1.    5.00E+000      0.6878      1.1486      0.0029     0.012     0.009     0.235     0.271     0.330
20180919      2458380.0     2101.      1.    5.00E+000      0.7714      1.1333      0.0029     0.012     0.008     0.179     0.244     0.308
20180920      2458381.0     3920.      1.    5.00E+000      0.8451      1.1018      0.0029     0.007     0.005     0.252     0.323     0.375
20180921      2458382.0      246.      1.    5.00E+000      0.9071      1.0554      0.0029     0.040     0.030     0.479     0.453     0.385
20180922      2458383.0     1212.      1.    5.00E+000      0.9547      0.9964      0.0029     0.011     0.007     0.543     0.601     0.441
20180923      2458384.0     2916.      1.    5.00E+000      0.9858      0.9272      0.0029     0.007     0.005     0.756     0.809     0.481
20180924      2458385.0     3186.      1.    5.00E+000      0.9983      0.8506      0.0029     0.006     0.004     0.779     0.852     0.587
20180925      2458386.0     4232.      1.    5.00E+000      0.9907      0.7696      0.0029     0.006     0.003     0.297     0.652     0.461
20180926      2458387.0     3031.      1.    5.00E+000      0.9624      0.6879      0.0029     0.007     0.004     0.269     0.636     0.349
20180927      2458388.0     4226.      1.    5.00E+000      0.9134      0.6095      0.0029     0.006     0.004     0.212     0.549     0.284
20180928      2458389.0     4435.      1.    5.00E+000      0.8450      0.5390      0.0029     0.006     0.004     0.239     0.389     0.320
20180929      2458390.0     4997.      1.    5.00E+000      0.7594      0.4807      0.0029     0.006     0.004     0.270     0.291     0.281
