model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20180900      2458361.0        0.      0.    5.00E+000      0.7145      0.5822      0.0029     8.300    -0.300     8.774     8.685     8.707
20180901      2458362.0       69.      0.    5.00E+000      0.6248      0.5386      0.0029     8.300    -0.300     9.185     8.988     9.038
20180902      2458363.0      268.      1.    5.00E+000      0.5164      0.5551      0.0029     8.433    -0.563     9.605     9.267     9.128
20180903      2458364.0     9887.      1.    5.00E+000      0.4052      0.6566      0.0029     8.351    -0.307    11.200    10.729    10.152
20180904      2458365.0     9739.      1.    5.00E+000      0.2956      0.8064      0.0029     8.368    -0.368    11.169    10.663    10.103
20180905      2458366.0     8262.      1.    5.00E+000      0.1948      0.9910      0.0029     8.353    -0.400    11.134    10.564     9.999
20180906      2458367.0     2768.      1.    5.00E+000      0.1096      1.1955      0.0029     7.936    -0.255    10.707    10.131     9.528
20180907      2458368.0     5270.      1.    5.00E+000      0.0464      1.4031      0.0029     8.334    -0.439    11.028    10.531     9.907
20180908      2458369.0    11428.      1.    5.00E+000      0.0097      1.6018      0.0029     8.412    -0.370    11.274    10.774    10.197
20180909      2458370.0     1828.      1.    5.00E+000      0.0019      1.6985      0.0029     8.219    -0.556    10.587    10.123     9.645
20180910      2458371.0     7748.      1.    5.00E+000      0.0226      1.5902      0.0029     8.470    -0.536    11.145    10.547     9.981
20180911      2458372.0     8777.      1.    5.00E+000      0.0685      1.5126      0.0029     8.391    -0.434    11.162    10.631    10.081
20180912      2458373.0     1295.      1.    5.00E+000      0.1349      1.4266      0.0029     8.259    -0.604    10.449     9.947     9.540
20180913      2458374.0     2737.      1.    5.00E+000      0.2160      1.3229      0.0029     8.363    -0.678    10.660    10.136     9.577
20180914      2458375.0     1179.      1.    5.00E+000      0.3072      1.2604      0.0029     8.111    -0.487    10.591     9.970     9.403
20180915      2458376.0     4380.      1.    5.00E+000      0.4035      1.2091      0.0029     8.240    -0.515    11.032    10.284     9.593
20180916      2458377.0      231.      1.    5.00E+000      0.5011      1.1731      0.0029     7.509    -0.010    10.003     9.695     9.416
20180917      2458378.0      349.      1.    5.00E+000      0.5970      1.1497      0.0029     8.259    -0.680     9.449     9.238     9.023
20180918      2458379.0     3022.      1.    5.00E+000      0.6875      1.1409      0.0029     8.375    -0.716    10.809    10.105     9.437
20180919      2458380.0     4271.      1.    5.00E+000      0.7711      1.1257      0.0029     8.470    -0.709    10.834    10.147     9.454
20180920      2458381.0     6710.      1.    5.00E+000      0.8450      1.0941      0.0029     8.439    -0.499    10.717    10.169     9.572
20180921      2458382.0     2537.      1.    5.00E+000      0.9071      1.0478      0.0029     8.346    -0.474    10.258     9.770     9.266
20180922      2458383.0     2639.      1.    5.00E+000      0.9547      0.9889      0.0029     8.098    -0.342    10.059     9.466     9.068
20180923      2458384.0     3341.      1.    5.00E+000      0.9857      0.9196      0.0029     8.358    -0.332    10.075     9.671     9.201
20180924      2458385.0     3079.      1.    5.00E+000      0.9983      0.8429      0.0029     8.300    -0.300     9.926     9.505     9.036
20180925      2458386.0     1407.      1.    5.00E+000      0.9908      0.7621      0.0029     8.319    -0.286     8.456     8.148     8.210
20180926      2458387.0     2818.      1.    5.00E+000      0.9626      0.6803      0.0029     8.300    -0.300     9.895     9.513     9.065
20180927      2458388.0     5144.      1.    5.00E+000      0.9135      0.6021      0.0029     8.300    -0.300    10.036     9.830     9.398
20180928      2458389.0     5752.      1.    5.00E+000      0.8453      0.5312      0.0029     8.448    -0.404    10.205     9.916     9.526
20180929      2458390.0     6206.      1.    5.00E+000      0.7597      0.4730      0.0029     8.255    -0.285    10.478    10.125     9.690
