model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      1.222926E-011     -5.240480E-009      5.135372E-009      6.798071E-010     -4.973827E-010     -6.516157E-017      1.618597E-015      5.364026E-015     -1.746808E-013      7.790973E-010
     -5.240480E-009      1.476376E-004     -2.118332E-005     -3.248059E-005      2.090542E-006     -1.376587E-011      5.436546E-011      6.960955E-011      3.321234E-009     -7.189372E-006
      5.135372E-009     -2.118332E-005      1.862189E-004      2.216083E-006     -4.134832E-005     -9.639881E-012     -1.317106E-010      5.783389E-010     -5.748656E-009      2.374223E-006
      6.798071E-010     -3.248059E-005      2.216083E-006      1.652823E-005     -4.411753E-008      5.916032E-012     -1.787245E-011     -3.123606E-011      4.182853E-010     -5.761681E-006
     -4.973827E-010      2.090542E-006     -4.134832E-005     -4.411753E-008      2.069905E-005      3.641438E-012     -4.135868E-011      1.667466E-012     -3.226240E-009     -2.092048E-006
     -6.516157E-017     -1.376587E-011     -9.639881E-012      5.916032E-012      3.641438E-012      3.349847E-015     -2.378537E-015     -2.519157E-014     -5.662666E-015     -7.348647E-012
      1.618597E-015      5.436546E-011     -1.317106E-010     -1.787245E-011     -4.135868E-011     -2.378537E-015      3.587034E-013     -4.425715E-013      1.269063E-013      5.897958E-011
      5.364026E-015      6.960955E-011      5.783389E-010     -3.123606E-011      1.667466E-012     -2.519157E-014     -4.425715E-013      8.870999E-013     -5.515291E-015      1.287372E-010
     -1.746808E-013      3.321234E-009     -5.748656E-009      4.182853E-010     -3.226240E-009     -5.662666E-015      1.269063E-013     -5.515291E-015      1.488659E-011      2.942626E-009
      7.790973E-010     -7.189372E-006      2.374223E-006     -5.761681E-006     -2.092048E-006     -7.348647E-012      5.897958E-011      1.287372E-010      2.942626E-009      4.739831E-005
