model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000      8.188833E-005      9.904765E-006      1.348942E-005     -6.682255E-005      4.428653E-005      1.248021E-005
           0.087266                NaN                NaN                NaN      3.595446E-005      1.583282E-005      1.252399E-005
           0.174533                NaN                NaN                NaN     -2.231734E-005      1.250286E-005      1.276981E-005
           0.261799                NaN                NaN                NaN     -8.547878E-005      1.035319E-005      1.318838E-005
           0.349066      1.041438E-004      1.326797E-005      1.363450E-005     -1.471196E-004      9.549824E-006      1.373118E-005
           0.436332                NaN                NaN                NaN     -1.405720E-004      9.214908E-006      1.434050E-005
           0.523599                NaN                NaN                NaN     -8.944304E-005      8.944944E-006      1.495286E-005
           0.610865                NaN                NaN                NaN      5.035693E-005      8.911742E-006      1.550182E-005
           0.698132      4.526947E-005      1.066047E-005      1.364130E-005      1.339183E-004      8.983744E-006      1.592256E-005
           0.785398                NaN                NaN                NaN      2.274584E-004      9.334636E-006      1.616241E-005
           0.872665                NaN                NaN                NaN      1.695145E-004      1.054571E-005      1.620497E-005
           0.959931                NaN                NaN                NaN     -9.659297E-006      1.137068E-005      1.612017E-005
           1.047198      2.864768E-005      9.331781E-006      1.312119E-005     -2.988484E-004      1.318877E-005      1.615316E-005
           1.134464                NaN                NaN                NaN     -3.588416E-004      1.586838E-005      1.682839E-005
           1.221731                NaN                NaN                NaN     -1.626784E-006      2.038943E-005      1.892509E-005
           1.308997                NaN                NaN                NaN      1.306554E-003      3.294540E-005      2.316405E-005
           1.396263     -4.576491E-005      9.105681E-006      1.263686E-005      3.284485E-003      1.063644E-004      2.988580E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      3.910889E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      5.074359E-005
           1.745329     -2.079806E-005      8.979494E-006      1.228725E-005                NaN                NaN                NaN
           2.094395      1.870765E-005      9.031649E-006      1.233506E-005                NaN                NaN                NaN
           2.443461      6.519608E-005      9.200134E-006      1.300063E-005                NaN                NaN                NaN
           2.792527      4.453097E-005      1.038059E-005      1.346302E-005                NaN                NaN                NaN
           3.141593      1.109220E-005      1.270582E-005      1.409451E-005                NaN                NaN                NaN
           3.490659      7.542058E-005      1.518486E-005      1.430348E-005                NaN                NaN                NaN
           3.839725      2.501227E-005      1.485391E-005      1.427518E-005                NaN                NaN                NaN
           4.188790     -3.695138E-005      1.320912E-005      1.362185E-005                NaN                NaN                NaN
           4.537856     -8.385151E-005      1.041570E-005      1.297452E-005                NaN                NaN                NaN
           4.886922     -3.685195E-005      8.301370E-006      1.252690E-005                NaN                NaN                NaN
           5.235988     -1.113596E-005      8.552604E-006      1.238876E-005                NaN                NaN                NaN
           5.585054     -3.173143E-006      8.214829E-006      1.279376E-005                NaN                NaN                NaN
           5.934120      2.573179E-006      7.947116E-006      1.305824E-005                NaN                NaN                NaN
           6.283185      8.188833E-005      9.904765E-006      1.348942E-005                NaN                NaN                NaN
