model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20181002      2458393.0    16518.      5.469728E-002      5.479084E+002      6.587236E+002      5.406364E+002      6.599154E+002      2.880882E-003      2.469383E-003      9.345381E-003      7.489317E-004      2.484867E-001
20181003      2458394.0    15821.      5.470159E-002      5.479002E+002      6.587665E+002      5.406057E+002      6.599552E+002      2.879728E-003      2.533374E-003      9.290649E-003      7.624220E-004      3.287048E-001
20181004      2458395.0    19998.      5.467767E-002      5.479819E+002      6.587527E+002      5.406108E+002      6.599281E+002      2.881061E-003      2.436521E-003      9.377010E-003      7.229364E-004      2.945218E-001
20181005      2458396.0      413.      5.505092E-002      5.463530E+002      6.594315E+002      5.407701E+002      6.600515E+002      2.831686E-003      8.805721E-003      6.523378E-003      1.485434E-003      5.923669E+000
20181008      2458399.0     8810.      5.468275E-002      5.478921E+002      6.587278E+002      5.405917E+002      6.599578E+002      2.878803E-003      2.630516E-003      9.200622E-003      7.701559E-004      3.211160E-001
20181009      2458400.0    15550.      5.468032E-002      5.478816E+002      6.587743E+002      5.406063E+002      6.599528E+002      2.878352E-003      2.639808E-003      9.194499E-003      7.466566E-004      2.486452E-001
20181010      2458401.0    17499.      5.468990E-002      5.479615E+002      6.587849E+002      5.405969E+002      6.599436E+002      2.880024E-003      2.506773E-003      9.311741E-003      7.659489E-004      3.762307E-001
20181011      2458402.0    16130.      5.466259E-002      5.479405E+002      6.587145E+002      5.406205E+002      6.599551E+002      2.878843E-003      2.607791E-003      9.220544E-003      7.777491E-004      2.691750E-001
20181012      2458403.0    20238.      5.467283E-002      5.479536E+002      6.587012E+002      5.406389E+002      6.599522E+002      2.880139E-003      2.499205E-003      9.318452E-003      7.548052E-004      3.289018E-001
20181013      2458404.0    16949.      5.466843E-002      5.479562E+002      6.587397E+002      5.406232E+002      6.599309E+002      2.879068E-003      2.589434E-003      9.237981E-003      6.869997E-004      2.820673E-001
20181014      2458405.0     7003.      5.465785E-002      5.478708E+002      6.588347E+002      5.405972E+002      6.599365E+002      2.876205E-003      2.817098E-003      9.044771E-003      7.761184E-004      2.772896E-001
20181015      2458406.0      386.      5.457653E-002      5.471608E+002      6.585617E+002      5.406823E+002      6.599237E+002      2.870141E-003      3.515352E-003      8.479215E-003      1.024262E-003      5.400821E+000
20181016      2458407.0      182.      5.433749E-002      5.459651E+002      6.580183E+002      5.407484E+002      6.601562E+002      2.866110E-003      3.725092E-003      8.411076E-003      1.334061E-003      5.987173E+000
20181017      2458408.0      262.      5.474712E-002      5.473309E+002      6.589874E+002      5.407441E+002      6.598942E+002      2.875739E-003      2.797872E-003      9.094706E-003      2.889113E-004      6.047945E+000
20181018      2458409.0     6849.      5.467759E-002      5.479019E+002      6.586945E+002      5.406171E+002      6.599771E+002      2.878267E-003      2.653163E-003      9.184783E-003      8.139790E-004      4.137155E-001
20181019      2458410.0    12538.      5.467729E-002      5.479772E+002      6.587650E+002      5.406273E+002      6.599279E+002      2.878824E-003      2.606545E-003      9.224870E-003      7.424568E-004      3.464797E-001
20181020      2458411.0     3295.      5.471377E-002      5.478769E+002      6.587197E+002      5.406411E+002      6.599225E+002      2.876191E-003      2.810403E-003      9.047706E-003      7.499453E-004      6.075770E+000
20181021      2458412.0    11071.      5.467976E-002      5.482493E+002      6.586390E+002      5.405343E+002      6.598990E+002      2.876577E-003      2.786970E-003      9.080173E-003      7.555527E-004      6.303754E-001
20181022      2458413.0     4058.      5.467092E-002      5.480320E+002      6.586036E+002      5.405934E+002      6.599355E+002      2.878187E-003      2.667536E-003      9.172809E-003      8.165549E-004      4.078407E-001
20181024      2458415.0     5035.      5.473622E-002      5.479102E+002      6.586809E+002      5.406055E+002      6.599440E+002      2.876515E-003      2.826753E-003      9.038779E-003      8.647330E-004      2.134733E-001
20181025      2458416.0      840.      5.469094E-002      5.478632E+002      6.588393E+002      5.405963E+002      6.599042E+002      2.879594E-003      2.488264E-003      9.336096E-003      7.019969E-004      4.289789E-001
20181030      2458421.0      816.      5.445723E-002      5.473882E+002      6.587053E+002      5.406141E+002      6.599297E+002      2.873933E-003      3.081364E-003      8.829774E-003      9.119186E-004      6.857257E-001
20181031      2458422.0     7622.      5.468601E-002      5.480023E+002      6.587567E+002      5.405976E+002      6.599196E+002      2.880223E-003      2.515348E-003      9.299081E-003      6.638278E-004      2.137265E-001
