model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20181002      2458393.0    16518.      1.265798E-005      4.333455E-002      4.863365E-002      1.451389E-002      1.642093E-002      2.076433E-007      2.072385E-006      3.390010E-006      1.423262E-005      1.738531E-002
20181003      2458394.0    15821.      1.287816E-005      4.368295E-002      4.911607E-002      1.514219E-002      1.685361E-002      2.120616E-007      2.084948E-006      3.372589E-006      1.263323E-005      2.571986E-002
20181004      2458395.0    19998.      1.090796E-005      3.711874E-002      4.161510E-002      1.345491E-002      1.493238E-002      1.843833E-007      1.664633E-006      2.805217E-006      1.178167E-005      2.249364E-002
20181005      2458396.0      413.      1.466848E-004      4.053118E-001      4.648723E-001      1.239665E-001      1.420927E-001      2.056634E-006      7.456698E-005      2.923864E-005      1.060358E-004      1.321855E-001
20181008      2458399.0     8810.      1.814442E-005      6.171572E-002      6.739423E-002      2.076480E-002      2.302121E-002      2.929707E-007      2.976973E-006      4.564355E-006      2.111842E-005      3.159146E-002
20181009      2458400.0    15550.      1.304073E-005      4.517121E-002      5.068238E-002      1.441959E-002      1.628127E-002      2.110549E-007      2.353479E-006      3.532802E-006      1.330341E-005      1.775973E-002
20181010      2458401.0    17499.      1.188719E-005      4.114678E-002      4.603965E-002      1.392567E-002      1.560453E-002      1.965391E-007      1.964823E-006      3.176735E-006      1.245741E-005      2.148301E-002
20181011      2458402.0    16130.      1.288026E-005      4.469265E-002      4.970411E-002      1.433501E-002      1.608883E-002      2.082300E-007      2.275964E-006      3.513026E-006      1.343013E-005      1.723198E-002
20181012      2458403.0    20238.      1.105203E-005      3.799283E-002      4.235675E-002      1.351365E-002      1.504225E-002      1.859249E-007      1.761464E-006      2.866574E-006      1.181507E-005      2.208759E-002
20181013      2458404.0    16949.      1.231521E-005      4.315302E-002      4.821040E-002      1.415194E-002      1.591845E-002      2.028497E-007      2.162978E-006      3.374847E-006      1.255303E-005      2.072442E-002
20181014      2458405.0     7003.      2.114157E-005      7.051629E-002      8.147418E-002      2.231844E-002      2.517784E-002      3.362422E-007      4.000719E-006      5.490691E-006      2.262767E-005      2.677870E-002
20181015      2458406.0      386.      1.219986E-004      3.920441E-001      4.713961E-001      1.117662E-001      1.203889E-001      1.676795E-006      2.852598E-005      2.920041E-005      1.000267E-004      1.168507E-001
20181016      2458407.0      182.      2.108576E-004      6.285369E-001      7.336202E-001      1.532578E-001      1.697436E-001      2.897616E-006      6.065709E-005      6.273433E-005      1.296236E-004      2.030639E-001
20181017      2458408.0      262.      1.263991E-004      4.476952E-001      4.890013E-001      1.893896E-001      2.204032E-001      2.057237E-006      1.849416E-005      2.907074E-005      4.739100E-005      2.678348E-001
20181018      2458409.0     6849.      2.146140E-005      7.548232E-002      8.177580E-002      2.361793E-002      2.665407E-002      3.431613E-007      3.924324E-006      5.835398E-006      2.183797E-005      2.386737E-002
20181019      2458410.0    12538.      1.359543E-005      4.865843E-002      5.511427E-002      1.535156E-002      1.730949E-002      2.248460E-007      2.507454E-006      3.878554E-006      1.453503E-005      1.925152E-002
20181020      2458411.0     3295.      2.546033E-005      8.973463E-002      1.139136E-001      2.722173E-002      3.045463E-002      4.183540E-007      5.522780E-006      7.598810E-006      2.657925E-005      4.519341E-002
20181021      2458412.0    11071.      1.393163E-005      5.013872E-002      5.728872E-002      1.608848E-002      1.813181E-002      2.384741E-007      2.735089E-006      4.027052E-006      5.089507E-006      3.128779E-002
20181022      2458413.0     4058.      2.444101E-005      8.696154E-002      9.674037E-002      2.794759E-002      3.241804E-002      4.123483E-007      4.449119E-006      6.892251E-006      2.670838E-005      3.773595E-002
20181024      2458415.0     5035.      1.968497E-005      7.456254E-002      8.686205E-002      2.346767E-002      2.666982E-002      3.563291E-007      4.189803E-006      6.074113E-006      2.148651E-005      3.272820E-002
20181025      2458416.0      840.      4.881418E-005      1.899441E-001      2.130354E-001      7.368077E-002      7.706106E-002      8.505162E-007      7.865929E-006      1.211016E-005      4.006596E-005      9.494989E-002
20181030      2458421.0      816.      8.364466E-005      2.468097E-001      2.759396E-001      8.444557E-002      9.105711E-002      1.261244E-006      1.519780E-005      1.902070E-005      7.399110E-005      1.071104E-001
20181031      2458422.0     7622.      1.731284E-005      6.111341E-002      7.040206E-002      2.068117E-002      2.297075E-002      2.885085E-007      2.979522E-006      4.854986E-006      1.689330E-005      3.596854E-002
