model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181001      2458392.0        0.      0.    5.00E+000      0.5521      0.4522      0.0029     8.300    -0.300     9.260     9.132     9.204
20181002      2458393.0    16518.      1.    5.00E+000      0.4392      0.5502      0.0029     8.336    -0.260    11.348    10.995    10.579
20181003      2458394.0    15821.      1.    5.00E+000      0.3275      0.7096      0.0029     8.320    -0.222    11.347    11.010    10.678
20181004      2458395.0    19998.      1.    5.00E+000      0.2240      0.9024      0.0029     8.386    -0.228    11.446    11.162    10.846
20181005      2458396.0      413.      1.    5.00E+000      0.1348      1.1085      0.0029     7.873    -0.225     9.662     9.538     9.533
20181006      2458397.0        0.      0.    5.00E+000      0.0658      1.3221      0.0029     8.300    -0.300     9.275     9.292     9.366
20181007      2458398.0        0.      0.    5.00E+000      0.0208      1.5057      0.0029     8.300    -0.300     9.994     9.806     9.804
20181008      2458399.0     8810.      1.    5.00E+000      0.0025      1.7112      0.0029     8.341    -0.345    11.196    10.653    10.194
20181009      2458400.0    15550.      1.    5.00E+000      0.0103      1.6044      0.0029     8.415    -0.393    11.392    11.039    10.638
20181010      2458401.0    17499.      1.    5.00E+000      0.0421      1.5331      0.0029     8.407    -0.304    11.404    11.049    10.682
20181011      2458402.0    16130.      1.    5.00E+000      0.0946      1.4549      0.0029     8.378    -0.350    11.398    11.018    10.628
20181012      2458403.0    20238.      1.    5.00E+000      0.1633      1.3790      0.0029     8.417    -0.282    11.473    11.191    10.869
20181013      2458404.0    16949.      1.    5.00E+000      0.2437      1.2888      0.0029     8.401    -0.362    11.398    11.097    10.738
20181014      2458405.0     7003.      1.    5.00E+000      0.3323      1.2331      0.0029     8.339    -0.370    10.847    10.422    10.303
20181015      2458406.0      386.      1.    5.00E+000      0.4258      1.1890      0.0029     7.792    -0.241    10.128     9.727     9.541
20181016      2458407.0      182.      1.    5.00E+000      0.5204      1.1573      0.0029     7.777    -0.043     9.657     9.548     9.672
20181017      2458408.0      262.      1.    5.00E+000      0.6137      1.1310      0.0029     7.765    -0.063     9.785     9.504     9.616
20181018      2458409.0     6849.      1.    5.00E+000      0.7030      1.0900      0.0029     8.337    -0.329    10.687    10.255     9.910
20181019      2458410.0    12538.      1.    5.00E+000      0.7854      1.0358      0.0029     8.411    -0.371    10.878    10.556    10.075
20181020      2458411.0     3295.      1.    5.00E+000      0.8588      0.9699      0.0029     8.336    -0.330    10.256     9.683     9.411
20181021      2458412.0    11071.      1.    5.00E+000      0.9196      0.8953      0.0029     8.408    -0.299    10.635    10.260     9.756
20181022      2458413.0     4058.      1.    5.00E+000      0.9650      0.8144      0.0029     8.339    -0.279     9.981     9.454     9.050
20181023      2458414.0        0.      0.    5.00E+000      0.9917      0.7307      0.0029     8.300    -0.300     8.949     8.487     8.556
20181024      2458415.0     5035.      1.    5.00E+000      0.9971      0.6483      0.0029     8.316    -0.220     9.945     9.594     9.182
20181025      2458416.0      840.      1.    5.00E+000      0.9796      0.5719      0.0029     8.153    -0.133     9.139     8.807     8.853
20181026      2458417.0        0.      0.    5.00E+000      0.9390      0.5064      0.0029     8.300    -0.300     9.379     9.264     9.264
20181027      2458418.0        0.      0.    5.00E+000      0.8759      0.4575      0.0029     8.300    -0.300     8.772     8.671     8.959
20181028      2458419.0        0.      0.    5.00E+000      0.7932      0.4303      0.0029     8.300    -0.300     9.134     8.931     8.965
20181029      2458420.0        0.      0.    5.00E+000      0.6947      0.4273      0.0029     8.300    -0.300     8.972     8.964     9.133
20181030      2458421.0      816.      1.    5.00E+000      0.5858      0.4494      0.0029     8.161    -0.190     9.864     9.624     9.565
20181031      2458422.0     7622.      1.    5.00E+000      0.4835      1.2593      0.0029     8.318    -0.287    11.170    10.839    10.482
