model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181001      2458392.0        0.      0.    5.00E+000      0.5521      0.4522      0.0029     0.000     0.000     0.174     0.505     0.905
20181002      2458393.0    16518.      1.    5.00E+000      0.4392      0.5502      0.0029     0.003     0.001     0.348     0.436     0.540
20181003      2458394.0    15821.      1.    5.00E+000      0.3275      0.7096      0.0029     0.003     0.002     0.340     0.409     0.528
20181004      2458395.0    19998.      1.    5.00E+000      0.2240      0.9024      0.0029     0.002     0.001     0.283     0.368     0.533
20181005      2458396.0      413.      1.    5.00E+000      0.1348      1.1085      0.0029     0.032     0.022     0.677     0.736     0.989
20181006      2458397.0        0.      0.    5.00E+000      0.0658      1.3221      0.0029     0.000     0.000     0.524     0.599     0.802
20181007      2458398.0        0.      0.    5.00E+000      0.0208      1.5057      0.0029     0.000     0.000     0.546     0.647     0.905
20181008      2458399.0     8810.      1.    5.00E+000      0.0025      1.7112      0.0029     0.004     0.002     0.820     0.949     0.916
20181009      2458400.0    15550.      1.    5.00E+000      0.0103      1.6044      0.0029     0.003     0.002     0.350     0.478     0.738
20181010      2458401.0    17499.      1.    5.00E+000      0.0421      1.5331      0.0029     0.002     0.001     0.292     0.389     0.621
20181011      2458402.0    16130.      1.    5.00E+000      0.0946      1.4549      0.0029     0.003     0.002     0.268     0.392     0.687
20181012      2458403.0    20238.      1.    5.00E+000      0.1633      1.3790      0.0029     0.002     0.001     0.231     0.323     0.505
20181013      2458404.0    16949.      1.    5.00E+000      0.2437      1.2888      0.0029     0.003     0.002     0.278     0.400     0.643
20181014      2458405.0     7003.      1.    5.00E+000      0.3323      1.2331      0.0029     0.005     0.003     0.705     0.691     0.739
20181015      2458406.0      386.      1.    5.00E+000      0.4258      1.1890      0.0029     0.024     0.016     0.571     0.703     0.958
20181016      2458407.0      182.      1.    5.00E+000      0.5204      1.1573      0.0029     0.048     0.040     0.605     0.702     0.928
20181017      2458408.0      262.      1.    5.00E+000      0.6137      1.1310      0.0029     0.040     0.021     0.510     0.704     0.888
20181018      2458409.0     6849.      1.    5.00E+000      0.7030      1.0900      0.0029     0.004     0.003     0.717     0.769     0.812
20181019      2458410.0    12538.      1.    5.00E+000      0.7854      1.0358      0.0029     0.003     0.002     0.414     0.597     0.760
20181020      2458411.0     3295.      1.    5.00E+000      0.8588      0.9699      0.0029     0.006     0.004     0.510     0.560     0.754
20181021      2458412.0    11071.      1.    5.00E+000      0.9196      0.8953      0.0029     0.003     0.002     0.406     0.599     0.693
20181022      2458413.0     4058.      1.    5.00E+000      0.9650      0.8144      0.0029     0.005     0.003     1.141     1.034     0.787
20181023      2458414.0        0.      0.    5.00E+000      0.9917      0.7307      0.0029     0.000     0.000     0.732     0.833     0.669
20181024      2458415.0     5035.      1.    5.00E+000      0.9971      0.6483      0.0029     0.005     0.003     0.280     0.821     0.537
20181025      2458416.0      840.      1.    5.00E+000      0.9796      0.5719      0.0029     0.015     0.008     0.799     0.788     0.673
20181026      2458417.0        0.      0.    5.00E+000      0.9390      0.5064      0.0029     0.000     0.000     0.503     0.541     0.690
20181027      2458418.0        0.      0.    5.00E+000      0.8759      0.4575      0.0029     0.000     0.000     0.355     0.498     0.716
20181028      2458419.0        0.      0.    5.00E+000      0.7932      0.4303      0.0029     0.000     0.000     0.363     0.544     0.731
20181029      2458420.0        0.      0.    5.00E+000      0.6947      0.4273      0.0029     0.000     0.000     0.489     0.553     0.730
20181030      2458421.0      816.      1.    5.00E+000      0.5858      0.4494      0.0029     0.016     0.009     0.706     0.706     0.804
20181031      2458422.0     7622.      1.    5.00E+000      0.4835      1.2593      0.0029     0.004     0.002     0.283     0.318     0.442
