model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      2.270525E-011     -8.372616E-009      5.444134E-009      9.572338E-010     -6.557922E-010      1.374604E-015     -1.193287E-014     -1.064606E-014     -8.915630E-013      2.918715E-009
     -8.372616E-009      2.909028E-004     -8.448724E-006     -5.675083E-005     -2.742868E-007     -3.486614E-011     -2.722235E-010      1.302525E-009      1.197291E-008     -8.899397E-006
      5.444134E-009     -8.448724E-006      3.581403E-004     -5.923569E-007     -7.185355E-005     -1.466513E-011     -2.875259E-010      1.149365E-009     -1.470933E-009      2.920933E-005
      9.572338E-010     -5.675083E-005     -5.923569E-007      2.778856E-005      4.219724E-007      5.642159E-012     -6.886365E-011     -4.417026E-012      6.360186E-009     -6.788650E-007
     -6.557922E-010     -2.742868E-007     -7.185355E-005      4.219724E-007      3.615439E-005      6.278418E-013     -1.249968E-010      6.361542E-011      1.102605E-009      1.710288E-005
      1.374604E-015     -3.486614E-011     -1.466513E-011      5.642159E-012      6.278418E-013      6.585969E-015     -8.340761E-015     -4.599412E-014      2.703156E-014      3.924788E-011
     -1.193287E-014     -2.722235E-010     -2.875259E-010     -6.886365E-011     -1.249968E-010     -8.340761E-015      9.611373E-013     -1.036646E-012     -3.824933E-013     -1.581209E-009
     -1.064606E-014      1.302525E-009      1.149365E-009     -4.417026E-012      6.361542E-011     -4.599412E-014     -1.036646E-012      1.829503E-012     -1.468037E-013      5.223357E-010
     -8.915630E-013      1.197291E-008     -1.470933E-009      6.360186E-009      1.102605E-009      2.703156E-014     -3.824933E-013     -1.468037E-013      4.452351E-011      3.921362E-009
      2.918715E-009     -8.899397E-006      2.920933E-005     -6.788650E-007      1.710288E-005      3.924788E-011     -1.581209E-009      5.223357E-010      3.921362E-009      1.988387E-004
