model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000      1.117347E-004      1.800250E-005      1.964255E-005      6.516740E-005      6.398317E-005      1.647618E-005
           0.087266                NaN                NaN                NaN      9.293119E-005      2.266217E-005      1.648838E-005
           0.174533                NaN                NaN                NaN     -2.611935E-006      1.788111E-005      1.676346E-005
           0.261799                NaN                NaN                NaN     -7.508947E-005      1.479301E-005      1.729342E-005
           0.349066     -4.819632E-005      2.169238E-005      1.893584E-005     -1.266122E-004      1.403317E-005      1.800573E-005
           0.436332                NaN                NaN                NaN     -1.184770E-004      1.370628E-005      1.881472E-005
           0.523599                NaN                NaN                NaN     -6.639606E-005      1.355539E-005      1.962731E-005
           0.610865                NaN                NaN                NaN      6.399512E-005      1.440697E-005      2.034808E-005
           0.698132     -1.745138E-004      1.622728E-005      1.897464E-005      1.798308E-004      1.491935E-005      2.088669E-005
           0.785398                NaN                NaN                NaN      2.591902E-004      1.558531E-005      2.117448E-005
           0.872665                NaN                NaN                NaN      1.204995E-004      1.852842E-005      2.120200E-005
           0.959931                NaN                NaN                NaN     -1.003066E-004      2.027408E-005      2.109607E-005
           1.047198     -1.832572E-004      1.522171E-005      1.794460E-005     -3.142892E-004      2.280849E-005      2.125288E-005
           1.134464                NaN                NaN                NaN     -4.017658E-004      2.861576E-005      2.247343E-005
           1.221731                NaN                NaN                NaN      2.863907E-004      3.809899E-005      2.585552E-005
           1.308997                NaN                NaN                NaN      1.843642E-003      5.505806E-005      3.228728E-005
           1.396263     -8.461822E-005      1.644977E-005      1.723031E-005      2.550240E-003      2.101659E-004      4.210456E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      5.528637E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      7.172232E-005
           1.745329      1.903097E-005      1.720433E-005      1.724789E-005                NaN                NaN                NaN
           2.094395      5.994817E-005      1.597939E-005      1.765630E-005                NaN                NaN                NaN
           2.443461      9.802514E-005      1.551565E-005      1.831053E-005                NaN                NaN                NaN
           2.792527      7.572150E-005      1.441498E-005      1.909524E-005                NaN                NaN                NaN
           3.141593      2.012408E-005      1.460571E-005      1.964450E-005                NaN                NaN                NaN
           3.490659     -4.827265E-005      1.634700E-005      1.911630E-005                NaN                NaN                NaN
           3.839725     -1.553878E-004      1.811953E-005      1.914362E-005                NaN                NaN                NaN
           4.188790     -1.650395E-004      1.807561E-005      1.827814E-005                NaN                NaN                NaN
           4.537856     -1.110035E-004      1.567721E-005      1.760947E-005                NaN                NaN                NaN
           4.886922      8.301673E-006      1.581522E-005      1.758127E-005                NaN                NaN                NaN
           5.235988      1.418396E-004      1.788845E-005      1.785065E-005                NaN                NaN                NaN
           5.585054      2.422576E-004      1.444664E-005      1.841766E-005                NaN                NaN                NaN
           5.934120      1.820459E-004      1.650973E-005      1.911896E-005                NaN                NaN                NaN
           6.283185      1.117347E-004      1.800250E-005      1.964255E-005                NaN                NaN                NaN
