model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20181000      2458391.0     1382.      1.148502E-004      2.368276E-001      2.589980E-001      8.850902E-002      9.425921E-002      1.335540E-006      1.765561E-005      1.816218E-005      1.075170E-004      9.707576E-002
20181001      2458392.0     1084.      1.092437E-004      2.553833E-001      2.354487E-001      1.039819E-001      1.195511E-001      1.513552E-006      2.446598E-005      1.705282E-005      9.447426E-005      1.410954E-001
20181002      2458393.0    14281.      1.542181E-005      5.365230E-002      6.025376E-002      1.756802E-002      1.997221E-002      2.588167E-007      2.896023E-006      4.208921E-006      1.819511E-005      4.060694E-002
20181003      2458394.0    15496.      1.446374E-005      5.028524E-002      5.637011E-002      1.662222E-002      1.899124E-002      2.439657E-007      2.636131E-006      3.998236E-006      1.974685E-005      4.269564E-002
20181004      2458395.0    15082.      1.492588E-005      5.137509E-002      5.750455E-002      1.685724E-002      1.923684E-002      2.469340E-007      2.639122E-006      4.084871E-006      1.933473E-005      3.504410E-002
20181005      2458396.0     2356.      6.702499E-005      1.681960E-001      2.013793E-001      6.833559E-002      7.616752E-002      9.451060E-007      1.457196E-005      1.276718E-005      5.618247E-005      4.004381E-001
20181006      2458397.0     8948.      1.780852E-005      6.530933E-002      7.251018E-002      1.995355E-002      2.287042E-002      3.037140E-007      3.464904E-006      5.215163E-006      2.305779E-005      5.164031E-002
20181007      2458398.0     2210.      5.782309E-005      1.514689E-001      1.669085E-001      5.538343E-002      6.203615E-002      8.535275E-007      8.176988E-006      1.095276E-005      6.293012E-005      1.295298E-001
20181008      2458399.0    12247.      1.609873E-005      5.758349E-002      6.379366E-002      1.781108E-002      2.026887E-002      2.676233E-007      3.093102E-006      4.650918E-006      2.107163E-005      4.996537E-002
20181009      2458400.0     8677.      2.144135E-005      7.783660E-002      8.735363E-002      2.243804E-002      2.546430E-002      3.533484E-007      4.551836E-006      6.430689E-006      2.994757E-005      5.436880E-002
20181011      2458402.0     1692.      6.637528E-005      1.960275E-001      1.935709E-001      7.305086E-002      8.500362E-002      1.034266E-006      1.385180E-005      1.297372E-005      5.828260E-005      1.359834E-001
20181012      2458403.0    12783.      1.521299E-005      5.626600E-002      6.193770E-002      1.717796E-002      1.969202E-002      2.582171E-007      3.046365E-006      4.516978E-006      1.876473E-005      4.429796E-002
20181013      2458404.0     7226.      2.031262E-005      7.774956E-002      8.705317E-002      2.049686E-002      2.341308E-002      3.456830E-007      5.160219E-006      6.861797E-006      2.579250E-005      7.084233E-002
20181014      2458405.0     3694.      2.949645E-005      1.142864E-001      1.287303E-001      2.733889E-002      3.192622E-002      5.029121E-007      7.659191E-006      1.050164E-005      2.913865E-005      1.287825E-001
20181015      2458406.0      879.      5.296746E-005      2.085744E-001      2.204862E-001      5.805860E-002      7.313528E-002      1.059656E-006      1.604047E-005      1.804351E-005      3.929405E-005      1.937431E-001
20181017      2458408.0      500.      1.441139E-004      4.071784E-001      3.799279E-001      1.714253E-001      1.990312E-001      2.222147E-006      4.640071E-005      2.650663E-005      3.905014E-005      5.933264E-001
20181018      2458409.0     2832.      3.110851E-005      1.223286E-001      1.315437E-001      3.426992E-002      3.950474E-002      5.835485E-007      9.987059E-006      1.013819E-005      3.458506E-005      1.101122E-001
20181019      2458410.0     5978.      1.934573E-005      7.657229E-002      8.453762E-002      2.085311E-002      2.385861E-002      3.419056E-007      4.639603E-006      6.541484E-006      2.297380E-005      6.014186E-002
20181020      2458411.0     8310.      1.734699E-005      6.561235E-002      7.300178E-002      1.924116E-002      2.182079E-002      3.022840E-007      3.611245E-006      5.298162E-006      2.403387E-005      5.213472E-002
20181021      2458412.0     4295.      2.412201E-005      9.374482E-002      1.026044E-001      2.779194E-002      3.136735E-002      4.371163E-007      5.528421E-006      7.529624E-006      2.975665E-005      6.738780E-002
20181022      2458413.0     7645.      1.672674E-005      6.426520E-002      7.232846E-002      1.961264E-002      2.247451E-002      3.019947E-007      3.685914E-006      5.234467E-006      1.652730E-005      4.712087E-002
20181023      2458414.0     6050.      1.984952E-005      7.616489E-002      8.533678E-002      2.264449E-002      2.583259E-002      3.611281E-007      4.670433E-006      6.143509E-006      2.450853E-005      6.122351E-002
20181024      2458415.0       69.      1.990037E-004      1.050510E+000      1.092292E+000      4.484896E-001      5.006872E-001      4.792848E-006      9.104181E-005      6.505301E-005      1.132826E-004      1.592320E-001
20181028      2458419.0      222.      2.189485E-004      5.731354E-001      6.591614E-001      2.151201E-001      2.261154E-001      3.105831E-006      6.612814E-005      4.420593E-005      9.213051E-005      2.325323E-001
20181030      2458421.0      238.      2.019038E-004      5.080416E-001      6.089373E-001      2.191668E-001      2.671863E-001      3.069454E-006      5.750738E-005      3.418248E-005      1.030286E-004      2.363084E-001
