model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181000      2458391.0     1382.      1.    5.00E+000      0.6464      0.4290      0.0029     0.014     0.006     1.024     0.932     0.621
20181001      2458392.0     1084.      0.    5.00E+000      0.5508      0.4321      0.0029     0.000     0.000     1.006     0.965     0.691
20181002      2458393.0    14281.      1.    5.00E+000      0.4376      0.5354      0.0029     0.003     0.002     0.224     0.292     0.397
20181003      2458394.0    15496.      1.    5.00E+000      0.3260      0.6999      0.0029     0.003     0.002     0.210     0.288     0.411
20181004      2458395.0    15082.      1.    5.00E+000      0.2225      0.8943      0.0029     0.003     0.002     0.186     0.263     0.398
20181005      2458396.0     2356.      0.    5.00E+000      0.1337      1.1044      0.0029     0.000     0.000     1.278     1.092     0.647
20181006      2458397.0     8948.      1.    5.00E+000      0.0651      1.3189      0.0029     0.004     0.002     0.858     0.946     0.663
20181007      2458398.0     2210.      1.    5.00E+000      0.0206      1.5312      0.0029     0.009     0.005     1.096     0.991     0.719
20181008      2458399.0    12247.      1.    5.00E+000      0.0024      1.7190      0.0029     0.003     0.002     0.324     0.351     0.502
20181009      2458400.0     8677.      1.    5.00E+000      0.0106      1.6060      0.0029     0.005     0.003     0.755     0.628     0.583
20181010      2458401.0        0.      0.    5.00E+000      0.0428      1.5317      0.0029     0.000     0.000     0.634     0.698     0.763
20181011      2458402.0     1692.      0.    5.00E+000      0.0955      1.4478      0.0029     0.000     0.000     1.084     1.064     0.902
20181012      2458403.0    12783.      1.    5.00E+000      0.1644      1.3658      0.0029     0.003     0.002     0.153     0.262     0.454
20181013      2458404.0     7226.      1.    5.00E+000      0.2449      1.2730      0.0029     0.005     0.003     0.195     0.409     0.514
20181014      2458405.0     3694.      1.    5.00E+000      0.3337      1.2149      0.0029     0.007     0.005     0.497     0.506     0.559
20181015      2458406.0      879.      1.    5.00E+000      0.4269      1.1687      0.0029     0.016     0.011     0.626     0.497     0.487
20181016      2458407.0        0.      0.    5.00E+000      0.5218      1.1360      0.0029     0.000     0.000     0.537     0.538     0.483
20181017      2458408.0      500.      0.    5.00E+000      0.6150      1.1093      0.0029     0.000     0.000     0.909     0.780     0.527
20181018      2458409.0     2832.      1.    5.00E+000      0.7042      1.0681      0.0029     0.010     0.006     0.404     0.435     0.566
20181019      2458410.0     5978.      1.    5.00E+000      0.7866      1.0137      0.0029     0.005     0.003     0.288     0.452     0.603
20181020      2458411.0     8310.      1.    5.00E+000      0.8597      0.9477      0.0029     0.004     0.002     0.282     0.472     0.576
20181021      2458412.0     4295.      1.    5.00E+000      0.9204      0.8730      0.0029     0.006     0.003     0.551     0.790     0.822
20181022      2458413.0     7645.      1.    5.00E+000      0.9655      0.7921      0.0029     0.004     0.002     0.236     0.585     0.469
20181023      2458414.0     6050.      1.    5.00E+000      0.9919      0.7083      0.0029     0.005     0.003     0.376     0.722     0.388
20181024      2458415.0       69.      0.    5.00E+000      0.9971      0.6260      0.0029     0.000     0.000     0.714     0.872     0.637
20181025      2458416.0        0.      0.    5.00E+000      0.9794      0.5497      0.0029     0.000     0.000     0.519     0.366     0.469
20181026      2458417.0        0.      0.    5.00E+000      0.9382      0.4844      0.0029     0.000     0.000     0.694     0.601     0.576
20181027      2458418.0        0.      0.    5.00E+000      0.8748      0.4358      0.0029     0.000     0.000     0.131     0.268     0.451
20181028      2458419.0      222.      0.    5.00E+000      0.7918      0.4089      0.0029     0.000     0.000     0.980     0.823     0.775
20181029      2458420.0        0.      0.    5.00E+000      0.6922      0.4061      0.0029     0.000     0.000     0.477     0.510     0.614
20181030      2458421.0      238.      0.    5.00E+000      0.5842      0.4286      0.0029     0.000     0.000     1.135     0.829     0.701
20181031      2458422.0        0.      0.    5.00E+000      0.4959      2.0262      0.0029     0.000     0.000     0.541     0.583     0.651
