model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20181101      2458423.0     1642.     -1.808552E-001      4.702900E+002      5.874137E+002      4.734095E+002      5.867170E+002      2.865628E-003      3.658288E-003      8.472110E-003      6.419323E-004      2.919223E+000
20181103      2458425.0      497.     -1.808376E-001      4.701325E+002      5.873044E+002      4.733763E+002      5.867543E+002      2.852691E-003      5.331517E-003      7.585463E-003      5.626811E-004      2.670309E+000
20181104      2458426.0     4050.     -1.808816E-001      4.702352E+002      5.875243E+002      4.733651E+002      5.866995E+002      2.870895E-003      3.195240E-003      8.766282E-003      6.848467E-004      3.006918E+000
20181106      2458428.0      631.     -1.806719E-001      4.702545E+002      5.869871E+002      4.733843E+002      5.867603E+002      2.873736E-003      2.971720E-003      8.941276E-003      4.548940E-004      2.490281E+000
20181107      2458429.0       56.     -1.809239E-001      4.700703E+002      5.872958E+002      4.732725E+002      5.864938E+002      2.877953E-003      2.903240E-003      8.926682E-003      8.199880E-004      8.487095E-001
20181108      2458430.0       55.     -1.796287E-001      4.712452E+002      5.836385E+002      4.738239E+002      5.870033E+002      2.871380E-003      3.194097E-003      8.861733E-003      3.921796E-003      4.321910E+000
20181112      2458434.0      246.     -1.808239E-001      4.706660E+002      5.877474E+002      4.734008E+002      5.866219E+002      2.848233E-003      5.793437E-003      7.437955E-003      8.660628E-004      3.440463E+000
20181113      2458435.0       57.     -1.808643E-001      4.692684E+002      5.877719E+002      4.735106E+002      5.868976E+002      2.846064E-003      6.414610E-003      7.335040E-003      1.900227E-003      1.953469E+000
20181114      2458436.0     8658.     -1.808186E-001      4.701332E+002      5.875261E+002      4.734556E+002      5.866712E+002      2.872264E-003      3.051956E-003      8.877782E-003      7.411595E-004      3.077359E+000
20181115      2458437.0     6189.     -1.808186E-001      4.702187E+002      5.874768E+002      4.734247E+002      5.867039E+002      2.869900E-003      3.272225E-003      8.718526E-003      6.468961E-004      3.073587E+000
20181116      2458438.0     8828.     -1.808506E-001      4.702564E+002      5.874088E+002      4.734620E+002      5.866327E+002      2.872230E-003      3.051982E-003      8.876611E-003      6.858880E-004      3.006605E+000
20181117      2458439.0     9378.     -1.808663E-001      4.701758E+002      5.873952E+002      4.734826E+002      5.866172E+002      2.870376E-003      3.220043E-003      8.755395E-003      6.936769E-004      3.023466E+000
20181118      2458440.0    10630.     -1.808481E-001      4.702976E+002      5.873629E+002      4.734782E+002      5.866038E+002      2.872199E-003      3.064326E-003      8.866626E-003      6.335305E-004      2.884572E+000
20181119      2458441.0     2012.     -1.808206E-001      4.701487E+002      5.873591E+002      4.734781E+002      5.865543E+002      2.869894E-003      3.258949E-003      8.725785E-003      7.429052E-004      3.132840E+000
20181120      2458442.0     5472.     -1.808766E-001      4.702110E+002      5.874227E+002      4.734435E+002      5.866391E+002      2.872583E-003      3.012691E-003      8.911382E-003      6.679532E-004      3.014956E+000
20181121      2458443.0      982.     -1.809297E-001      4.702823E+002      5.873027E+002      4.734237E+002      5.866757E+002      2.866468E-003      3.616621E-003      8.488200E-003      5.569730E-004      2.992201E+000
20181126      2458448.0     2344.     -1.808243E-001      4.703535E+002      5.873673E+002      4.733982E+002      5.866498E+002      2.873139E-003      3.026213E-003      8.884571E-003      6.187686E-004      2.782493E+000
20181127      2458449.0    12687.     -1.808545E-001      4.701723E+002      5.873577E+002      4.734958E+002      5.866160E+002      2.872990E-003      2.989627E-003      8.923960E-003      6.514079E-004      3.028275E+000
20181128      2458450.0    11578.     -1.808321E-001      4.701627E+002      5.874388E+002      4.734613E+002      5.866462E+002      2.871972E-003      3.080569E-003      8.858399E-003      6.000391E-004      3.094428E+000
20181129      2458451.0     6499.     -1.808266E-001      4.701466E+002      5.875050E+002      4.734752E+002      5.866318E+002      2.871393E-003      3.140044E-003      8.804264E-003      6.498085E-004      3.182327E+000
