model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181100      2458422.0        0.      0.    5.00E+000      0.4540      0.5005      0.0029     8.300    -0.300     8.625     8.481     8.740
20181101      2458423.0     1642.      1.    5.00E+000      0.3579      0.6481      0.0029     8.281    -0.357    10.117     9.810     9.642
20181102      2458424.0        0.      0.    5.00E+000      0.2534      0.8331      0.0029     8.300    -0.300     8.858     8.830     9.186
20181103      2458425.0      497.      1.    5.00E+000      0.1620      1.0307      0.0029     8.000    -0.278     9.585     9.586     9.769
20181104      2458426.0     4050.      1.    5.00E+000      0.0888      1.2344      0.0029     8.229    -0.233    10.476    10.057     9.742
20181105      2458427.0        0.      0.    5.00E+000      0.0367      1.4372      0.0029     8.300    -0.300     8.205     8.193     8.566
20181106      2458428.0      631.      1.    5.00E+000      0.0080      1.6158      0.0029     8.149    -0.209     9.803     9.571     9.584
20181107      2458429.0       56.      1.    5.00E+000      0.0030      1.6750      0.0029     7.763    -0.246     8.925     8.969     9.171
20181108      2458430.0       55.      0.    5.00E+000      0.0204      1.5707      0.0029     8.300    -0.300     9.838     9.602     9.303
20181109      2458431.0        0.      0.    5.00E+000      0.0582      1.4791      0.0029     8.300    -0.300     8.531     8.562     9.063
20181110      2458432.0        0.      0.    5.00E+000      0.1130      1.3843      0.0029     8.300    -0.300     9.785     9.503     9.381
20181111      2458433.0        0.      0.    5.00E+000      0.1817      1.2954      0.0029     8.300    -0.300     8.783     8.620     9.045
20181112      2458434.0      246.      1.    5.00E+000      0.2611      1.2151      0.0029     7.886    -0.300     9.478     9.190     9.209
20181113      2458435.0       57.      1.    5.00E+000      0.3481      1.1449      0.0029     8.144    -0.270    10.603    10.126     9.439
20181114      2458436.0     8658.      1.    5.00E+000      0.4397      1.0870      0.0029     8.302    -0.265    10.878    10.438     9.872
20181115      2458437.0     6189.      1.    5.00E+000      0.5338      1.0379      0.0029     8.214    -0.310    10.596    10.167     9.656
20181116      2458438.0     8828.      1.    5.00E+000      0.6275      0.9766      0.0029     8.286    -0.303    10.805    10.223     9.591
20181117      2458439.0     9378.      1.    5.00E+000      0.7180      0.9056      0.0029     8.286    -0.294    10.584    10.173     9.622
20181118      2458440.0    10630.      1.    5.00E+000      0.8024      0.8274      0.0029     8.303    -0.265    10.499    10.102     9.611
20181119      2458441.0     2012.      1.    5.00E+000      0.8764      0.7443      0.0029     8.221    -0.231     9.244     9.076     8.917
20181120      2458442.0     5472.      1.    5.00E+000      0.9363      0.6600      0.0029     8.276    -0.229     9.999     9.707     9.328
20181121      2458443.0      982.      1.    5.00E+000      0.9779      0.5786      0.0029     8.191    -0.130     8.273     8.227     8.362
20181122      2458444.0        0.      0.    5.00E+000      0.9973      0.5057      0.0029     8.300    -0.300     7.783     7.743     8.074
20181123      2458445.0        0.      0.    5.00E+000      0.9916      0.4474      0.0029     8.300    -0.300     8.173     8.069     8.297
20181124      2458446.0        0.      0.    5.00E+000      0.9598      0.4093      0.0029     8.300    -0.300     8.151     8.116     8.490
20181125      2458447.0        0.      0.    5.00E+000      0.9028      0.3964      0.0029     8.300    -0.300     8.264     8.234     8.619
20181126      2458448.0     2344.      1.    5.00E+000      0.8233      0.4105      0.0029     8.151    -0.150     9.705     9.642     9.397
20181127      2458449.0    12687.      1.    5.00E+000      0.7268      0.4500      0.0029     8.303    -0.217    10.693    10.301     9.801
20181128      2458450.0    11578.      1.    5.00E+000      0.6189      0.5100      0.0029     8.249    -0.233    10.798    10.334     9.823
20181129      2458451.0     6499.      1.    5.00E+000      0.5060      0.5855      0.0029     8.264    -0.329    10.644    10.069     9.486
20181130      2458452.0        0.      0.    5.00E+000      0.4203      2.1678      0.0029     8.300    -0.300     8.560     8.470     8.594
