model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190105      2458488.0     3340.      1.    5.00E+000      0.0002      1.7595      0.0029     0.007     0.004     0.552     0.477     0.409
20190106      2458489.0    12627.      1.    5.00E+000      0.0079      1.6379      0.0029     0.003     0.002     0.187     0.218     0.333
20190107      2458490.0      759.      1.    5.00E+000      0.0333      1.5096      0.0029     0.020     0.014     0.679     0.528     0.413
20190108      2458491.0     2279.      1.    5.00E+000      0.0753      1.3818      0.0029     0.009     0.005     1.793     1.674     1.433
20190109      2458492.0      882.      1.    5.00E+000      0.1323      1.2295      0.0029     0.015     0.009     0.813     0.726     0.656
20190110      2458493.0     7486.      1.    5.00E+000      0.1962      1.1121      0.0029     0.005     0.002     0.285     0.409     0.449
20190111      2458494.0     4150.      1.    5.00E+000      0.2838      0.9822      0.0029     0.007     0.004     0.802     0.758     0.693
20190112      2458495.0     4889.      1.    5.00E+000      0.3744      0.8636      0.0029     0.006     0.004     0.852     0.791     0.564
20190113      2458496.0     6844.      1.    5.00E+000      0.4710      0.7661      0.0029     0.005     0.003     0.643     0.579     0.497
20190114      2458497.0    10269.      1.    5.00E+000      0.5717      0.6850      0.0029     0.004     0.002     0.366     0.481     0.477
20190115      2458498.0     8421.      1.    5.00E+000      0.6726      0.6071      0.0029     0.004     0.002     0.457     0.537     0.502
20190116      2458499.0        0.      0.    5.00E+000      0.7527      0.5358      0.0029     0.000     0.000     0.262     0.242     0.400
20190117      2458500.0      441.      1.    5.00E+000      0.8562      0.4771      0.0029     0.026     0.013     1.257     1.063     0.827
20190118      2458501.0        0.      0.    5.00E+000      0.9274      0.4372      0.0029     0.000     0.000     0.230     0.343     0.371
20190119      2458502.0        0.      0.    5.00E+000      0.9704      0.4480      0.0029     0.000     0.000     0.690     0.637     0.460
20190120      2458503.0     1149.      1.    5.00E+000      0.9988      0.4366      0.0029     0.014     0.010     0.796     0.743     0.584
20190121      2458504.0      851.      1.    5.00E+000      0.9907      0.4792      0.0029     0.015     0.009     0.375     0.510     0.526
20190122      2458505.0     1100.      1.    5.00E+000      0.9527      0.5456      0.0029     0.012     0.008     0.709     0.627     0.479
20190123      2458506.0        0.      0.    5.00E+000      0.8883      0.6287      0.0029     0.000     0.000     0.649     0.632     0.528
20190124      2458507.0     5067.      1.    5.00E+000      0.8032      0.7204      0.0029     0.006     0.004     0.162     0.394     0.447
20190125      2458508.0     6034.      1.    5.00E+000      0.7043      0.8140      0.0029     0.006     0.003     0.238     0.394     0.442
20190126      2458509.0     1093.      1.    5.00E+000      0.5981      0.9037      0.0029     0.012     0.008     0.813     0.690     0.485
20190127      2458510.0        0.      0.    5.00E+000      0.4904      0.9851      0.0029     0.000     0.000     0.484     0.418     0.392
20190128      2458511.0     9190.      1.    5.00E+000      0.3870      1.0672      0.0029     0.004     0.003     0.420     0.494     0.556
20190129      2458512.0      406.      0.    5.00E+000      0.2907      1.1644      0.0029     0.000     0.000     0.850     0.709     0.546
20190130      2458513.0      225.      1.    5.00E+000      0.2049      1.2706      0.0029     0.032     0.014     0.903     0.803     0.632
