model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20180700      2458299.0     1355.      4.478930E-005      1.311077E-001      1.705734E-001      3.494527E-002      4.081526E-002      6.516165E-007      9.427800E-006      1.312913E-005      4.275503E-005      5.566803E-002
20180701      2458300.0       41.      4.038466E-004      1.245718E+000      1.150383E+000      2.628411E-001      3.301085E-001      5.760446E-006      4.606025E-004      9.028253E-005      1.184525E-004      2.096102E-001
20180705      2458304.0     7493.      1.992744E-005      6.181551E-002      7.139356E-002      1.958377E-002      2.216946E-002      2.868740E-007      3.341465E-006      5.364259E-006      2.275481E-005      2.612474E-002
20180706      2458305.0     7534.      2.083446E-005      6.231146E-002      7.549786E-002      1.882739E-002      2.150211E-002      2.911953E-007      3.777056E-006      5.541249E-006      2.274756E-005      2.737926E-002
20180707      2458306.0     8755.      1.872753E-005      5.657681E-002      6.588091E-002      1.790060E-002      2.040094E-002      2.725521E-007      3.247005E-006      4.786270E-006      1.796681E-005      2.158635E-002
20180708      2458307.0     7521.      2.123509E-005      6.449766E-002      7.606875E-002      1.977744E-002      2.242759E-002      2.993180E-007      3.832226E-006      5.733132E-006      2.252070E-005      4.339009E-002
20180709      2458308.0     1182.      5.431827E-005      1.839518E-001      2.080013E-001      4.385725E-002      4.903784E-002      7.585641E-007      1.471691E-005      1.860450E-005      5.643541E-005      5.488187E-002
20180710      2458309.0      156.      2.387482E-004      5.369973E-001      7.040926E-001      2.072890E-001      2.466682E-001      3.051440E-006      2.813153E-005      3.832204E-005      1.176587E-004      1.295658E-001
20180713      2458312.0     3717.      3.354002E-005      9.626023E-002      1.137026E-001      3.155014E-002      3.576095E-002      4.624751E-007      5.819231E-006      8.164619E-006      3.050158E-005      4.715013E-002
20180714      2458313.0     1843.      5.311594E-005      1.467755E-001      1.738715E-001      4.297618E-002      4.836044E-002      7.365302E-007      9.286853E-006      1.241137E-005      6.334486E-005      5.615329E-002
20180715      2458314.0      585.      8.534899E-005      2.382339E-001      2.815302E-001      8.562060E-002      1.025504E-001      1.223997E-006      1.672904E-005      1.690809E-005      5.107364E-005      6.546756E-002
20180716      2458315.0     3288.      3.396970E-005      9.389345E-002      1.115540E-001      2.891614E-002      3.243839E-002      4.805460E-007      5.592184E-006      7.788816E-006      3.380331E-005      3.820640E-002
20180717      2458316.0     7908.      2.084895E-005      6.190540E-002      7.312687E-002      1.888867E-002      2.135555E-002      2.964819E-007      3.815222E-006      5.277865E-006      2.164645E-005      2.817298E-002
20180718      2458317.0     8356.      2.023286E-005      6.111426E-002      7.124054E-002      1.884793E-002      2.111714E-002      2.867160E-007      3.490077E-006      5.378282E-006      2.202124E-005      3.007849E-002
20180719      2458318.0     6160.      2.419392E-005      7.519314E-002      8.913359E-002      2.088104E-002      2.359813E-002      3.389351E-007      5.083580E-006      7.166615E-006      2.419735E-005      3.299248E-002
20180723      2458322.0     1750.      4.227919E-005      1.335286E-001      1.644683E-001      3.513186E-002      4.014739E-002      5.934845E-007      9.746378E-006      1.409456E-005      4.375733E-005      5.759869E-002
20180724      2458323.0     1478.      5.709544E-005      1.636248E-001      1.943455E-001      4.240329E-002      4.720863E-002      7.487616E-007      9.262273E-006      1.455739E-005      4.297133E-005      4.962941E-002
20180727      2458326.0     1150.      5.834866E-005      1.805387E-001      2.240526E-001      5.865163E-002      6.417406E-002      8.735537E-007      1.648168E-005      1.520014E-005      4.266972E-005      6.784342E-002
20180728      2458327.0     1330.      4.329371E-005      1.400557E-001      1.823481E-001      3.872677E-002      4.444885E-002      6.716691E-007      1.046151E-005      1.396016E-005      3.799807E-005      7.815555E-002
20180729      2458328.0     4413.      2.437236E-005      7.514825E-002      9.534235E-002      2.108141E-002      2.406486E-002      3.562551E-007      4.891868E-006      7.060705E-006      2.831352E-005      3.022523E-002
20180730      2458329.0     1780.      4.045280E-005      1.135439E-001      1.491854E-001      3.309780E-002      3.657186E-002      5.633005E-007      7.320614E-006      1.046571E-005      4.998544E-005      5.954695E-002
20180731      2458330.0     3292.      3.016912E-005      9.816770E-002      1.143219E-001      2.719696E-002      3.061862E-002      4.374417E-007      6.443610E-006      8.986662E-006      2.949186E-005      4.362542E-002
