model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      3.680729E-010     -3.546692E-008      5.938163E-008      1.388900E-008      9.671732E-009      1.327192E-014     -5.974778E-013      5.991727E-013     -2.421403E-011     -2.582209E-008
     -3.546692E-008      4.092090E-003     -6.152438E-004     -8.335091E-004      5.412337E-005     -2.521763E-010     -5.596506E-009      1.092151E-008     -1.716325E-007      1.799267E-005
      5.938163E-008     -6.152438E-004      4.647180E-003      7.369963E-005     -9.378639E-004      1.383277E-010      3.586991E-009     -5.761540E-009      7.029962E-008     -9.585513E-005
      1.388900E-008     -8.335091E-004      7.369963E-005      4.266105E-004     -1.481622E-005     -1.621123E-010     -8.984819E-010      2.312313E-009     -1.050126E-007     -8.048895E-006
      9.671732E-009      5.412337E-005     -9.378639E-004     -1.481622E-005      4.789017E-004      6.844350E-011      5.325279E-010     -1.504497E-009      1.689724E-008     -7.947859E-005
      1.327192E-014     -2.521763E-010      1.383277E-010     -1.621123E-010      6.844350E-011      9.227544E-014     -8.707690E-014     -6.945520E-013     -3.004576E-013     -1.878976E-011
     -5.974778E-013     -5.596506E-009      3.586991E-009     -8.984819E-010      5.325279E-010     -8.707690E-014      1.529176E-011     -1.542027E-011      1.006338E-011      4.829041E-011
      5.991727E-013      1.092151E-008     -5.761540E-009      2.312313E-009     -1.504497E-009     -6.945520E-013     -1.542027E-011      2.510387E-011     -3.261424E-012      2.739387E-010
     -2.421403E-011     -1.716325E-007      7.029962E-008     -1.050126E-007      1.689724E-008     -3.004576E-013      1.006338E-011     -3.261424E-012      5.658631E-010      7.011962E-008
     -2.582209E-008      1.799267E-005     -9.585513E-005     -8.048895E-006     -7.947859E-005     -1.878976E-011      4.829041E-011      2.739387E-010      7.011962E-008      2.389955E-004
