model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000     -1.066229E-004      1.117709E-004      7.086552E-005     -1.056363E-004      1.637920E-004      6.244583E-005
           0.087266                NaN                NaN                NaN      3.829987E-005      1.147099E-004      6.258059E-005
           0.174533                NaN                NaN                NaN      2.613758E-005      1.112690E-004      6.348528E-005
           0.261799                NaN                NaN                NaN      5.009573E-005      8.987451E-005      6.529976E-005
           0.349066     -2.438875E-004      1.318623E-004      7.221881E-005     -6.161001E-005      8.629715E-005      6.775685E-005
           0.436332                NaN                NaN                NaN     -3.856133E-005      7.093146E-005      7.053916E-005
           0.523599                NaN                NaN                NaN      4.312309E-005      6.910512E-005      7.330155E-005
           0.610865                NaN                NaN                NaN      4.237156E-006      5.990483E-005      7.569007E-005
           0.698132     -2.816565E-004      1.200161E-004      7.149721E-005      9.365130E-005      5.872467E-005      7.737188E-005
           0.785398                NaN                NaN                NaN      9.867284E-005      6.173408E-005      7.810040E-005
           0.872665                NaN                NaN                NaN     -6.694535E-006      7.606339E-005      7.785978E-005
           0.959931                NaN                NaN                NaN     -8.560179E-005      8.217584E-005      7.715731E-005
           1.047198     -2.031951E-004      1.197590E-004      6.920945E-005     -2.732319E-004      9.275488E-005      7.750261E-005
           1.134464                NaN                NaN                NaN      3.269063E-005      1.181945E-004      8.180219E-005
           1.221731                NaN                NaN                NaN      5.358903E-004      2.321780E-004      9.384862E-005
           1.308997                NaN                NaN                NaN      1.686211E-003      4.372435E-004      1.167479E-004
           1.396263     -1.579006E-005      9.769288E-005      6.667216E-005      4.217366E-003      7.143909E-004      1.518785E-004
           1.483530                NaN                NaN                NaN                NaN                NaN      1.993126E-004
           1.570796                NaN                NaN                NaN                NaN                NaN      2.586906E-004
           1.745329     -2.009658E-005      1.015967E-004      6.485684E-005                NaN                NaN                NaN
           2.094395      8.970190E-005      8.783436E-005      6.424071E-005                NaN                NaN                NaN
           2.443461      2.354604E-004      7.877139E-005      6.561582E-005                NaN                NaN                NaN
           2.792527      1.646671E-004      1.176908E-004      6.769743E-005                NaN                NaN                NaN
           3.141593      1.243910E-004      1.397677E-004      7.030890E-005                NaN                NaN                NaN
           3.490659      4.520696E-005      1.582011E-004      7.232756E-005                NaN                NaN                NaN
           3.839725      1.489268E-004      1.548716E-004      7.264630E-005                NaN                NaN                NaN
           4.188790     -1.599183E-005      1.496947E-004      7.121539E-005                NaN                NaN                NaN
           4.537856      5.281873E-005      1.138675E-004      6.881577E-005                NaN                NaN                NaN
           4.886922      4.585603E-005      7.051985E-005      6.630125E-005                NaN                NaN                NaN
           5.235988      2.319051E-004      7.183650E-005      6.491270E-005                NaN                NaN                NaN
           5.585054      1.487675E-004      7.385365E-005      6.598780E-005                NaN                NaN                NaN
           5.934120      2.311185E-005      6.754133E-005      6.831920E-005                NaN                NaN                NaN
           6.283185     -1.066229E-004      1.117709E-004      7.086552E-005                NaN                NaN                NaN
