model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      3.928912E-011      2.244944E-008      1.840197E-008     -3.147901E-010     -1.865255E-009     -2.794345E-015     -2.224009E-014      9.101389E-014     -5.978475E-013      1.279773E-008
      2.244944E-008      3.238814E-004      8.189540E-006     -7.044965E-005     -1.792370E-006     -5.056315E-011     -1.844153E-010      1.203066E-009      1.710494E-009      5.234427E-005
      1.840197E-008      8.189540E-006      3.794768E-004     -1.380463E-007     -8.625337E-005      1.003295E-010     -2.589602E-010     -8.201644E-010     -5.258161E-009      3.052596E-005
     -3.147901E-010     -7.044965E-005     -1.380463E-007      3.422230E-005      2.494143E-007      1.666222E-011     -1.476994E-010      2.000527E-012      2.577535E-009      4.512668E-005
     -1.865255E-009     -1.792370E-006     -8.625337E-005      2.494143E-007      4.180544E-005     -6.517091E-011      8.721963E-011      4.364286E-010     -6.155443E-009      1.960033E-005
     -2.794345E-015     -5.056315E-011      1.003295E-010      1.666222E-011     -6.517091E-011      7.661371E-015     -9.721126E-015     -5.593347E-014     -6.796024E-016      1.306490E-010
     -2.224009E-014     -1.844153E-010     -2.589602E-010     -1.476994E-010      8.721963E-011     -9.721126E-015      1.515660E-012     -1.339748E-012     -7.912170E-013     -1.983276E-009
      9.101389E-014      1.203066E-009     -8.201644E-010      2.000527E-012      4.364286E-010     -5.593347E-014     -1.339748E-012      1.963248E-012      3.811443E-013     -8.370421E-010
     -5.978475E-013      1.710494E-009     -5.258161E-009      2.577535E-009     -6.155443E-009     -6.796024E-016     -7.912170E-013      3.811443E-013      2.921325E-011      2.217317E-008
      1.279773E-008      5.234427E-005      3.052596E-005      4.512668E-005      1.960033E-005      1.306490E-010     -1.983276E-009     -8.370421E-010      2.217317E-008      1.950959E-003
