model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000      9.900201E-005      3.840703E-005      2.983570E-005     -1.550871E-004      7.230091E-005      2.327364E-005
           0.087266                NaN                NaN                NaN     -8.671381E-004      3.477906E-005      2.340507E-005
           0.174533                NaN                NaN                NaN     -1.374449E-003      3.081236E-005      2.383616E-005
           0.261799                NaN                NaN                NaN     -9.776849E-004      2.672485E-005      2.464972E-005
           0.349066      4.604634E-005      4.548704E-005      2.926356E-005     -4.174180E-004      2.555381E-005      2.573078E-005
           0.436332                NaN                NaN                NaN      9.848864E-005      2.382187E-005      2.694682E-005
           0.523599                NaN                NaN                NaN      2.721953E-004      2.084642E-005      2.815814E-005
           0.610865                NaN                NaN                NaN      4.127898E-004      1.931097E-005      2.922654E-005
           0.698132     -1.602003E-004      2.343654E-005      2.764940E-005      3.032947E-004      1.750091E-005      3.002768E-005
           0.785398                NaN                NaN                NaN      9.025942E-005      1.741305E-005      3.047733E-005
           0.872665                NaN                NaN                NaN     -4.435086E-005      2.042783E-005      3.058816E-005
           0.959931                NaN                NaN                NaN     -2.653488E-004      2.142896E-005      3.058074E-005
           1.047198     -2.795962E-004      2.175038E-005      2.617834E-005     -3.951702E-004      2.625482E-005      3.106027E-005
           1.134464                NaN                NaN                NaN     -2.783792E-004      2.959935E-005      3.316733E-005
           1.221731                NaN                NaN                NaN      4.976879E-004      4.725577E-005      3.840150E-005
           1.308997                NaN                NaN                NaN      2.792014E-003      7.648092E-005      4.798373E-005
           1.396263     -2.411839E-004      2.014369E-005      2.488290E-005      4.580348E-003      2.520657E-004      6.242250E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      8.174543E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      1.058534E-004
           1.745329     -6.378221E-006      2.064665E-005      2.418304E-005                NaN                NaN                NaN
           2.094395      2.220505E-005      1.980601E-005      2.431868E-005                NaN                NaN                NaN
           2.443461      2.111415E-004      1.604611E-005      2.516450E-005                NaN                NaN                NaN
           2.792527      2.578106E-004      1.664414E-005      2.671128E-005                NaN                NaN                NaN
           3.141593      1.351424E-004      1.831090E-005      2.759718E-005                NaN                NaN                NaN
           3.490659     -1.787316E-005      2.128108E-005      2.811896E-005                NaN                NaN                NaN
           3.839725     -2.816616E-004      2.469089E-005      2.815890E-005                NaN                NaN                NaN
           4.188790     -4.056886E-004      2.643287E-005      2.821775E-005                NaN                NaN                NaN
           4.537856     -3.047083E-004      2.613825E-005      2.851959E-005                NaN                NaN                NaN
           4.886922      4.091634E-005      2.916046E-005      2.862016E-005                NaN                NaN                NaN
           5.235988      1.270984E-004      3.335707E-005      2.872348E-005                NaN                NaN                NaN
           5.585054      2.837039E-004      2.605134E-005      2.920983E-005                NaN                NaN                NaN
           5.934120      2.052224E-004      3.580403E-005      2.982974E-005                NaN                NaN                NaN
           6.283185      9.900201E-005      3.840703E-005      2.983570E-005                NaN                NaN                NaN
