model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20181001      2458392.0     4047.      1.831343E-001      5.064452E+002      6.407003E+002      5.052731E+002      6.348612E+002      2.911219E-003      3.368901E-003      8.691137E-003      6.359101E-004      2.930451E+000
20181002      2458393.0     9037.      1.831126E-001      5.064035E+002      6.408729E+002      5.052996E+002      6.348733E+002      2.915776E-003      2.957086E-003      8.987216E-003      7.661418E-004      2.966931E+000
20181003      2458394.0    11239.      1.831048E-001      5.065024E+002      6.408939E+002      5.053165E+002      6.349471E+002      2.917545E-003      2.836616E-003      9.075500E-003      8.260614E-004      2.929534E+000
20181004      2458395.0    10856.      1.831765E-001      5.063958E+002      6.408736E+002      5.053076E+002      6.349207E+002      2.913193E-003      3.195603E-003      8.811129E-003      7.712746E-004      2.923239E+000
20181005      2458396.0      476.      1.831416E-001      5.066963E+002      6.400754E+002      5.052396E+002      6.349699E+002      2.877056E-003      7.340271E-003      7.011212E-003      3.796282E-004      1.403578E+000
20181006      2458397.0     1330.      1.833349E-001      5.062636E+002      6.395651E+002      5.052605E+002      6.354140E+002      2.922339E-003      2.493717E-003      9.352004E-003      5.603597E-004      1.287364E+000
20181007      2458398.0     3624.      1.830966E-001      5.063492E+002      6.403569E+002      5.053654E+002      6.350620E+002      2.902068E-003      4.212542E-003      8.199017E-003      3.281227E-004      3.049825E+000
20181008      2458399.0      828.      1.835794E-001      5.061145E+002      6.402438E+002      5.053716E+002      6.350207E+002      2.890288E-003      5.749808E-003      7.479854E-003      3.909410E-004      2.161319E+000
20181009      2458400.0     2107.      1.833957E-001      5.062796E+002      6.404731E+002      5.053091E+002      6.350096E+002      2.894980E-003      5.076884E-003      7.784659E-003      7.603143E-004      2.916403E+000
20181010      2458401.0     1967.      1.833145E-001      5.063431E+002      6.404019E+002      5.053110E+002      6.350430E+002      2.910159E-003      3.455413E-003      8.627044E-003      5.172759E-004      2.531965E+000
20181011      2458402.0       94.      1.834232E-001      5.057955E+002      6.392283E+002      5.054775E+002      6.351771E+002      2.857330E-003      1.031109E-002      6.330257E-003      3.796518E-004      2.981893E+000
20181012      2458403.0    10966.      1.831491E-001      5.064231E+002      6.409703E+002      5.053229E+002      6.349459E+002      2.915045E-003      3.047046E-003      8.916081E-003      8.465025E-004      2.936575E+000
20181013      2458404.0      335.      1.836187E-001      5.063944E+002      6.405255E+002      5.054054E+002      6.349233E+002      2.910385E-003      3.446628E-003      8.637991E-003      9.984970E-004      3.246666E+000
20181014      2458405.0      353.      1.827475E-001      5.064588E+002      6.396841E+002      5.052907E+002      6.350604E+002      2.859746E-003      1.004665E-002      6.380074E-003      1.311026E-004      4.969411E+000
20181016      2458407.0     5479.      1.832709E-001      5.062020E+002      6.407692E+002      5.053194E+002      6.349439E+002      2.902997E-003      4.169867E-003      8.217415E-003      7.464565E-004      2.719687E+000
20181017      2458408.0     3928.      1.832683E-001      5.063841E+002      6.409987E+002      5.053042E+002      6.348809E+002      2.903915E-003      4.022592E-003      8.303041E-003      8.660293E-004      2.871523E+000
20181018      2458409.0     4318.      1.832210E-001      5.063607E+002      6.409461E+002      5.053544E+002      6.348935E+002      2.907157E-003      3.686963E-003      8.503694E-003      9.772552E-004      2.988109E+000
20181019      2458410.0      220.      1.831110E-001      5.068679E+002      6.413398E+002      5.051960E+002      6.348096E+002      2.890931E-003      5.304416E-003      7.759175E-003      1.402841E-003      2.769171E+000
20181020      2458411.0     2973.      1.832609E-001      5.063308E+002      6.406370E+002      5.053251E+002      6.349856E+002      2.912011E-003      3.326773E-003      8.712452E-003      7.460339E-004      2.730394E+000
20181021      2458412.0      184.      1.828976E-001      5.065508E+002      6.410963E+002      5.053557E+002      6.348649E+002      2.900724E-003      4.333044E-003      8.130984E-003      3.794187E-004      2.350911E+000
20181022      2458413.0     3117.      1.831437E-001      5.063680E+002      6.408911E+002      5.053284E+002      6.348254E+002      2.915227E-003      2.981701E-003      8.969742E-003      8.166775E-004      2.967569E+000
20181023      2458414.0      168.      1.827891E-001      5.052368E+002      6.391553E+002      5.057423E+002      6.353954E+002      2.877473E-003      7.437831E-003      6.947693E-003      1.372865E-003      6.272950E+000
20181024      2458415.0      472.      1.829646E-001      5.062914E+002      6.409048E+002      5.054534E+002      6.349695E+002      2.897447E-003      4.809358E-003      7.884701E-003      6.772798E-004      3.103636E+000
20181025      2458416.0      228.      1.829920E-001      5.070295E+002      6.411834E+002      5.052187E+002      6.348317E+002      2.852406E-003      1.159020E-002      6.070347E-003      9.000845E-004      2.427969E+000
20181030      2458421.0       22.      1.782411E-001      5.066841E+002      6.409764E+002      5.054550E+002      6.355555E+002      2.928966E-003      1.917442E-003      9.945814E-003      1.791642E-003      2.060772E+000
