model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181000      2458391.0        0.      0.    5.00E+000      0.6468      0.4598      0.0029     7.800    -0.300    10.436    10.350    10.735
20181001      2458392.0     4047.      1.    5.00E+000      0.5513      0.4680      0.0029     7.858    -0.206    11.569    11.335    11.004
20181002      2458393.0     9037.      1.    5.00E+000      0.4380      0.5688      0.0029     7.887    -0.218    11.915    11.633    11.275
20181003      2458394.0    11239.      1.    5.00E+000      0.3260      0.7043      0.0029     7.942    -0.238    12.013    11.731    11.380
20181004      2458395.0    10856.      1.    5.00E+000      0.2226      0.8947      0.0029     7.968    -0.309    12.064    11.736    11.358
20181005      2458396.0      476.      1.    5.00E+000      0.1340      1.1000      0.0029     7.585    -0.241    11.198    11.013    11.094
20181006      2458397.0     1330.      1.    5.00E+000      0.0652      1.3122      0.0029     7.322    -0.326    11.937    11.583    11.350
20181007      2458398.0     3624.      1.    5.00E+000      0.0206      1.5224      0.0029     7.694    -0.265    11.811    11.547    11.396
20181008      2458399.0      828.      1.    5.00E+000      0.0024      1.7224      0.0029     7.592    -0.528    11.564    11.224    11.197
20181009      2458400.0     2107.      1.    5.00E+000      0.0105      1.6164      0.0029     7.547    -0.410    11.714    11.388    11.268
20181010      2458401.0     1967.      1.    5.00E+000      0.0426      1.5494      0.0029     7.866    -0.297    11.311    11.169    11.301
20181011      2458402.0       94.      1.    5.00E+000      0.0953      1.4449      0.0029     7.336    -0.283    11.026    10.859    11.140
20181012      2458403.0    10966.      1.    5.00E+000      0.1641      1.3698      0.0029     7.906    -0.261    12.118    11.752    11.431
20181013      2458404.0      335.      1.    5.00E+000      0.2449      1.3051      0.0029     7.297    -0.501    11.442    11.133    10.748
20181014      2458405.0      353.      0.    5.00E+000      0.3337      1.2486      0.0029     7.800    -0.300    10.793    10.790    10.996
20181015      2458406.0        0.      0.    5.00E+000      0.4268      1.2015      0.0029     7.800    -0.300    11.205    10.909    11.029
20181016      2458407.0     5479.      1.    5.00E+000      0.5211      1.1660      0.0029     7.775    -0.345    11.771    11.438    11.186
20181017      2458408.0     3928.      1.    5.00E+000      0.6143      1.1401      0.0029     7.628    -0.311    11.769    11.393    11.129
20181018      2458409.0     4318.      1.    5.00E+000      0.7036      1.0991      0.0029     7.857    -0.309    11.503    11.152    11.095
20181019      2458410.0      220.      1.    5.00E+000      0.7865      1.0446      0.0029     7.874    -0.583    10.937    10.455    10.420
20181020      2458411.0     2973.      1.    5.00E+000      0.8597      0.9788      0.0029     7.756    -0.187    10.629    10.593    10.619
20181021      2458412.0      184.      1.    5.00E+000      0.9204      0.9039      0.0029     7.778    -0.165    10.281    10.126    10.208
20181022      2458413.0     3117.      1.    5.00E+000      0.9653      0.8231      0.0029     7.906    -0.231    10.652    10.434    10.107
20181023      2458414.0      168.      1.    5.00E+000      0.9918      0.7394      0.0029     7.702    -0.121     9.596     9.245     9.390
20181024      2458415.0      472.      1.    5.00E+000      0.9971      0.6571      0.0029     7.847    -0.199    10.096     9.702     9.464
20181025      2458416.0      228.      1.    5.00E+000      0.9794      0.5805      0.0029     7.624    -0.056     9.252     9.315     9.455
20181026      2458417.0        0.      0.    5.00E+000      0.9384      0.5153      0.0029     7.800    -0.300     9.859     9.934    10.321
20181027      2458418.0        0.      0.    5.00E+000      0.8748      0.4669      0.0029     7.800    -0.300    10.423    10.349    10.677
20181028      2458419.0        0.      0.    5.00E+000      0.7921      0.4396      0.0029     7.800    -0.300     9.951     9.847    10.289
20181029      2458420.0        0.      0.    5.00E+000      0.7168      1.8020      0.0029     7.800    -0.300    10.734    10.600    10.812
20181030      2458421.0       22.      1.    5.00E+000      0.5620      0.4594      0.0029     7.899    -0.577    10.367    10.201    10.111
20181031      2458422.0        0.      0.    5.00E+000      0.4956      1.9788      0.0029     7.800    -0.300    10.435    10.253    10.582
