model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000      5.006182E-005      1.596055E-005      2.417793E-005      6.620858E-005      6.198627E-005      2.012303E-005
           0.087266                NaN                NaN                NaN      8.948487E-005      1.982910E-005      1.996482E-005
           0.174533                NaN                NaN                NaN      9.884291E-006      1.646642E-005      2.031250E-005
           0.261799                NaN                NaN                NaN     -5.764839E-005      1.420991E-005      2.096578E-005
           0.349066      1.058608E-004      1.810957E-005      2.458350E-005     -1.169430E-004      1.225333E-005      2.183314E-005
           0.436332                NaN                NaN                NaN     -1.360102E-004      1.261982E-005      2.280675E-005
           0.523599                NaN                NaN                NaN     -4.985083E-005      1.264771E-005      2.377012E-005
           0.610865                NaN                NaN                NaN      5.329623E-005      1.275455E-005      2.460471E-005
           0.698132      1.156460E-004      1.489387E-005      2.424262E-005      1.631647E-004      1.423089E-005      2.520042E-005
           0.785398                NaN                NaN                NaN      1.975971E-004      1.435887E-005      2.547911E-005
           0.872665                NaN                NaN                NaN      1.279972E-004      1.616801E-005      2.544761E-005
           0.959931                NaN                NaN                NaN     -7.500499E-005      1.917130E-005      2.530621E-005
           1.047198     -4.140453E-006      1.714764E-005      2.334380E-005     -4.062953E-004      2.199722E-005      2.563011E-005
           1.134464                NaN                NaN                NaN     -4.885201E-004      3.148056E-005      2.752281E-005
           1.221731                NaN                NaN                NaN      1.385964E-004      5.300286E-005      3.238252E-005
           1.308997                NaN                NaN                NaN      2.019056E-003      7.939114E-005      4.121218E-005
           1.396263     -8.851415E-005      1.634811E-005      2.228097E-005      4.773968E-003      3.084013E-004      5.432652E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      7.168454E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      9.318213E-005
           1.745329     -9.253043E-005      1.530708E-005      2.153724E-005                NaN                NaN                NaN
           2.094395     -6.254968E-005      1.811453E-005      2.143847E-005                NaN                NaN                NaN
           2.443461     -1.552498E-005      1.809815E-005      2.192840E-005                NaN                NaN                NaN
           2.792527      1.823392E-007      1.491300E-005      2.262075E-005                NaN                NaN                NaN
           3.141593      7.268601E-005      1.239657E-005      2.305882E-005                NaN                NaN                NaN
           3.490659      1.089575E-004      1.052744E-005      2.293463E-005                NaN                NaN                NaN
           3.839725      4.295698E-005      1.108445E-005      2.219413E-005                NaN                NaN                NaN
           4.188790      2.596301E-005      1.306544E-005      2.107175E-005                NaN                NaN                NaN
           4.537856     -7.159544E-005      1.327872E-005      2.006022E-005                NaN                NaN                NaN
           4.886922     -8.307680E-005      1.224663E-005      1.972028E-005                NaN                NaN                NaN
           5.235988     -6.281030E-005      1.321625E-005      2.031966E-005                NaN                NaN                NaN
           5.585054     -2.689387E-005      1.270735E-005      2.162353E-005                NaN                NaN                NaN
           5.934120     -5.126911E-006      1.537987E-005      2.308523E-005                NaN                NaN                NaN
           6.283185      5.006182E-005      1.596055E-005      2.417793E-005                NaN                NaN                NaN
