model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20191000      2458756.0     4605.      2.759685E-001      4.894516E+002      6.735583E+002      4.886890E+002      6.726805E+002      2.869896E-003      2.849584E-003      8.990873E-003      6.720260E-004      2.916905E+000
20191009      2458765.0     1636.      2.759960E-001      4.893681E+002      6.734509E+002      4.887590E+002      6.725313E+002      2.865952E-003      3.168527E-003      8.761403E-003      6.997610E-004      2.737907E+000
20191011      2458767.0      844.      2.795352E-001      4.890101E+002      6.722688E+002      4.879934E+002      6.732179E+002      2.888526E-003      2.544403E-003      9.282975E-003      2.173511E-003      5.199916E+000
20191012      2458768.0      495.      2.760182E-001      4.896866E+002      6.734159E+002      4.886805E+002      6.724929E+002      2.861251E-003      3.736772E-003      8.351645E-003      8.297310E-004      2.560265E+000
20191014      2458770.0       42.      2.763290E-001      4.895571E+002      6.729517E+002      4.886596E+002      6.727056E+002      2.869776E-003      2.935019E-003      8.910715E-003      8.800164E-004      1.734632E+000
20191015      2458771.0      978.      2.760095E-001      4.893281E+002      6.734240E+002      4.886941E+002      6.726326E+002      2.856293E-003      4.249332E-003      8.073708E-003      8.938819E-004      2.639730E+000
20191016      2458772.0     2744.      2.760392E-001      4.895266E+002      6.734124E+002      4.886750E+002      6.726097E+002      2.869669E-003      2.892985E-003      8.949092E-003      7.557595E-004      2.677967E+000
20191017      2458773.0     5228.      2.760265E-001      4.894838E+002      6.734562E+002      4.886916E+002      6.725984E+002      2.872623E-003      2.654834E-003      9.137965E-003      8.191761E-004      2.743012E+000
20191018      2458774.0     5482.      2.760022E-001      4.895332E+002      6.734662E+002      4.886633E+002      6.726331E+002      2.869228E-003      2.919209E-003      8.929526E-003      8.107460E-004      2.673880E+000
20191019      2458775.0     7054.      2.760341E-001      4.896093E+002      6.735251E+002      4.886518E+002      6.726022E+002      2.870151E-003      2.857456E-003      8.969497E-003      9.410227E-004      2.687898E+000
20191020      2458776.0     5995.      2.760338E-001      4.895435E+002      6.735516E+002      4.886357E+002      6.726964E+002      2.869585E-003      2.925526E-003      8.912605E-003      9.345176E-004      2.650155E+000
20191021      2458777.0     8345.      2.760651E-001      4.894942E+002      6.735817E+002      4.886364E+002      6.727161E+002      2.869403E-003      2.927546E-003      8.921310E-003      7.802140E-004      2.819143E+000
20191023      2458779.0     4219.      2.760385E-001      4.895420E+002      6.734348E+002      4.886292E+002      6.726716E+002      2.867315E-003      3.128420E-003      8.764728E-003      8.629314E-004      2.793254E+000
20191026      2458782.0     2002.      2.759914E-001      4.893833E+002      6.732901E+002      4.886757E+002      6.727724E+002      2.870221E-003      2.867645E-003      8.958166E-003      6.271937E-004      2.351351E+000
20191027      2458783.0    10416.      2.760249E-001      4.894581E+002      6.734690E+002      4.886410E+002      6.726876E+002      2.870606E-003      2.794416E-003      9.028174E-003      8.148220E-004      2.691953E+000
20191028      2458784.0     4109.      2.760214E-001      4.895272E+002      6.736008E+002      4.886085E+002      6.726809E+002      2.867057E-003      3.164471E-003      8.723385E-003      1.090684E-003      2.629508E+000
20191029      2458785.0      987.      2.759485E-001      4.894262E+002      6.735646E+002      4.886609E+002      6.726964E+002      2.870538E-003      2.802111E-003      9.017420E-003      8.505617E-004      2.817196E+000
