model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20191000      2458756.0     4605.      3.287215E-005      7.307113E-002      8.869410E-002      2.225619E-002      2.668448E-002      3.572163E-007      4.597155E-006      6.431733E-006      2.694294E-005      4.247987E-002
20191009      2458765.0     1636.      4.765189E-005      1.086004E-001      1.371173E-001      4.022516E-002      5.031826E-002      6.009511E-007      6.425171E-006      8.206049E-006      2.643931E-005      4.121840E-002
20191011      2458767.0      844.      5.851454E-004      7.417456E-001      7.948940E-001      2.625528E-001      2.696254E-001      3.310958E-006      4.577666E-005      6.143683E-005      3.164033E-004      1.522682E-001
20191012      2458768.0      495.      8.424107E-005      2.109761E-001      2.230133E-001      5.840791E-002      6.741013E-002      1.068799E-006      1.615236E-005      1.877032E-005      4.294859E-005      4.605961E-002
20191014      2458770.0       42.      2.263344E-004      6.907597E-001      8.350474E-001      2.171595E-001      2.668466E-001      2.928182E-006      3.597124E-005      5.897643E-005      4.713384E-005      6.973134E-002
20191015      2458771.0      978.      7.109809E-005      1.642751E-001      1.856552E-001      4.702026E-002      5.661719E-002      9.272485E-007      1.469318E-005      1.398346E-005      4.109511E-005      5.495955E-002
20191016      2458772.0     2744.      3.735002E-005      8.919912E-002      1.074851E-001      2.687491E-002      3.284370E-002      4.431542E-007      5.597481E-006      8.066455E-006      2.960371E-005      4.156651E-002
20191017      2458773.0     5228.      2.885197E-005      6.858101E-002      7.810200E-002      2.018604E-002      2.409300E-002      3.263896E-007      3.791509E-006      5.537676E-006      2.168536E-005      3.022842E-002
20191018      2458774.0     5482.      2.849978E-005      6.744556E-002      7.705013E-002      1.976085E-002      2.376553E-002      3.222580E-007      4.081011E-006      5.569350E-006      2.228901E-005      2.888619E-002
20191019      2458775.0     7054.      2.548146E-005      5.927548E-002      6.840284E-002      1.739092E-002      2.125199E-002      2.789137E-007      3.474793E-006      4.837318E-006      1.994110E-005      2.191930E-002
20191020      2458776.0     5995.      2.675197E-005      6.509748E-002      7.529730E-002      1.840152E-002      2.237294E-002      3.015934E-007      4.093735E-006      5.559861E-006      2.151633E-005      2.359426E-002
20191021      2458777.0     8345.      2.319068E-005      5.548768E-002      6.514058E-002      1.659594E-002      1.993204E-002      2.595467E-007      3.428878E-006      4.768691E-006      1.801214E-005      2.465871E-002
20191023      2458779.0     4219.      3.316171E-005      7.714074E-002      9.048056E-002      2.278967E-002      2.738392E-002      3.687487E-007      5.289286E-006      6.764228E-006      2.524138E-005      3.294067E-002
20191026      2458782.0     2002.      5.023495E-005      1.215834E-001      1.420559E-001      4.715306E-002      5.836749E-002      5.738460E-007      5.948039E-006      8.897132E-006      3.144619E-005      5.521756E-002
20191027      2458783.0    10416.      2.058444E-005      4.839242E-002      5.650723E-002      1.500953E-002      1.801627E-002      2.269243E-007      2.778959E-006      3.956336E-006      1.645978E-005      2.193269E-002
20191028      2458784.0     4109.      3.438743E-005      8.048913E-002      9.416790E-002      2.322282E-002      2.723852E-002      3.630557E-007      5.377209E-006      6.700102E-006      2.545447E-005      2.623396E-002
20191029      2458785.0      987.      6.195890E-005      1.534286E-001      1.948825E-001      5.158444E-002      6.276786E-002      7.195879E-007      8.561715E-006      1.189980E-005      3.714785E-005      6.772019E-002
