model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20191000      2458756.0     4605.      1.    5.00E+000      0.0797      2.2671      0.0029     8.213    -0.318    11.385    10.913    10.274
20191009      2458765.0     1636.      1.    5.00E+000      0.8653      0.9998      0.0029     8.025    -0.173     9.484     9.955     9.713
20191010      2458766.0        0.      0.    5.00E+000      0.9223      0.9295      0.0029     8.300    -0.300     9.335     8.756     8.724
20191011      2458767.0      844.      1.    5.00E+000      0.9644      0.8520      0.0029     8.728    -0.182     9.944     9.600     9.010
20191012      2458768.0      495.      1.    5.00E+000      0.9900      0.7700      0.0029     7.826    -0.198     9.617     9.307     8.799
20191013      2458769.0        0.      0.    5.00E+000      0.9979      0.6865      0.0029     8.300    -0.300     9.528     9.241     8.820
20191014      2458770.0       42.      1.    5.00E+000      0.9873      0.6046      0.0029     8.120    -0.298     9.735     9.561     9.051
20191015      2458771.0      978.      1.    5.00E+000      0.9579      0.5278      0.0029     7.725    -0.045     9.179     8.964     8.930
20191016      2458772.0     2744.      1.    5.00E+000      0.9100      0.4603      0.0029     8.040    -0.275    10.067     9.950     9.495
20191017      2458773.0     5228.      1.    5.00E+000      0.8445      0.4056      0.0029     8.002    -0.187    10.375    10.188     9.651
20191018      2458774.0     5482.      1.    5.00E+000      0.7632      0.3687      0.0029     7.996    -0.187    10.592    10.290     9.721
20191019      2458775.0     7054.      1.    5.00E+000      0.6687      0.3532      0.0029     8.021    -0.208    10.711    10.506     9.808
20191020      2458776.0     5995.      1.    5.00E+000      0.5641      0.3698      0.0029     7.999    -0.328    10.788    10.485     9.858
20191021      2458777.0     8345.      1.    5.00E+000      0.4539      0.4828      0.0029     7.975    -0.202    10.879    10.632     9.966
20191022      2458778.0        0.      0.    5.00E+000      0.3435      0.6579      0.0029     8.300    -0.300     8.537     8.082     8.033
20191023      2458779.0     4219.      1.    5.00E+000      0.2380      0.8356      0.0029     7.908    -0.265    10.948    10.594     9.829
20191024      2458780.0        0.      0.    5.00E+000      0.1580      1.9740      0.0029     8.300    -0.300     9.858     9.851     9.478
20191025      2458781.0        0.      0.    5.00E+000      0.0720      1.2814      0.0029     8.300    -0.300     8.267     8.200     8.382
20191026      2458782.0     2002.      1.    5.00E+000      0.0232      1.5083      0.0029     7.680    -0.092    10.863    10.467     9.599
20191027      2458783.0    10416.      1.    5.00E+000      0.0026      1.7409      0.0029     7.984    -0.204    11.070    10.791    10.069
20191028      2458784.0     4109.      1.    5.00E+000      0.0107      1.6186      0.0029     7.947    -0.264    10.876    10.521     9.836
20191029      2458785.0      987.      1.    5.00E+000      0.0454      1.5085      0.0029     7.880    -0.289    10.312    10.259     9.659
20191030      2458786.0        0.      0.    5.00E+000      0.1027      1.4121      0.0029     8.300    -0.300     7.556     7.400     7.386
20191031      2458787.0        0.      0.    5.00E+000      0.1692      1.3234      0.0029     8.300    -0.300     7.519     7.354     7.297
