model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20191000      2458756.0     4605.      1.    5.00E+000      0.0797      2.2671      0.0029     0.006     0.004     0.276     0.374     0.480
20191009      2458765.0     1636.      1.    5.00E+000      0.8653      0.9998      0.0029     0.008     0.005     0.836     0.581     0.552
20191010      2458766.0        0.      0.    5.00E+000      0.9223      0.9295      0.0029     0.000     0.000     0.936     0.817     0.576
20191011      2458767.0      844.      1.    5.00E+000      0.9644      0.8520      0.0029     0.028     0.013     0.535     0.813     0.817
20191012      2458768.0      495.      1.    5.00E+000      0.9900      0.7700      0.0029     0.019     0.012     0.532     0.746     0.551
20191013      2458769.0        0.      0.    5.00E+000      0.9979      0.6865      0.0029     0.000     0.000     0.379     0.806     0.585
20191014      2458770.0       42.      1.    5.00E+000      0.9873      0.6046      0.0029     0.064     0.039     0.408     0.755     0.529
20191015      2458771.0      978.      1.    5.00E+000      0.9579      0.5278      0.0029     0.012     0.007     0.814     0.779     0.521
20191016      2458772.0     2744.      1.    5.00E+000      0.9100      0.4603      0.0029     0.007     0.004     0.397     0.559     0.482
20191017      2458773.0     5228.      1.    5.00E+000      0.8445      0.4056      0.0029     0.005     0.003     0.420     0.458     0.450
20191018      2458774.0     5482.      1.    5.00E+000      0.7632      0.3687      0.0029     0.006     0.003     0.474     0.467     0.446
20191019      2458775.0     7054.      1.    5.00E+000      0.6687      0.3532      0.0029     0.005     0.003     0.416     0.402     0.448
20191020      2458776.0     5995.      1.    5.00E+000      0.5641      0.3698      0.0029     0.006     0.004     0.306     0.373     0.451
20191021      2458777.0     8345.      1.    5.00E+000      0.4539      0.4828      0.0029     0.005     0.003     0.166     0.278     0.433
20191022      2458778.0        0.      0.    5.00E+000      0.3435      0.6579      0.0029     0.000     0.000     1.217     1.297     1.033
20191023      2458779.0     4219.      1.    5.00E+000      0.2380      0.8356      0.0029     0.007     0.005     0.322     0.392     0.538
20191024      2458780.0        0.      0.    5.00E+000      0.1580      1.9740      0.0029     0.000     0.000     0.390     0.291     0.366
20191025      2458781.0        0.      0.    5.00E+000      0.0720      1.2814      0.0029     0.000     0.000     1.229     1.160     0.988
20191026      2458782.0     2002.      1.    5.00E+000      0.0232      1.5083      0.0029     0.013     0.007     0.285     0.361     0.562
20191027      2458783.0    10416.      1.    5.00E+000      0.0026      1.7409      0.0029     0.004     0.003     0.203     0.278     0.458
20191028      2458784.0     4109.      1.    5.00E+000      0.0107      1.6186      0.0029     0.008     0.005     0.240     0.309     0.417
20191029      2458785.0      987.      1.    5.00E+000      0.0454      1.5085      0.0029     0.017     0.010     0.833     0.689     0.445
20191030      2458786.0        0.      0.    5.00E+000      0.1027      1.4121      0.0029     0.000     0.000     0.570     0.632     0.751
20191031      2458787.0        0.      0.    5.00E+000      0.1692      1.3234      0.0029     0.000     0.000     0.198     0.324     0.602
