model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
       4.100401E-10      -7.319097E-09       1.459306E-08       2.011486E-08      -2.923033E-08      -3.531379E-15       1.068950E-13      -1.106186E-13       9.767403E-12       3.436758E-09
      -7.319097E-09       2.082144E-03       4.452867E-05      -4.746873E-04      -4.750269E-06       2.912580E-10       6.020922E-10      -5.008623E-10       1.404453E-09       1.525793E-04
       1.459306E-08       4.452867E-05       2.895077E-03      -5.609127E-06      -6.642099E-04       2.406255E-10      -3.745750E-09       4.960111E-09      -6.454527E-08       7.849879E-05
       2.011486E-08      -4.746873E-04      -5.609127E-06       2.420613E-04      -9.430740E-07      -2.710892E-10      -3.099638E-10       2.119343E-09       8.676853E-09       1.135730E-04
      -2.923033E-08      -4.750269E-06      -6.642099E-04      -9.430740E-07       3.321348E-04      -2.212626E-10       1.127595E-11       1.513918E-09      -4.592872E-08       2.984680E-05
      -3.531379E-15       2.912580E-10       2.406255E-10      -2.710892E-10      -2.212626E-10       5.869017E-14      -5.100265E-14      -4.268925E-13      -4.832565E-14       6.797554E-10
       1.068950E-13       6.020922E-10      -3.745750E-09      -3.099638E-10       1.127595E-11      -5.100265E-14       6.574149E-12      -7.723814E-12      -4.617618E-13       6.743403E-10
      -1.106186E-13      -5.008623E-10       4.960111E-09       2.119343E-09       1.513918E-09      -4.268925E-13      -7.723814E-12       1.484646E-11       8.372936E-13      -7.382308E-09
       9.767403E-12       1.404453E-09      -6.454527E-08       8.676853E-09      -4.592872E-08      -4.832565E-14      -4.617618E-13       8.372936E-13       1.931271E-10      -3.877325E-08
       3.436758E-09       1.525793E-04       7.849879E-05       1.135730E-04       2.984680E-05       6.797554E-10       6.743403E-10      -7.382308E-09      -3.877325E-08       1.773220E-03
