model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181000      2458391.0      452.      1.    5.00E+000      0.6465      0.4281      0.0029     8.327    -0.284     8.923     7.967     8.152
20181001      2458392.0     4674.      1.    5.00E+000      0.5505      0.4394      0.0029     8.266    -0.201     9.327     9.155     9.265
20181002      2458393.0    13612.      1.    5.00E+000      0.4371      0.5486      0.0029     8.240    -0.187    10.631    10.254     9.803
20181003      2458394.0    10040.      1.    5.00E+000      0.3253      0.6913      0.0029     8.243    -0.244    10.417     9.997     9.443
20181004      2458395.0     7043.      1.    5.00E+000      0.2219      0.8861      0.0029     8.220    -0.305    10.251     9.797     9.167
20181005      2458396.0        0.      0.    5.00E+000      0.1334      1.0935      0.0029     8.300    -0.300     7.553     7.672     7.894
20181006      2458397.0    11430.      1.    5.00E+000      0.0648      1.3111      0.0029     8.252    -0.261    10.577    10.195     9.704
20181007      2458398.0      186.      1.    5.00E+000      0.0204      1.5236      0.0029     8.131    -0.221     8.489     8.450     8.662
20181008      2458399.0    12566.      1.    5.00E+000      0.0024      1.7293      0.0029     8.267    -0.246    10.611    10.212     9.714
20181009      2458400.0      298.      1.    5.00E+000      0.0107      1.6153      0.0029     8.335    -0.546     8.940     8.685     8.434
20181010      2458401.0        0.      0.    5.00E+000      0.0428      1.5148      0.0029     8.300    -0.300     6.618     6.416     6.293
20181011      2458402.0        0.      0.    5.00E+000      0.0957      1.4289      0.0029     8.300    -0.300     8.225     8.097     8.367
20181012      2458403.0    15690.      1.    5.00E+000      0.1647      1.3511      0.0029     8.274    -0.207    10.753    10.360     9.895
20181013      2458404.0      667.      0.    5.00E+000      0.2455      1.2793      0.0029     8.300    -0.300     8.879     8.416     8.091
20181014      2458405.0        0.      0.    5.00E+000      0.3343      1.2194      0.0029     8.300    -0.300     8.642     8.369     8.317
20181015      2458406.0        0.      0.    5.00E+000      0.4275      1.1711      0.0029     8.300    -0.300     7.508     7.578     7.833
20181016      2458407.0        0.      0.    5.00E+000      0.5217      1.1344      0.0029     8.300    -0.300     7.552     7.668     8.076
20181017      2458408.0        0.      0.    5.00E+000      0.6150      1.1084      0.0029     8.300    -0.300     7.104     7.278     7.745
20181018      2458409.0    11020.      1.    5.00E+000      0.7042      1.0673      0.0029     8.268    -0.285    10.520    10.074     9.557
20181019      2458410.0     5461.      1.    5.00E+000      0.7868      1.0126      0.0029     8.155    -0.329    10.054     9.578     8.968
20181020      2458411.0     7009.      1.    5.00E+000      0.8602      0.9469      0.0029     8.283    -0.265    10.105     9.447     8.794
20181021      2458412.0        0.      0.    5.00E+000      0.9208      0.8719      0.0029     8.300    -0.300     6.694     6.802     7.256
20181022      2458413.0     6056.      1.    5.00E+000      0.9657      0.7910      0.0029     8.232    -0.243     9.763     9.454     8.971
20181023      2458414.0     6330.      1.    5.00E+000      0.9919      0.7074      0.0029     8.307    -0.230     9.760     9.446     9.009
20181024      2458415.0     3450.      1.    5.00E+000      0.9970      0.6250      0.0029     8.271    -0.238     9.332     9.086     8.615
20181025      2458416.0      386.      1.    5.00E+000      0.9792      0.5485      0.0029     8.074    -0.152     7.809     7.791     7.499
20181026      2458417.0        0.      0.    5.00E+000      0.9380      0.4834      0.0029     8.300    -0.300     7.210     7.113     7.148
20181027      2458418.0        0.      0.    5.00E+000      0.8746      0.4351      0.0029     8.300    -0.300     7.925     7.663     7.567
20181028      2458419.0        0.      0.    5.00E+000      0.7915      0.4080      0.0029     8.300    -0.300     7.147     7.047     7.274
20181029      2458420.0        0.      0.    5.00E+000      0.6925      0.4055      0.0029     8.300    -0.300     8.484     8.529     8.762
20181030      2458421.0      900.      1.    5.00E+000      0.5838      0.4284      0.0029     7.879    -0.072     8.330     8.242     8.481
