model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      6.454572E-012      3.770438E-010      8.412632E-010     -5.027529E-011     -4.697578E-010      1.181268E-016      3.116238E-015     -3.687400E-015      1.250194E-013      7.559378E-011
      3.770438E-010      1.055497E-004     -2.661649E-006     -2.633184E-005      2.985165E-007      5.293626E-012      8.709370E-011      3.325303E-011     -2.028699E-009      2.983708E-006
      8.412632E-010     -2.661649E-006      1.466740E-004      3.213782E-007     -3.623752E-005      1.312444E-011     -9.728942E-012     -1.325487E-010     -4.838836E-010     -1.300717E-005
     -5.027529E-011     -2.633184E-005      3.213782E-007      1.374147E-005     -3.632569E-008     -9.923718E-012     -3.412532E-011      9.264043E-011     -2.473568E-009      2.618737E-006
     -4.697578E-010      2.985165E-007     -3.623752E-005     -3.632569E-008      1.863979E-005     -8.623533E-012      1.202810E-011      5.563995E-011     -6.577515E-010     -1.116292E-005
      1.181268E-016      5.293626E-012      1.312444E-011     -9.923718E-012     -8.623533E-012      2.594285E-015     -1.802111E-015     -1.914501E-014     -1.375398E-014      1.146205E-011
      3.116238E-015      8.709370E-011     -9.728942E-012     -3.412532E-011      1.202810E-011     -1.802111E-015      2.505917E-013     -3.170411E-013      1.332152E-013     -9.736269E-011
     -3.687400E-015      3.325303E-011     -1.325487E-010      9.264043E-011      5.563995E-011     -1.914501E-014     -3.170411E-013      6.545623E-013      3.234699E-014     -8.234457E-011
      1.250194E-013     -2.028699E-009     -4.838836E-010     -2.473568E-009     -6.577515E-010     -1.375398E-014      1.332152E-013      3.234699E-014      1.345858E-011     -3.034210E-009
      7.559378E-011      2.983708E-006     -1.300717E-005      2.618737E-006     -1.116292E-005      1.146205E-011     -9.736269E-011     -8.234457E-011     -3.034210E-009      1.685473E-004
