model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000     -1.094475E-004      1.181120E-005      1.260166E-005     -4.938583E-006      4.146254E-005      1.182964E-005
           0.087266                NaN                NaN                NaN      6.088785E-005      1.459024E-005      1.168867E-005
           0.174533                NaN                NaN                NaN     -2.699012E-005      1.100942E-005      1.183928E-005
           0.261799                NaN                NaN                NaN     -1.123640E-004      9.454096E-006      1.213047E-005
           0.349066     -1.817801E-004      9.955867E-006      1.225993E-005     -1.779579E-004      8.731554E-006      1.252393E-005
           0.436332                NaN                NaN                NaN     -1.938004E-004      8.217734E-006      1.297237E-005
           0.523599                NaN                NaN                NaN     -9.254511E-005      8.119542E-006      1.342154E-005
           0.610865                NaN                NaN                NaN      3.071128E-005      8.364763E-006      1.381228E-005
           0.698132     -1.888454E-004      8.850617E-006      1.184286E-005      1.657706E-004      8.624204E-006      1.408389E-005
           0.785398                NaN                NaN                NaN      2.990246E-004      9.050284E-006      1.418218E-005
           0.872665                NaN                NaN                NaN      2.488647E-004      1.008543E-005      1.407860E-005
           0.959931                NaN                NaN                NaN      3.768558E-005      1.077308E-005      1.381181E-005
           1.047198     -8.154014E-005      8.157522E-006      1.129324E-005     -2.874462E-004      1.184489E-005      1.356866E-005
           1.134464                NaN                NaN                NaN     -5.174938E-004      1.365617E-005      1.379940E-005
           1.221731                NaN                NaN                NaN     -2.973990E-004      1.695664E-005      1.523883E-005
           1.308997                NaN                NaN                NaN      1.167840E-003      2.575617E-005      1.860402E-005
           1.396263      2.142889E-005      7.120757E-006      1.086788E-005      3.623195E-003      9.899709E-005      2.421182E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      3.203695E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      4.196182E-005
           1.745329      8.576796E-005      7.386806E-006      1.079643E-005                NaN                NaN                NaN
           2.094395      1.409215E-004      8.574795E-006      1.112279E-005                NaN                NaN                NaN
           2.443461      8.869959E-005      8.990139E-006      1.166024E-005                NaN                NaN                NaN
           2.792527      9.637168E-006      8.158262E-006      1.238247E-005                NaN                NaN                NaN
           3.141593     -8.057214E-005      7.960853E-006      1.257996E-005                NaN                NaN                NaN
           3.490659     -1.192965E-004      8.738960E-006      1.226119E-005                NaN                NaN                NaN
           3.839725     -1.006379E-004      9.568818E-006      1.183860E-005                NaN                NaN                NaN
           4.188790     -6.452313E-005      8.926841E-006      1.131639E-005                NaN                NaN                NaN
           4.537856      2.921241E-006      8.165783E-006      1.091081E-005                NaN                NaN                NaN
           4.886922      5.907100E-005      8.472935E-006      1.082143E-005                NaN                NaN                NaN
           5.235988      1.545126E-004      8.234050E-006      1.111696E-005                NaN                NaN                NaN
           5.585054      1.799369E-004      8.518923E-006      1.164712E-005                NaN                NaN                NaN
           5.934120      7.575760E-005      1.130114E-005      1.235002E-005                NaN                NaN                NaN
           6.283185     -1.094475E-004      1.181120E-005      1.260166E-005                NaN                NaN                NaN
