model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20190105      2458488.0     3000.      1.432374E-001      5.121906E+002      6.130676E+002      5.165323E+002      6.076266E+002      2.873566E-003      2.665746E-003      9.095317E-003      1.175903E-003      2.316831E+000
20190106      2458489.0     9762.      1.431862E-001      5.122803E+002      6.130401E+002      5.164814E+002      6.076851E+002      2.874301E-003      2.603414E-003      9.145046E-003      1.221964E-003      2.208782E+000
20190107      2458490.0      847.      1.431260E-001      5.123373E+002      6.130465E+002      5.164535E+002      6.077238E+002      2.867160E-003      3.296796E-003      8.585226E-003      1.044432E-003      2.036775E+000
20190109      2458492.0    11150.      1.433060E-001      5.122404E+002      6.130371E+002      5.164975E+002      6.076500E+002      2.875374E-003      2.517354E-003      9.223461E-003      1.199108E-003      2.256328E+000
20190110      2458493.0    13488.      1.433002E-001      5.122311E+002      6.130632E+002      5.165109E+002      6.076120E+002      2.874894E-003      2.555300E-003      9.192828E-003      1.180558E-003      2.346919E+000
20190111      2458494.0     6352.      1.433008E-001      5.121935E+002      6.130082E+002      5.165140E+002      6.076057E+002      2.877277E-003      2.380198E-003      9.344676E-003      1.193177E-003      2.358597E+000
20190112      2458495.0     5280.      1.432890E-001      5.121492E+002      6.130905E+002      5.165256E+002      6.076420E+002      2.874681E-003      2.574576E-003      9.171297E-003      1.100304E-003      2.343781E+000
20190113      2458496.0     9838.      1.432831E-001      5.122639E+002      6.130328E+002      5.164679E+002      6.076705E+002      2.874888E-003      2.566545E-003      9.180466E-003      1.176881E-003      2.260768E+000
20190114      2458497.0    12295.      1.432585E-001      5.122469E+002      6.130713E+002      5.164766E+002      6.076534E+002      2.876028E-003      2.473390E-003      9.259445E-003      1.222327E-003      2.306809E+000
20190115      2458498.0     9092.      1.431523E-001      5.122585E+002      6.131088E+002      5.165015E+002      6.076310E+002      2.875186E-003      2.528232E-003      9.213789E-003      1.190020E-003      2.309253E+000
20190116      2458499.0      114.      1.437249E-001      5.128595E+002      6.128896E+002      5.163369E+002      6.076659E+002      2.872725E-003      2.692654E-003      9.065713E-003      1.397426E-003      1.715359E+000
20190119      2458502.0      140.      1.428906E-001      5.124114E+002      6.121179E+002      5.165018E+002      6.076191E+002      2.877388E-003      2.436585E-003      9.277151E-003      1.046151E-003      2.475703E+000
20190120      2458503.0      505.      1.433581E-001      5.126036E+002      6.128182E+002      5.164447E+002      6.076441E+002      2.864728E-003      3.452119E-003      8.508022E-003      1.217534E-003      2.058935E+000
20190121      2458504.0      805.      1.433125E-001      5.123745E+002      6.130063E+002      5.164799E+002      6.076488E+002      2.871482E-003      2.863571E-003      8.921374E-003      1.242719E-003      2.267639E+000
20190125      2458508.0      646.      1.432064E-001      5.122011E+002      6.129948E+002      5.164312E+002      6.074985E+002      2.873451E-003      2.728081E-003      9.016514E-003      1.583721E-003      2.200582E+000
20190126      2458509.0      826.      1.431267E-001      5.121355E+002      6.129869E+002      5.165004E+002      6.074799E+002      2.863705E-003      3.701238E-003      8.316296E-003      1.272176E-003      2.300447E+000
20190128      2458511.0    10836.      1.431629E-001      5.121750E+002      6.129515E+002      5.164471E+002      6.075369E+002      2.875283E-003      2.521570E-003      9.221407E-003      1.220978E-003      2.348859E+000
20190129      2458512.0      546.      1.429322E-001      5.123356E+002      6.128536E+002      5.164626E+002      6.075732E+002      2.862952E-003      3.821039E-003      8.222136E-003      1.139857E-003      2.111391E+000
20190130      2458513.0       96.      1.426570E-001      5.130908E+002      6.124807E+002      5.161306E+002      6.078163E+002      2.864196E-003      3.613238E-003      8.339697E-003      2.283947E-003      1.457267E+000
