model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20190105      2458488.0     3000.      3.594083E-005      1.041661E-001      1.221237E-001      3.707650E-002      4.017627E-002      4.758473E-007      5.805719E-006      8.722440E-006      3.453971E-005      3.946887E-002
20190106      2458489.0     9762.      2.092837E-005      5.752394E-002      6.593555E-002      1.908902E-002      2.114194E-002      2.686693E-007      3.204225E-006      4.827932E-006      2.187707E-005      2.001007E-002
20190107      2458490.0      847.      6.748470E-005      1.964300E-001      2.481733E-001      5.703440E-002      6.226332E-002      9.019494E-007      1.514322E-005      1.754308E-005      6.094175E-005      6.652043E-002
20190109      2458492.0    11150.      1.914272E-005      5.245696E-002      6.036247E-002      1.751323E-002      1.920885E-002      2.444289E-007      2.806490E-006      4.337387E-006      2.103731E-005      1.896963E-002
20190110      2458493.0    13488.      1.704913E-005      4.694020E-002      5.282278E-002      1.590008E-002      1.738179E-002      2.235235E-007      2.495864E-006      3.790687E-006      1.781376E-005      1.655152E-002
20190111      2458494.0     6352.      2.487377E-005      6.698072E-002      7.822582E-002      2.286163E-002      2.521727E-002      3.255333E-007      3.422672E-006      5.641881E-006      2.610234E-005      2.274318E-002
20190112      2458495.0     5280.      2.688824E-005      7.745878E-002      8.989004E-002      2.567155E-002      2.811754E-002      3.498435E-007      4.351552E-006      6.554695E-006      2.482288E-005      3.313876E-002
20190113      2458496.0     9838.      2.105235E-005      5.803378E-002      6.579895E-002      1.937664E-002      2.127690E-002      2.721122E-007      3.206331E-006      4.862826E-006      2.153947E-005      2.026496E-002
20190114      2458497.0    12295.      1.850020E-005      5.003927E-002      5.654588E-002      1.725025E-002      1.901391E-002      2.407295E-007      2.566740E-006      4.066269E-006      2.011516E-005      1.791858E-002
20190115      2458498.0     9092.      2.035158E-005      5.628914E-002      6.407098E-002      1.836678E-002      2.031793E-002      2.660596E-007      3.068189E-006      4.830016E-006      2.252054E-005      1.978741E-002
20190116      2458499.0      114.      2.210769E-004      6.409590E-001      6.407957E-001      2.236982E-001      2.439969E-001      2.874266E-006      2.923643E-005      4.766657E-005      9.504704E-005      1.506022E-001
20190119      2458502.0      140.      2.544708E-004      7.366671E-001      7.968649E-001      3.172130E-001      3.319966E-001      3.078484E-006      3.059404E-005      5.983424E-005      1.097372E-004      8.145820E-002
20190120      2458503.0      505.      8.519471E-005      2.690574E-001      3.170986E-001      7.834721E-002      8.340979E-002      1.167035E-006      2.242363E-005      2.544052E-005      7.919336E-005      9.833107E-002
20190121      2458504.0      805.      6.445734E-005      1.977437E-001      2.323213E-001      5.203110E-002      5.627509E-002      8.641731E-007      1.376477E-005      1.891066E-005      7.005194E-005      6.079825E-002
20190125      2458508.0      646.      8.111150E-005      2.209135E-001      2.664561E-001      6.751627E-002      7.640441E-002      1.088682E-006      1.416372E-005      2.082563E-005      7.645179E-005      5.596751E-002
20190126      2458509.0      826.      6.717525E-005      1.976283E-001      2.258056E-001      5.024895E-002      5.818301E-002      9.342173E-007      1.749409E-005      1.927914E-005      5.460668E-005      5.893385E-002
20190128      2458511.0    10836.      1.836048E-005      5.177455E-002      5.856485E-002      1.761859E-002      1.934070E-002      2.452292E-007      2.742839E-006      4.289644E-006      1.805866E-005      1.741681E-002
20190129      2458512.0      546.      8.747546E-005      2.557767E-001      3.049701E-001      7.304686E-002      8.065081E-002      1.244236E-006      2.487893E-005      2.377911E-005      8.036847E-005      1.074816E-001
20190130      2458513.0       96.      2.413510E-004      6.153506E-001      7.317982E-001      1.862924E-001      2.446297E-001      3.187604E-006      4.395817E-005      5.174876E-005      1.160587E-004      1.304816E-001
