model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190105      2458488.0     3000.      1.    5.00E+000      0.0002      1.7679      0.0029     0.009     0.005     0.232     0.308     0.529
20190106      2458489.0     9762.      1.    5.00E+000      0.0080      1.6613      0.0029     0.004     0.002     0.248     0.299     0.487
20190107      2458490.0      847.      1.    5.00E+000      0.0334      1.5175      0.0029     0.017     0.012     1.382     0.972     0.665
20190108      2458491.0        0.      0.    5.00E+000      0.0755      1.3749      0.0029     0.000     0.000     0.217     0.203     0.244
20190109      2458492.0    11150.      1.    5.00E+000      0.1325      1.2316      0.0029     0.004     0.002     0.304     0.277     0.345
20190110      2458493.0    13488.      1.    5.00E+000      0.2027      1.0947      0.0029     0.003     0.002     0.208     0.252     0.396
20190111      2458494.0     6352.      1.    5.00E+000      0.2841      0.9646      0.0029     0.006     0.004     0.518     0.429     0.420
20190112      2458495.0     5280.      1.    5.00E+000      0.3744      0.8471      0.0029     0.007     0.005     0.432     0.378     0.418
20190113      2458496.0     9838.      1.    5.00E+000      0.4714      0.7519      0.0029     0.004     0.003     0.355     0.416     0.480
20190114      2458497.0    12295.      1.    5.00E+000      0.5721      0.6710      0.0029     0.003     0.002     0.357     0.428     0.475
20190115      2458498.0     9092.      1.    5.00E+000      0.6733      0.5928      0.0029     0.004     0.002     0.330     0.423     0.423
20190116      2458499.0      114.      1.    5.00E+000      0.7699      0.5217      0.0029     0.036     0.023     0.648     0.596     0.518
20190117      2458500.0        0.      0.    5.00E+000      0.8565      0.4629      0.0029     0.000     0.000     0.932     0.716     0.555
20190118      2458501.0        0.      0.    5.00E+000      0.9277      0.4233      0.0029     0.000     0.000     0.651     0.720     0.634
20190119      2458502.0      140.      1.    5.00E+000      0.9768      0.4085      0.0029     0.058     0.035     0.603     0.704     0.577
20190120      2458503.0      505.      1.    5.00E+000      0.9988      0.4226      0.0029     0.027     0.020     1.009     0.823     0.579
20190121      2458504.0      805.      1.    5.00E+000      0.9907      0.4652      0.0029     0.012     0.008     0.445     0.614     0.511
20190122      2458505.0        0.      0.    5.00E+000      0.9527      0.5320      0.0029     0.000     0.000     0.505     0.455     0.369
20190123      2458506.0        0.      0.    5.00E+000      0.8881      0.6150      0.0029     0.000     0.000     0.000     0.000     0.010
20190124      2458507.0        0.      0.    5.00E+000      0.8029      0.7070      0.0029     0.000     0.000     0.490     0.381     0.189
20190125      2458508.0      646.      1.    5.00E+000      0.7039      0.8004      0.0029     0.014     0.008     0.447     0.531     0.472
20190126      2458509.0      826.      1.    5.00E+000      0.5978      0.8899      0.0029     0.013     0.009     1.500     1.197     0.764
20190127      2458510.0        0.      0.    5.00E+000      0.4903      0.9713      0.0029     0.000     0.000     0.701     0.605     0.520
20190128      2458511.0    10836.      1.    5.00E+000      0.3866      1.0505      0.0029     0.004     0.002     0.229     0.273     0.467
20190129      2458512.0      546.      1.    5.00E+000      0.2903      1.1444      0.0029     0.021     0.015     0.713     0.660     0.548
20190130      2458513.0       96.      1.    5.00E+000      0.2046      1.2488      0.0029     0.053     0.032     1.068     1.019     0.833
