model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000      7.129336E-006      2.657305E-005      2.277632E-005      6.343927E-005      9.932111E-005      2.164269E-005
           0.087266                NaN                NaN                NaN      1.848677E-005      3.025279E-005      2.161411E-005
           0.174533                NaN                NaN                NaN      7.500255E-006      2.574653E-005      2.189896E-005
           0.261799                NaN                NaN                NaN     -9.584340E-005      1.945693E-005      2.246545E-005
           0.349066      1.009736E-004      2.879470E-005      2.313633E-005     -1.438884E-004      1.586464E-005      2.323670E-005
           0.436332                NaN                NaN                NaN     -1.282543E-004      1.514020E-005      2.411857E-005
           0.523599                NaN                NaN                NaN     -6.309726E-005      1.574197E-005      2.500459E-005
           0.610865                NaN                NaN                NaN      5.376645E-005      1.500687E-005      2.578021E-005
           0.698132      8.377524E-005      2.435447E-005      2.279681E-005      1.488995E-004      1.563346E-005      2.632916E-005
           0.785398                NaN                NaN                NaN      2.210399E-004      1.710587E-005      2.654786E-005
           0.872665                NaN                NaN                NaN      1.301121E-004      1.789192E-005      2.637895E-005
           0.959931                NaN                NaN                NaN     -4.036438E-005      2.161958E-005      2.588425E-005
           1.047198      2.996390E-005      1.913053E-005      2.204049E-005     -3.238569E-004      2.322632E-005      2.538700E-005
           1.134464                NaN                NaN                NaN     -4.196280E-004      3.254380E-005      2.567979E-005
           1.221731                NaN                NaN                NaN      2.454402E-004      4.483689E-005      2.808553E-005
           1.308997                NaN                NaN                NaN      1.850467E-003      7.585862E-005      3.394609E-005
           1.396263     -3.800275E-006      2.042287E-005      2.145187E-005      4.018146E-003      2.239337E-004      4.389718E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      5.791504E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      7.577824E-005
           1.745329     -2.875386E-007      2.160195E-005      2.081960E-005                NaN                NaN                NaN
           2.094395      5.477304E-005      1.926320E-005      2.078838E-005                NaN                NaN                NaN
           2.443461      5.946582E-005      1.566852E-005      2.109765E-005                NaN                NaN                NaN
           2.792527      3.664015E-005      1.482172E-005      2.203261E-005                NaN                NaN                NaN
           3.141593      2.167313E-005      1.637363E-005      2.291588E-005                NaN                NaN                NaN
           3.490659     -1.452682E-005      1.731970E-005      2.319593E-005                NaN                NaN                NaN
           3.839725     -7.078088E-005      1.713741E-005      2.272595E-005                NaN                NaN                NaN
           4.188790     -9.231915E-005      2.000549E-005      2.182265E-005                NaN                NaN                NaN
           4.537856     -1.298992E-005      2.233089E-005      2.110997E-005                NaN                NaN                NaN
           4.886922     -4.385718E-005      2.081239E-005      2.044150E-005                NaN                NaN                NaN
           5.235988     -2.501912E-005      1.524412E-005      2.045862E-005                NaN                NaN                NaN
           5.585054     -6.741110E-005      1.496344E-005      2.084167E-005                NaN                NaN                NaN
           5.934120     -7.288894E-005      1.720835E-005      2.184315E-005                NaN                NaN                NaN
           6.283185      7.129336E-006      2.657305E-005      2.277632E-005                NaN                NaN                NaN
