model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181200      2458452.0     1026.      1.    5.00E+000      0.3796      0.6469      0.0029     7.572    -0.147     9.941     9.507     9.005
20181201      2458453.0        0.      0.    5.00E+000      0.2919      0.8068      0.0029     8.300    -0.300     8.186     8.035     8.085
20181202      2458454.0     3808.      1.    5.00E+000      0.1983      0.9843      0.0029     8.358    -0.203    10.389     9.796     9.054
20181203      2458455.0      779.      1.    5.00E+000      0.1202      1.1681      0.0029     7.494    -0.050     9.240     8.925     8.763
20181204      2458456.0     2178.      1.    5.00E+000      0.0605      1.3540      0.0029     8.179    -0.166     8.105     7.938     7.885
20181205      2458457.0    12505.      1.    5.00E+000      0.0210      1.5342      0.0029     8.065    -0.153    10.538     9.968     9.334
20181206      2458458.0     5576.      1.    5.00E+000      0.0027      1.7200      0.0029     8.053    -0.147    10.370     9.751     9.027
20181207      2458459.0     4573.      1.    5.00E+000      0.0050      1.6616      0.0029     8.561    -0.345    10.514     9.937     9.175
20181208      2458460.0     6532.      1.    5.00E+000      0.0269      1.5330      0.0029     8.089    -0.149    10.024     9.383     8.921
20181209      2458461.0     8408.      1.    5.00E+000      0.0667      1.4099      0.0029     8.145    -0.229    10.426     9.828     9.100
20181210      2458462.0      917.      1.    5.00E+000      0.1219      1.2847      0.0029     7.874    -0.043     9.247     8.922     8.742
20181211      2458463.0     9816.      1.    5.00E+000      0.1902      1.1676      0.0029     8.170    -0.180    10.503     9.918     9.297
20181212      2458464.0     1751.      0.    5.00E+000      0.2691      1.0590      0.0029     8.300    -0.300     9.813     9.318     8.917
20181213      2458465.0        0.      0.    5.00E+000      0.3563      0.9621      0.0029     8.300    -0.300     8.714     8.576     8.514
20181214      2458466.0        0.      0.    5.00E+000      0.4493      0.8842      0.0029     8.300    -0.300     7.040     6.843     6.710
20181215      2458467.0     2616.      1.    5.00E+000      0.5456      0.8099      0.0029     7.981    -0.093     8.680     8.358     8.386
20181216      2458468.0     2837.      1.    5.00E+000      0.6423      0.7301      0.0029     7.969    -0.082     9.125     8.747     8.643
20181217      2458469.0       95.      0.    5.00E+000      0.7361      0.6471      0.0029     8.300    -0.300     7.675     7.620     7.692
20181218      2458470.0     6325.      1.    5.00E+000      0.8227      0.5649      0.0029     8.124    -0.202     9.880     9.419     8.784
20181219      2458471.0     4370.      1.    5.00E+000      0.8974      0.4870      0.0029     7.975    -0.095     9.515     9.198     8.568
20181220      2458472.0      789.      1.    5.00E+000      0.9550      0.4197      0.0029     8.053    -0.123     7.848     7.908     7.922
20181221      2458473.0      164.      1.    5.00E+000      0.9901      0.3686      0.0029     8.300    -0.300     9.180     8.857     8.293
20181222      2458474.0      831.      1.    5.00E+000      0.9987      0.3411      0.0029     8.290    -0.335     8.614     8.508     8.026
20181223      2458475.0     2133.      1.    5.00E+000      0.9787      0.3414      0.0029     8.300    -0.300     9.342     9.058     8.518
20181224      2458476.0     1734.      1.    5.00E+000      0.9305      0.3701      0.0029     8.176    -0.159     7.717     7.793     8.100
20181225      2458477.0      579.      0.    5.00E+000      0.8577      0.4238      0.0029     8.300    -0.300     7.768     7.860     8.150
20181226      2458478.0     5947.      1.    5.00E+000      0.7657      0.4964      0.0029     8.072    -0.169    10.047     9.546     8.939
20181227      2458479.0     1768.      1.    5.00E+000      0.6612      0.5808      0.0029     7.859    -0.068    10.120     9.437     8.757
20181228      2458480.0      880.      1.    5.00E+000      0.5504      0.6704      0.0029     8.487    -0.072    10.229     9.527     8.601
20181229      2458481.0     2448.      1.    5.00E+000      0.4401      0.7611      0.0029     8.209    -0.340    10.452     9.709     8.983
20181230      2458482.0     2830.      1.    5.00E+000      0.3353      0.8754      0.0029     8.062    -0.010     9.024     8.865     8.676
20181231      2458483.0      699.      0.    5.00E+000      0.2506      1.9292      0.0029     8.300    -0.300     8.371     8.250     8.356
