model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181200      2458452.0     1026.      1.    5.00E+000      0.3796      0.6469      0.0029     0.016     0.010     0.481     0.475     0.292
20181201      2458453.0        0.      0.    5.00E+000      0.2919      0.8068      0.0029     0.000     0.000     0.426     0.404     0.527
20181202      2458454.0     3808.      1.    5.00E+000      0.1983      0.9843      0.0029     0.011     0.006     0.419     0.399     0.498
20181203      2458455.0      779.      1.    5.00E+000      0.1202      1.1681      0.0029     0.021     0.014     0.780     0.633     0.423
20181204      2458456.0     2178.      1.    5.00E+000      0.0605      1.3540      0.0029     0.009     0.004     1.348     1.154     0.996
20181205      2458457.0    12505.      1.    5.00E+000      0.0210      1.5342      0.0029     0.004     0.002     0.273     0.314     0.420
20181206      2458458.0     5576.      1.    5.00E+000      0.0027      1.7200      0.0029     0.007     0.004     0.939     0.765     0.680
20181207      2458459.0     4573.      1.    5.00E+000      0.0050      1.6616      0.0029     0.009     0.005     0.340     0.388     0.607
20181208      2458460.0     6532.      1.    5.00E+000      0.0269      1.5330      0.0029     0.005     0.003     1.249     1.047     0.799
20181209      2458461.0     8408.      1.    5.00E+000      0.0667      1.4099      0.0029     0.004     0.002     0.554     0.498     0.420
20181210      2458462.0      917.      1.    5.00E+000      0.1219      1.2847      0.0029     0.016     0.009     0.753     0.651     0.493
20181211      2458463.0     9816.      1.    5.00E+000      0.1902      1.1676      0.0029     0.004     0.002     0.718     0.637     0.584
20181212      2458464.0     1751.      0.    5.00E+000      0.2691      1.0590      0.0029     0.000     0.000     0.470     0.351     0.313
20181213      2458465.0        0.      0.    5.00E+000      0.3563      0.9621      0.0029     0.000     0.000     0.327     0.285     0.282
20181214      2458466.0        0.      0.    5.00E+000      0.4493      0.8842      0.0029     0.000     0.000     0.534     0.591     0.690
20181215      2458467.0     2616.      1.    5.00E+000      0.5456      0.8099      0.0029     0.009     0.005     1.281     1.138     0.950
20181216      2458468.0     2837.      1.    5.00E+000      0.6423      0.7301      0.0029     0.009     0.005     0.782     0.631     0.385
20181217      2458469.0       95.      0.    5.00E+000      0.7361      0.6471      0.0029     0.000     0.000     0.921     0.893     0.914
20181218      2458470.0     6325.      1.    5.00E+000      0.8227      0.5649      0.0029     0.005     0.003     0.941     0.897     0.606
20181219      2458471.0     4370.      1.    5.00E+000      0.8974      0.4870      0.0029     0.008     0.004     0.823     0.779     0.588
20181220      2458472.0      789.      1.    5.00E+000      0.9550      0.4197      0.0029     0.016     0.008     0.992     0.795     0.567
20181221      2458473.0      164.      1.    5.00E+000      0.9901      0.3686      0.0029     0.040     0.023     0.460     0.582     0.517
20181222      2458474.0      831.      1.    5.00E+000      0.9987      0.3411      0.0029     0.014     0.008     0.687     0.676     0.457
20181223      2458475.0     2133.      1.    5.00E+000      0.9787      0.3414      0.0029     0.009     0.005     0.411     0.576     0.453
20181224      2458476.0     1734.      1.    5.00E+000      0.9305      0.3701      0.0029     0.011     0.006     1.335     1.055     0.710
20181225      2458477.0      579.      0.    5.00E+000      0.8577      0.4238      0.0029     0.000     0.000     0.924     0.823     0.517
20181226      2458478.0     5947.      1.    5.00E+000      0.7657      0.4964      0.0029     0.005     0.003     0.442     0.584     0.523
20181227      2458479.0     1768.      1.    5.00E+000      0.6612      0.5808      0.0029     0.013     0.006     0.656     0.703     0.641
20181228      2458480.0      880.      1.    5.00E+000      0.5504      0.6704      0.0029     0.030     0.017     1.194     0.963     0.666
20181229      2458481.0     2448.      1.    5.00E+000      0.4401      0.7611      0.0029     0.014     0.008     0.786     0.732     0.675
20181230      2458482.0     2830.      1.    5.00E+000      0.3353      0.8754      0.0029     0.011     0.005     1.175     0.981     0.733
20181231      2458483.0      699.      0.    5.00E+000      0.2506      1.9292      0.0029     0.000     0.000     0.984     0.904     0.616
