model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20181200      2458452.0      274.      2.605179E-004      4.768986E-001      5.177878E-001      1.514782E-001      1.879284E-001      2.241853E-006      3.815772E-005      4.354024E-005      1.216056E-004      3.734835E-002
20181201      2458453.0      108.      1.805803E-003      3.288516E+000      2.956215E+000      7.936235E-001      8.706814E-001      1.197523E-005      1.515980E-004      1.309153E-003      1.750541E-003      1.714768E-001
20181202      2458454.0     6579.      3.914797E-005      7.459406E-002      9.397382E-002      2.656972E-002      3.229049E-002      3.842705E-007      4.420097E-006      6.865716E-006      2.738441E-005      3.804723E-002
20181203      2458455.0     1840.      7.773309E-005      1.449132E-001      1.865769E-001      5.666520E-002      6.665359E-002      7.935811E-007      8.236925E-006      1.268633E-005      5.168641E-005      6.818878E-002
20181204      2458456.0     3191.      1.647037E-004      2.606780E-001      3.071178E-001      7.894034E-002      9.174022E-002      1.307726E-006      2.034067E-005      2.389974E-005      9.893056E-005      1.546131E-001
20181205      2458457.0    16068.      1.985273E-005      3.712815E-002      4.562758E-002      1.262100E-002      1.556273E-002      1.964263E-007      2.030346E-006      3.308521E-006      1.356089E-005      1.854017E-002
20181206      2458458.0    14694.      2.071780E-005      3.892649E-002      4.838130E-002      1.298883E-002      1.605432E-002      2.048657E-007      2.221329E-006      3.534037E-006      1.396138E-005      1.920639E-002
20181207      2458459.0     7561.      3.325311E-005      6.158739E-002      7.677026E-002      2.253442E-002      2.759100E-002      3.237768E-007      3.434291E-006      5.235375E-006      2.011498E-005      3.432606E-002
20181208      2458460.0     6331.      4.776644E-005      8.145666E-002      9.352975E-002      3.244733E-002      3.780315E-002      4.650910E-007      4.000622E-006      6.538230E-006      2.832976E-005      3.375098E-002
20181209      2458461.0     5132.      4.217614E-005      7.527237E-002      9.182560E-002      2.390118E-002      2.976343E-002      4.207404E-007      4.917120E-006      6.959331E-006      2.650363E-005      3.267597E-002
20181210      2458462.0     2440.      6.474426E-005      1.149369E-001      1.404622E-001      3.485497E-002      4.230554E-002      6.604425E-007      9.183475E-006      1.054802E-005      4.206493E-005      7.396207E-002
20181211      2458463.0    12130.      2.530553E-005      4.560893E-002      5.627495E-002      1.612588E-002      1.980005E-002      2.495763E-007      2.476516E-006      3.998069E-006      1.735136E-005      2.080646E-002
20181212      2458464.0      847.      8.618832E-005      1.772270E-001      2.179447E-001      5.802045E-002      7.178603E-002      8.753415E-007      1.230651E-005      1.523680E-005      4.966603E-005      5.096706E-002
20181213      2458465.0       58.      4.042649E-004      7.509754E-001      8.789529E-001      2.500554E-001      3.368231E-001      3.992993E-006      6.385380E-005      6.932692E-005      9.603406E-005      2.635339E-001
20181214      2458466.0      550.      1.295069E-004      2.598732E-001      3.048311E-001      7.737462E-002      1.014738E-001      1.270249E-006      2.217160E-005      2.358694E-005      8.436233E-005      6.148511E-002
20181215      2458467.0     2855.      6.231188E-005      1.067157E-001      1.293691E-001      4.205285E-002      5.035259E-002      6.214111E-007      5.559815E-006      8.702121E-006      3.829449E-005      5.963217E-002
20181216      2458468.0     3198.      4.673543E-005      9.113993E-002      1.070259E-001      2.676270E-002      3.240453E-002      4.670192E-007      5.864483E-006      8.288554E-006      3.203219E-005      4.160672E-002
20181218      2458470.0     6862.      3.205195E-005      6.004569E-002      7.510044E-002      1.905201E-002      2.369145E-002      3.269409E-007      3.845728E-006      5.591910E-006      2.126606E-005      3.077280E-002
20181219      2458471.0     4524.      3.821936E-005      7.207423E-002      8.736924E-002      2.527076E-002      3.055115E-002      3.782160E-007      3.877097E-006      6.233716E-006      2.476453E-005      3.493681E-002
20181220      2458472.0      365.      1.577972E-004      3.109939E-001      3.783705E-001      9.602299E-002      1.194519E-001      1.484622E-006      1.798772E-005      2.527794E-005      7.431892E-005      4.682822E-002
20181221      2458473.0      919.      8.506033E-005      1.698521E-001      2.042888E-001      5.403411E-002      6.500252E-002      8.732702E-007      1.084042E-005      1.401741E-005      4.701748E-005      6.054609E-002
20181222      2458474.0      409.      1.358097E-004      2.597155E-001      3.130536E-001      8.889452E-002      1.082915E-001      1.407651E-006      1.421141E-005      2.094100E-005      5.285112E-005      4.702635E-002
20181223      2458475.0     1124.      2.447139E-004      3.728574E-001      4.690826E-001      1.046190E-001      1.209120E-001      2.016371E-006      3.362077E-005      3.840243E-005      1.549013E-004      1.840375E-001
20181224      2458476.0     2031.      6.639935E-005      1.144798E-001      1.506379E-001      3.968609E-002      4.872313E-002      6.695914E-007      7.544506E-006      1.012611E-005      4.202110E-005      7.248589E-002
