model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      7.644887E-012     -1.711907E-009     -4.242265E-009      4.747727E-010      3.442837E-010     -3.550701E-016      6.141033E-015     -1.012854E-014      3.829744E-013     -2.573820E-010
     -1.711907E-009      1.437639E-004     -2.549454E-006     -3.475177E-005      3.389441E-007      2.775901E-011      1.983543E-011     -4.044610E-010     -1.531701E-009     -3.219028E-006
     -4.242265E-009     -2.549454E-006      2.058903E-004      3.322488E-007     -5.005472E-005     -2.931126E-012     -7.474283E-012      2.793369E-010     -4.959031E-009      2.248236E-006
      4.747727E-010     -3.475177E-005      3.322488E-007      1.888950E-005     -1.400142E-007     -1.382113E-011      6.047702E-011      4.274788E-011     -2.006159E-009     -3.932422E-006
      3.442837E-010      3.389441E-007     -5.005472E-005     -1.400142E-007      2.623459E-005      1.622911E-013     -4.620399E-011      2.065918E-011     -4.417722E-009      2.008202E-006
     -3.550701E-016      2.775901E-011     -2.931126E-012     -1.382113E-011      1.622911E-013      4.146695E-015     -3.688296E-015     -2.943503E-014     -8.016904E-015      3.480185E-012
      6.141033E-015      1.983543E-011     -7.474283E-012      6.047702E-011     -4.620399E-011     -3.688296E-015      4.225755E-013     -4.764021E-013     -9.578091E-014     -3.254001E-010
     -1.012854E-014     -4.044610E-010      2.793369E-010      4.274788E-011      2.065918E-011     -2.943503E-014     -4.764021E-013      9.246756E-013      1.465459E-013      1.572528E-010
      3.829744E-013     -1.531701E-009     -4.959031E-009     -2.006159E-009     -4.417722E-009     -8.016904E-015     -9.578091E-014      1.465459E-013      2.080979E-011      1.379604E-009
     -2.573820E-010     -3.219028E-006      2.248236E-006     -3.932422E-006      2.008202E-006      3.480185E-012     -3.254001E-010      1.572528E-010      1.379604E-009      1.845722E-005
