model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20181200      2458452.0      354.      2.035565E-003      4.789411E+002      6.477315E+002      4.776179E+002      6.457896E+002      2.890200E-003      4.199373E-003      8.225301E-003      9.219196E-004      5.631972E+000
20181201      2458453.0       68.      2.642081E-003      4.767599E+002      6.457817E+002      4.779706E+002      6.459805E+002      2.886998E-003      4.943061E-003      7.746520E-003      1.189655E-003      5.259651E+000
20181202      2458454.0    13895.      2.060632E-003      4.787706E+002      6.477835E+002      4.777027E+002      6.458943E+002      2.908000E-003      2.500596E-003      9.414213E-003      1.237910E-003      5.831404E+000
20181203      2458455.0     5700.      3.183928E-004      4.773765E+002      6.463213E+002      4.781307E+002      6.452852E+002      2.862922E-003      7.835835E-003      6.938031E-003      7.015947E-004      5.218788E+000
20181204      2458456.0     3920.      2.162452E-003      4.788240E+002      6.477112E+002      4.777439E+002      6.459616E+002      2.908979E-003      2.374165E-003      9.540513E-003      1.201245E-003      5.655221E+000
20181205      2458457.0    20096.      2.005410E-003      4.787515E+002      6.477583E+002      4.777003E+002      6.458353E+002      2.910195E-003      2.333502E-003      9.573684E-003      1.159537E-003      5.792109E+000
20181206      2458458.0    16618.      2.128314E-003      4.787804E+002      6.477323E+002      4.776731E+002      6.458218E+002      2.909364E-003      2.408544E-003      9.499941E-003      1.187183E-003      5.811885E+000
20181207      2458459.0    13870.      2.160941E-003      4.787380E+002      6.477056E+002      4.776537E+002      6.458654E+002      2.907303E-003      2.555376E-003      9.364748E-003      1.189310E-003      5.816067E+000
20181208      2458460.0    11541.      2.098544E-003      4.787520E+002      6.477651E+002      4.776766E+002      6.458375E+002      2.907607E-003      2.547647E-003      9.369462E-003      1.115485E-003      5.758297E+000
20181209      2458461.0     3269.      2.193915E-003      4.786285E+002      6.475856E+002      4.776806E+002      6.459265E+002      2.897908E-003      3.390317E-003      8.709776E-003      1.438245E-003      5.844482E+000
20181210      2458462.0     5396.      2.080240E-003      4.787238E+002      6.476188E+002      4.776770E+002      6.458443E+002      2.899076E-003      3.296401E-003      8.767992E-003      1.358293E-003      5.822818E+000
20181211      2458463.0    20033.      2.083025E-003      4.787325E+002      6.476836E+002      4.776662E+002      6.457739E+002      2.909511E-003      2.406201E-003      9.498551E-003      1.166112E-003      5.808841E+000
20181212      2458464.0     3067.      2.077281E-003      4.786647E+002      6.475846E+002      4.776382E+002      6.458080E+002      2.902813E-003      2.933768E-003      9.038350E-003      1.285100E-003      5.836232E+000
20181213      2458465.0      340.      1.954147E-003      4.787709E+002      6.480463E+002      4.776395E+002      6.457521E+002      2.895608E-003      3.611012E-003      8.578777E-003      1.067563E-003      5.521262E+000
20181214      2458466.0      442.      2.080656E-003      4.787861E+002      6.476636E+002      4.776271E+002      6.460126E+002      2.888189E-003      4.683907E-003      7.922278E-003      1.657263E-003      5.842668E+000
20181215      2458467.0     4274.      2.150923E-003      4.787374E+002      6.474634E+002      4.776977E+002      6.457785E+002      2.907420E-003      2.546552E-003      9.372457E-003      9.601307E-004      5.835521E+000
20181216      2458468.0     7303.      2.099846E-003      4.787021E+002      6.476615E+002      4.776522E+002      6.458065E+002      2.905497E-003      2.715684E-003      9.224150E-003      1.267666E-003      5.846705E+000
20181217      2458469.0      154.      2.223172E-003      4.783383E+002      6.468680E+002      4.777103E+002      6.458897E+002      2.840274E-003      1.176428E-002      6.051570E-003      1.127171E-003      5.893741E+000
20181218      2458470.0    10699.      1.946297E-003      4.786890E+002      6.476843E+002      4.776889E+002      6.457816E+002      2.904502E-003      2.795733E-003      9.158165E-003      1.153050E-003      5.822296E+000
20181219      2458471.0     8407.      2.116278E-003      4.786852E+002      6.477335E+002      4.776558E+002      6.457699E+002      2.906700E-003      2.605644E-003      9.322045E-003      1.039403E-003      5.760543E+000
20181220      2458472.0     3101.      2.102327E-003      4.787414E+002      6.476438E+002      4.776623E+002      6.458085E+002      2.897733E-003      3.355573E-003      8.750618E-003      1.045156E-003      5.796092E+000
20181221      2458473.0      282.      2.247080E-003      4.786149E+002      6.473911E+002      4.776640E+002      6.458728E+002      2.899084E-003      3.259125E-003      8.811457E-003      1.267154E-003      5.814459E+000
20181223      2458475.0      151.      6.115387E-003      4.817707E+002      6.411093E+002      4.777674E+002      6.460984E+002      2.910165E-003      3.237057E-003      8.494854E-003      5.591578E-003      5.971231E+000
20181224      2458476.0     1573.      2.191331E-003      4.786696E+002      6.475427E+002      4.776985E+002      6.459355E+002      2.899975E-003      3.191903E-003      8.843706E-003      1.338424E-003      5.802862E+000
