model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      1.109699E-010      5.951441E-009      6.368047E-010     -2.933796E-009     -4.056511E-009      1.467696E-015     -2.904567E-014      1.418933E-014      1.469847E-012     -5.844805E-009
      5.951441E-009      2.138781E-004     -1.150538E-005     -5.193874E-005      4.222411E-006      2.636585E-011      7.673164E-011     -2.707022E-010      2.313923E-009      4.693307E-006
      6.368047E-010     -1.150538E-005      2.677937E-004      3.186995E-006     -7.103766E-005     -1.604520E-011     -3.717968E-010      5.348988E-010     -2.740916E-009      1.338787E-006
     -2.933796E-009     -5.193874E-005      3.186995E-006      2.661503E-005     -1.127273E-006     -1.430041E-011      7.834280E-012      6.610450E-011      2.684037E-009      7.036230E-006
     -4.056511E-009      4.222411E-006     -7.103766E-005     -1.127273E-006      3.794930E-005      7.472992E-012      3.744191E-011     -5.169695E-011     -6.662516E-009      5.028641E-006
      1.467696E-015      2.636585E-011     -1.604520E-011     -1.430041E-011      7.472992E-012      5.527615E-015     -4.157050E-015     -4.162497E-014      2.879703E-015      2.862358E-012
     -2.904567E-014      7.673164E-011     -3.717968E-010      7.834280E-012      3.744191E-011     -4.157050E-015      6.165683E-013     -6.905808E-013      1.215302E-013      2.882639E-010
      1.418933E-014     -2.707022E-010      5.348988E-010      6.610450E-011     -5.169695E-011     -4.162497E-014     -6.905808E-013      1.305818E-012     -1.110268E-013     -2.574371E-010
      1.469847E-012      2.313923E-009     -2.740916E-009      2.684037E-009     -6.662516E-009      2.879703E-015      1.215302E-013     -1.110268E-013      2.136674E-011     -1.604709E-009
     -5.844805E-009      4.693307E-006      1.338787E-006      7.036230E-006      5.028641E-006      2.862358E-012      2.882639E-010     -2.574371E-010     -1.604709E-009      3.792731E-005
