model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20180100      2458118.0     1556.      1.    5.00E+000      0.9838      0.5694      0.0029     0.010     0.006     0.616     0.741     0.598
20180101      2458119.0        0.      0.    5.00E+000      0.9986      0.3124      0.0029     0.000     0.000     0.758     0.767     0.656
20180102      2458120.0        0.      0.    5.00E+000      0.9880      0.3262      0.0029     0.000     0.000     0.868     0.889     0.766
20180103      2458121.0        0.      0.    5.00E+000      0.9480      0.3650      0.0029     0.000     0.000     0.874     0.820     0.780
20180104      2458122.0     2925.      1.    5.00E+000      0.8833      0.4244      0.0029     0.007     0.004     0.850     0.835     0.767
20180105      2458123.0     8410.      1.    5.00E+000      0.7995      0.4975      0.0029     0.003     0.002     0.524     0.531     0.538
20180106      2458124.0     2522.      1.    5.00E+000      0.7037      0.5768      0.0029     0.004     0.002     1.033     0.920     0.671
20180107      2458125.0     5408.      1.    5.00E+000      0.6012      0.6578      0.0029     0.003     0.002     0.870     0.793     0.598
20180108      2458126.0     3025.      1.    5.00E+000      0.4984      0.7365      0.0029     0.007     0.004     0.471     0.669     0.560
20180109      2458127.0        0.      0.    5.00E+000      0.3979      0.8212      0.0029     0.000     0.000     0.262     0.447     0.586
20180110      2458128.0     5221.      1.    5.00E+000      0.3046      0.9356      0.0029     0.006     0.004     0.454     0.457     0.488
20180111      2458129.0     4059.      1.    5.00E+000      0.2198      1.0657      0.0029     0.005     0.003     0.363     0.367     0.418
20180112      2458130.0     1219.      1.    5.00E+000      0.1465      1.1958      0.0029     0.007     0.003     0.360     0.508     0.640
20180113      2458131.0     7738.      1.    5.00E+000      0.0863      1.3190      0.0029     0.004     0.002     0.556     0.608     0.672
20180114      2458132.0    14028.      1.    5.00E+000      0.0411      1.4688      0.0029     0.003     0.002     0.482     0.437     0.437
20180115      2458133.0    13222.      1.    5.00E+000      0.0121      1.6041      0.0029     0.003     0.001     0.409     0.415     0.421
20180116      2458134.0    21437.      1.    5.00E+000      0.0006      1.7462      0.0029     0.002     0.001     0.425     0.511     0.625
20180117      2458135.0     3582.      1.    5.00E+000      0.0072      1.6362      0.0029     0.004     0.002     0.448     0.562     0.622
20180118      2458136.0    19954.      1.    5.00E+000      0.0319      1.4693      0.0029     0.002     0.001     0.306     0.373     0.465
20180119      2458137.0    11588.      1.    5.00E+000      0.0749      1.3166      0.0029     0.002     0.001     0.331     0.381     0.404
20180120      2458138.0    12407.      1.    5.00E+000      0.1345      1.1338      0.0029     0.002     0.001     0.468     0.479     0.416
20180121      2458139.0     9842.      1.    5.00E+000      0.2099      0.9785      0.0029     0.002     0.001     0.582     0.633     0.800
20180122      2458140.0     2289.      1.    5.00E+000      0.2989      0.8039      0.0029     0.006     0.003     0.541     0.516     0.630
20180123      2458141.0      408.      1.    5.00E+000      0.3986      0.6620      0.0029     0.018     0.004     0.579     0.750     0.739
20180124      2458142.0     8933.      1.    5.00E+000      0.5055      0.5360      0.0029     0.003     0.001     0.538     0.621     0.684
20180125      2458143.0    12374.      1.    5.00E+000      0.6153      0.4593      0.0029     0.003     0.002     0.589     0.580     0.627
20180126      2458144.0    11340.      1.    5.00E+000      0.7220      0.3947      0.0029     0.003     0.002     0.748     0.650     0.655
20180127      2458145.0     5150.      1.    5.00E+000      0.8204      0.3454      0.0029     0.004     0.001     1.173     0.982     0.863
20180128      2458146.0     3175.      1.    5.00E+000      0.9022      0.3174      0.0029     0.005     0.002     1.365     1.154     0.901
20180129      2458147.0      187.      1.    5.00E+000      0.9620      0.3157      0.0029     0.022     0.009     0.842     0.896     0.740
20180130      2458148.0        0.      0.    5.00E+000      0.9945      0.3402      0.0029     0.000     0.000     1.043     0.896     0.725
20180131      2458149.0        0.      0.    5.00E+000      0.9988      0.4391      0.0029     0.000     0.000     0.479     0.583     0.643
