model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000      1.648434E-004      5.609280E-005      2.939398E-005      5.885292E-005      1.826320E-004      2.582367E-005
           0.087266                NaN                NaN                NaN      1.925207E-004      5.942699E-005      2.569421E-005
           0.174533                NaN                NaN                NaN      1.603806E-004      4.371657E-005      2.606094E-005
           0.261799                NaN                NaN                NaN      1.266637E-004      3.720926E-005      2.679042E-005
           0.349066      4.686955E-005      5.695889E-005      2.939795E-005      8.413523E-005      3.313348E-005      2.777844E-005
           0.436332                NaN                NaN                NaN      3.130916E-006      3.220457E-005      2.890117E-005
           0.523599                NaN                NaN                NaN     -4.157282E-005      3.163094E-005      3.002353E-005
           0.610865                NaN                NaN                NaN     -8.973692E-006      3.257620E-005      3.100648E-005
           0.698132     -6.522344E-005      4.392662E-005      2.813732E-005      6.064191E-006      3.514624E-005      3.171719E-005
           0.785398                NaN                NaN                NaN     -6.231535E-005      3.616048E-005      3.205012E-005
           0.872665                NaN                NaN                NaN     -1.241903E-004      3.728553E-005      3.197322E-005
           0.959931                NaN                NaN                NaN     -1.890027E-004      4.543075E-005      3.162258E-005
           1.047198     -1.374209E-004      3.920766E-005      2.721619E-005     -8.890388E-005      5.746726E-005      3.147249E-005
           1.134464                NaN                NaN                NaN      2.359803E-004      6.942057E-005      3.254252E-005
           1.221731                NaN                NaN                NaN      1.045325E-003      8.898095E-005      3.636592E-005
           1.308997                NaN                NaN                NaN      2.128025E-003      1.329552E-004      4.437332E-005
           1.396263     -9.728375E-005      4.524602E-005      2.649514E-005      1.163226E-003      2.406771E-004      5.723777E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      7.500240E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      9.751975E-005
           1.745329     -3.959669E-005      3.988776E-005      2.631529E-005                NaN                NaN                NaN
           2.094395      5.445728E-005      3.956069E-005      2.672712E-005                NaN                NaN                NaN
           2.443461      1.216467E-004      3.873626E-005      2.746374E-005                NaN                NaN                NaN
           2.792527      1.058961E-004      3.326513E-005      2.863653E-005                NaN                NaN                NaN
           3.141593      4.160993E-005      3.305607E-005      2.872971E-005                NaN                NaN                NaN
           3.490659     -8.391186E-005      3.142615E-005      2.834114E-005                NaN                NaN                NaN
           3.839725     -2.231897E-004      3.281672E-005      2.686114E-005                NaN                NaN                NaN
           4.188790     -2.774189E-004      3.362801E-005      2.585339E-005                NaN                NaN                NaN
           4.537856     -2.030888E-004      3.524944E-005      2.523499E-005                NaN                NaN                NaN
           4.886922     -1.768896E-005      3.745825E-005      2.531557E-005                NaN                NaN                NaN
           5.235988      2.530283E-004      3.365253E-005      2.609180E-005                NaN                NaN                NaN
           5.585054      4.508036E-004      3.801494E-005      2.725741E-005                NaN                NaN                NaN
           5.934120      3.018370E-004      5.104288E-005      2.884701E-005                NaN                NaN                NaN
           6.283185      1.648434E-004      5.609280E-005      2.939398E-005                NaN                NaN                NaN
