model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20181201      2458453.0      676.     -7.272155E-002      4.789519E+002      6.550775E+002      4.787619E+002      6.584603E+002      2.903009E-003      4.044409E-003      8.229737E-003      9.010599E-004      1.036804E+000
20181202      2458454.0     2172.     -7.263438E-002      4.789255E+002      6.542297E+002      4.786236E+002      6.584857E+002      2.911890E-003      3.042914E-003      8.892135E-003      9.498544E-004      8.656429E-001
20181203      2458455.0     2514.     -7.246994E-002      4.789762E+002      6.544623E+002      4.786544E+002      6.585215E+002      2.903653E-003      4.053772E-003      8.183335E-003      7.142632E-004      9.592221E-001
20181204      2458456.0       74.     -7.266640E-002      4.783018E+002      6.550504E+002      4.786569E+002      6.585995E+002      2.811311E-003      2.280357E-002      4.746833E-003      3.050653E-003      5.644155E+000
20181205      2458457.0     3862.     -7.234214E-002      4.789545E+002      6.541473E+002      4.786884E+002      6.582742E+002      2.922572E-003      2.355375E-003      9.437342E-003      6.247025E-004      1.458188E+000
20181207      2458459.0     4577.     -7.248936E-002      4.788463E+002      6.538661E+002      4.787413E+002      6.585389E+002      2.912151E-003      3.125720E-003      8.810896E-003      5.500139E-004      6.994977E-001
20181208      2458460.0     3913.     -7.240038E-002      4.788495E+002      6.541284E+002      4.786500E+002      6.584935E+002      2.903743E-003      3.998247E-003      8.238785E-003      7.231408E-004      1.376125E+000
20181209      2458461.0     2055.     -7.236684E-002      4.787672E+002      6.546317E+002      4.786724E+002      6.584592E+002      2.909438E-003      3.380054E-003      8.630837E-003      6.571098E-004      1.413339E+000
20181210      2458462.0     6194.     -7.238188E-002      4.788640E+002      6.541967E+002      4.786888E+002      6.584765E+002      2.909333E-003      3.409100E-003      8.608097E-003      5.026987E-004      1.280888E+000
20181211      2458463.0     7606.     -7.246125E-002      4.789232E+002      6.539533E+002      4.787237E+002      6.584912E+002      2.910807E-003      3.241530E-003      8.730765E-003      6.683148E-004      1.224151E+000
20181212      2458464.0     2239.     -7.260890E-002      4.786061E+002      6.550504E+002      4.787170E+002      6.584111E+002      2.904460E-003      3.910083E-003      8.286936E-003      6.523666E-004      1.630043E+000
20181213      2458465.0     6233.     -7.244828E-002      4.788304E+002      6.538756E+002      4.787007E+002      6.585258E+002      2.913329E-003      2.980534E-003      8.933131E-003      5.370186E-004      8.436401E-001
20181214      2458466.0     1803.     -7.285633E-002      4.794133E+002      6.560184E+002      4.786954E+002      6.583750E+002      2.889230E-003      5.605724E-003      7.522886E-003      3.364194E-004      9.066571E-001
20181215      2458467.0     1753.     -7.279637E-002      4.790579E+002      6.567362E+002      4.787065E+002      6.584100E+002      2.899060E-003      4.520203E-003      7.983423E-003      6.174337E-004      1.007324E+000
20181216      2458468.0     3591.     -7.257376E-002      4.789702E+002      6.548887E+002      4.786306E+002      6.585277E+002      2.899208E-003      4.412386E-003      8.052340E-003      6.897061E-004      5.697702E-001
20181218      2458470.0     5501.     -7.255689E-002      4.787350E+002      6.547863E+002      4.787687E+002      6.584653E+002      2.897616E-003      4.698193E-003      7.885503E-003      2.545988E-004      1.424263E+000
20181219      2458471.0     3136.     -7.250822E-002      4.789554E+002      6.537266E+002      4.787752E+002      6.584540E+002      2.920307E-003      2.470012E-003      9.344373E-003      5.746203E-004      1.009189E+000
20181220      2458472.0      391.     -7.248885E-002      4.786169E+002      6.539396E+002      4.788185E+002      6.585037E+002      2.879268E-003      6.407602E-003      7.321393E-003      1.962260E-004      5.835177E+000
20181221      2458473.0     3297.     -7.240588E-002      4.789266E+002      6.540222E+002      4.787086E+002      6.585203E+002      2.911496E-003      3.124329E-003      8.828487E-003      6.891767E-004      8.574865E-001
20181222      2458474.0     1131.     -7.232150E-002      4.790543E+002      6.537198E+002      4.786532E+002      6.585592E+002      2.914065E-003      2.906871E-003      8.988329E-003      6.891482E-004      9.750129E-001
20181223      2458475.0     1070.     -7.228359E-002      4.787323E+002      6.537737E+002      4.786652E+002      6.585352E+002      2.915379E-003      2.792600E-003      9.072705E-003      7.351343E-004      1.305607E+000
20181224      2458476.0     4506.     -7.235119E-002      4.789056E+002      6.538493E+002      4.786229E+002      6.585495E+002      2.914006E-003      2.897837E-003      8.996853E-003      6.107873E-004      1.201431E+000
20181225      2458477.0     8469.     -7.236954E-002      4.788707E+002      6.540948E+002      4.787260E+002      6.584836E+002      2.909993E-003      3.290103E-003      8.703187E-003      4.032599E-004      1.193960E+000
