model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20181201      2458453.0      676.      1.311214E-004      2.939157E-001      3.413793E-001      1.150186E-001      1.347836E-001      1.717858E-006      2.712189E-005      2.485021E-005      1.131515E-004      1.228620E-001
20181202      2458454.0     2172.      7.985647E-005      2.084155E-001      2.271055E-001      7.334890E-002      8.336101E-002      1.049275E-006      1.285213E-005      1.680988E-005      6.501241E-005      7.092579E-002
20181203      2458455.0     2514.      4.882483E-005      1.477842E-001      1.803707E-001      4.449460E-002      5.184828E-002      7.366559E-007      1.460139E-005      1.310408E-005      5.365433E-005      7.214386E-002
20181204      2458456.0       74.      3.768803E-004      1.073172E+000      1.144170E+000      3.538692E-001      4.363354E-001      5.458622E-006      4.492406E-004      5.750753E-005      1.922470E-004      5.591183E-002
20181205      2458457.0     3862.      5.090043E-005      1.368414E-001      1.476756E-001      5.834682E-002      6.624844E-002      7.519378E-007      5.874790E-006      1.055883E-005      3.792121E-005      7.762357E-002
20181207      2458459.0     4577.      4.040474E-005      1.172682E-001      1.304692E-001      4.048699E-002      4.702228E-002      5.606275E-007      7.497457E-006      9.437672E-006      3.384189E-005      7.646158E-002
20181208      2458460.0     3913.      4.129416E-005      1.311876E-001      1.548461E-001      3.528485E-002      4.122264E-002      5.899581E-007      1.334778E-005      1.245129E-005      4.537500E-005      7.022262E-002
20181209      2458461.0     2055.      6.856785E-005      1.787334E-001      2.033804E-001      5.089433E-002      6.180433E-002      9.244905E-007      1.471777E-005      1.437414E-005      6.373357E-005      1.045556E-001
20181210      2458462.0     6194.      3.388667E-005      9.516181E-002      1.053293E-001      2.964574E-002      3.467644E-002      4.593155E-007      7.280439E-006      7.770346E-006      3.276665E-005      7.081118E-002
20181211      2458463.0     7606.      2.880182E-005      8.514810E-002      9.888796E-002      2.590269E-002      3.053538E-002      3.978664E-007      6.335385E-006      7.479628E-006      3.103029E-005      4.363789E-002
20181212      2458464.0     2239.      6.977996E-005      1.774390E-001      1.945609E-001      5.595559E-002      6.541063E-002      8.833698E-007      1.641241E-005      1.489292E-005      6.244424E-005      9.807994E-002
20181213      2458465.0     6233.      2.867035E-005      8.170191E-002      8.967008E-002      2.798940E-002      3.251347E-002      4.023304E-007      4.970831E-006      6.318346E-006      2.626879E-005      4.485457E-002
20181214      2458466.0     1803.      8.461771E-005      1.982437E-001      1.962124E-001      7.467756E-002      8.284930E-002      1.039038E-006      2.266868E-005      1.426790E-005      5.180037E-005      1.478010E-001
20181215      2458467.0     1753.      9.578717E-005      2.219236E-001      2.322922E-001      7.328829E-002      8.672815E-002      1.147592E-006      2.311164E-005      1.817179E-005      8.098157E-005      1.317514E-001
20181216      2458468.0     3591.      5.141539E-005      1.339545E-001      1.317365E-001      4.653768E-002      5.360427E-002      6.836017E-007      1.218261E-005      9.700835E-006      4.598417E-005      7.828423E-002
20181218      2458470.0     5501.      4.289618E-005      1.151541E-001      1.249134E-001      3.645319E-002      4.189380E-002      5.578736E-007      1.244518E-005      9.331812E-006      3.547233E-005      1.698876E-001
20181219      2458471.0     3136.      4.509477E-005      1.281410E-001      1.480548E-001      5.085046E-002      6.081606E-002      6.533292E-007      6.104300E-006      1.022931E-005      3.539118E-005      6.659631E-002
20181220      2458472.0      391.      1.336030E-004      3.570725E-001      3.633711E-001      1.472071E-001      1.755022E-001      2.042570E-006      3.812267E-005      2.244675E-005      4.100993E-005      3.703958E-001
20181221      2458473.0     3297.      4.442744E-005      1.348892E-001      1.515531E-001      4.185554E-002      4.789133E-002      6.500916E-007      9.477541E-006      1.160275E-005      4.362061E-005      7.317635E-002
20181222      2458474.0     1131.      5.811133E-005      1.763537E-001      2.054397E-001      5.289933E-002      6.464398E-002      8.844904E-007      1.156796E-005      1.526420E-005      4.610823E-005      8.512439E-002
20181223      2458475.0     1070.      5.655966E-005      1.875626E-001      2.167571E-001      5.665774E-002      6.803451E-002      8.843966E-007      1.150819E-005      1.764935E-005      4.563048E-005      8.664323E-002
20181224      2458476.0     4506.      2.923091E-005      9.199563E-002      1.061776E-001      2.600479E-002      3.114679E-002      4.396016E-007      6.064994E-006      8.184568E-006      2.811441E-005      5.398047E-002
20181225      2458477.0     8469.      2.958009E-005      8.566200E-002      9.678719E-002      2.625594E-002      3.106662E-002      4.049267E-007      6.395001E-006      7.261248E-006      2.806123E-005      8.069973E-002
20181226      2458478.0    10529.      2.902456E-005      8.155239E-002      9.112462E-002      2.494205E-002      2.894452E-002      3.846951E-007      6.625061E-006      6.864356E-006      3.277620E-005      8.279949E-002
