model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181200      2458452.0        0.      0.    5.00E+000      0.3792      0.6127      0.0029     8.300    -0.300     8.596     8.555     8.755
20181201      2458453.0      676.      0.    5.00E+000      0.2908      0.7821      0.0029     8.300    -0.300     8.674     8.286     8.205
20181202      2458454.0     2172.      1.    5.00E+000      0.1973      0.9654      0.0029     8.366    -0.231    10.013     9.430     8.786
20181203      2458455.0     2514.      1.    5.00E+000      0.1194      1.1575      0.0029     8.013    -0.072     9.390     8.936     8.547
20181204      2458456.0       74.      0.    5.00E+000      0.0599      1.3471      0.0029     8.300    -0.300     7.200     7.189     7.629
20181205      2458457.0     3862.      1.    5.00E+000      0.0207      1.5312      0.0029     8.353    -0.298    10.242     9.668     9.088
20181206      2458458.0        0.      0.    5.00E+000      0.0035      1.8106      0.0029     8.300    -0.300     6.978     6.932     7.275
20181207      2458459.0     4577.      1.    5.00E+000      0.0051      1.6714      0.0029     8.181    -0.169    10.079     9.496     8.774
20181208      2458460.0     3913.      1.    5.00E+000      0.0273      1.5318      0.0029     8.039    -0.120     9.755     9.053     8.349
20181209      2458461.0     2055.      1.    5.00E+000      0.0672      1.3995      0.0029     7.940    -0.053     9.271     8.525     8.288
20181210      2458462.0     6194.      1.    5.00E+000      0.1226      1.2683      0.0029     8.046    -0.116     9.583     9.146     8.744
20181211      2458463.0     7606.      1.    5.00E+000      0.1910      1.1431      0.0029     8.085    -0.198    10.226     9.725     9.137
20181212      2458464.0     2239.      0.    5.00E+000      0.2700      1.0253      0.0029     8.300    -0.300     9.414     8.956     8.757
20181213      2458465.0     6233.      1.    5.00E+000      0.3573      0.9218      0.0029     8.137    -0.218     9.962     9.549     9.231
20181214      2458466.0     1803.      0.    5.00E+000      0.4504      0.8365      0.0029     8.300    -0.300     7.981     8.083     8.600
20181215      2458467.0     1753.      0.    5.00E+000      0.5467      0.7621      0.0029     8.300    -0.300     8.279     7.952     8.366
20181216      2458468.0     3591.      0.    5.00E+000      0.6434      0.6821      0.0029     8.300    -0.300     9.125     8.834     8.750
20181217      2458469.0        0.      0.    5.00E+000      0.7370      0.5995      0.0029     8.300    -0.300     7.274     7.311     7.855
20181218      2458470.0     5501.      1.    5.00E+000      0.8236      0.5169      0.0029     8.047    -0.062     9.454     8.997     8.555
20181219      2458471.0     3136.      1.    5.00E+000      0.8982      0.4392      0.0029     8.138    -0.258     9.686     9.467     9.024
20181220      2458472.0      391.      0.    5.00E+000      0.9555      0.3717      0.0029     8.300    -0.300     8.435     8.200     8.118
20181221      2458473.0     3297.      1.    5.00E+000      0.9903      0.3215      0.0029     8.305    -0.297     9.064     9.008     8.582
20181222      2458474.0     1131.      1.    5.00E+000      0.9987      0.2944      0.0029     8.300    -0.300     8.890     8.753     8.360
20181223      2458475.0     1070.      1.    5.00E+000      0.9783      0.2949      0.0029     8.300    -0.300     9.300     9.127     8.612
20181224      2458476.0     4506.      1.    5.00E+000      0.9300      0.3237      0.0029     8.173    -0.224     9.208     8.902     8.311
20181225      2458477.0     8469.      1.    5.00E+000      0.8571      0.3780      0.0029     8.162    -0.164     9.628     9.499     9.101
20181226      2458478.0    10529.      1.    5.00E+000      0.7650      0.4502      0.0029     8.155    -0.142    10.042     9.674     9.258
20181227      2458479.0     3548.      1.    5.00E+000      0.6604      0.5346      0.0029     8.407    -0.207    10.139     9.682     9.125
20181228      2458480.0     3065.      1.    5.00E+000      0.5492      0.6243      0.0029     8.288    -0.239    10.173     9.636     9.005
20181229      2458481.0     2094.      1.    5.00E+000      0.4390      0.7171      0.0029     8.006    -0.019     8.484     8.192     8.237
20181230      2458482.0     3324.      1.    5.00E+000      0.3342      0.8376      0.0029     8.061    -0.063     8.643     8.117     8.209
20181231      2458483.0      281.      0.    5.00E+000      0.2496      1.9517      0.0029     8.300    -0.300     7.034     7.224     7.949
