model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000      1.202856E-004      1.167883E-005      1.845207E-005     -2.570917E-005      5.883438E-005      1.651829E-005
           0.087266                NaN                NaN                NaN      2.955115E-005      2.160525E-005      1.642306E-005
           0.174533                NaN                NaN                NaN      1.741201E-005      1.427127E-005      1.660434E-005
           0.261799                NaN                NaN                NaN     -5.385947E-005      1.274426E-005      1.698681E-005
           0.349066      1.369752E-004      9.997419E-006      1.819108E-005     -1.021927E-004      1.153275E-005      1.751105E-005
           0.436332                NaN                NaN                NaN     -1.037019E-004      1.142308E-005      1.810402E-005
           0.523599                NaN                NaN                NaN     -6.134652E-005      1.066676E-005      1.868292E-005
           0.610865                NaN                NaN                NaN      3.232119E-005      1.117958E-005      1.915977E-005
           0.698132      4.056723E-005      1.081400E-005      1.715108E-005      1.139234E-004      1.202349E-005      1.944973E-005
           0.785398                NaN                NaN                NaN      2.033878E-004      1.192620E-005      1.949016E-005
           0.872665                NaN                NaN                NaN      1.181348E-004      1.369160E-005      1.928416E-005
           0.959931                NaN                NaN                NaN     -1.125073E-004      1.577272E-005      1.899175E-005
           1.047198     -8.118387E-005      1.042479E-005      1.633428E-005     -3.826589E-004      1.901622E-005      1.908618E-005
           1.134464                NaN                NaN                NaN     -3.517904E-004      2.950572E-005      2.048246E-005
           1.221731                NaN                NaN                NaN      2.028412E-004      3.537765E-005      2.430913E-005
           1.308997                NaN                NaN                NaN      2.009269E-003      7.028555E-005      3.131204E-005
           1.396263     -1.246717E-004      9.385579E-006      1.580269E-005      3.866185E-003      3.770538E-004      4.167157E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      5.531769E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      7.215574E-005
           1.745329     -6.095059E-005      9.374980E-006      1.586282E-005                NaN                NaN                NaN
           2.094395     -4.357896E-005      1.168334E-005      1.649807E-005                NaN                NaN                NaN
           2.443461     -1.087099E-005      1.305284E-005      1.738647E-005                NaN                NaN                NaN
           2.792527      5.079837E-005      1.173066E-005      1.850907E-005                NaN                NaN                NaN
           3.141593      1.462274E-004      1.107947E-005      1.874355E-005                NaN                NaN                NaN
           3.490659      9.740555E-005      1.331338E-005      1.852652E-005                NaN                NaN                NaN
           3.839725      5.474153E-005      1.555650E-005      1.777421E-005                NaN                NaN                NaN
           4.188790     -1.071983E-004      1.442409E-005      1.710328E-005                NaN                NaN                NaN
           4.537856     -1.865702E-004      1.158352E-005      1.671572E-005                NaN                NaN                NaN
           4.886922     -1.260437E-004      1.194552E-005      1.672726E-005                NaN                NaN                NaN
           5.235988      6.407737E-005      1.201826E-005      1.704982E-005                NaN                NaN                NaN
           5.585054      7.979947E-005      1.207551E-005      1.760765E-005                NaN                NaN                NaN
           5.934120      4.826297E-005      1.483409E-005      1.828764E-005                NaN                NaN                NaN
           6.283185      1.202856E-004      1.167883E-005      1.845207E-005                NaN                NaN                NaN
