model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20180401      2458209.0      194.      1.    5.00E+000      0.9690      0.9094      0.0029     0.050     0.039     0.608     0.846     0.924
20180402      2458210.0       50.      1.    5.00E+000      0.9311      0.9673      0.0029     0.150     0.113     0.829     0.857     0.890
20180403      2458211.0     1182.      1.    5.00E+000      0.8713      1.0283      0.0029     0.011     0.007     0.639     0.473     0.633
20180404      2458212.0        0.      0.    5.00E+000      0.7982      1.0754      0.0029     0.000     0.000     0.733     0.756     0.869
20180405      2458213.0     3452.      1.    5.00E+000      0.7155      1.1068      0.0029     0.009     0.006     0.345     0.444     0.699
20180406      2458214.0    10591.      1.    5.00E+000      0.6257      1.1341      0.0029     0.004     0.002     0.365     0.439     0.656
20180407      2458215.0     9383.      1.    5.00E+000      0.5330      1.1849      0.0029     0.004     0.003     0.345     0.425     0.717
20180408      2458216.0        0.      0.    5.00E+000      0.4386      1.2386      0.0029     0.000     0.000     0.171     0.347     0.733
20180409      2458217.0        0.      0.    5.00E+000      0.3461      1.3226      0.0029     0.000     0.000     0.379     0.458     0.655
20180410      2458218.0     1473.      1.    5.00E+000      0.2578      1.3941      0.0029     0.010     0.005     0.572     0.525     0.636
20180411      2458219.0      670.      1.    5.00E+000      0.1771      1.4699      0.0029     0.026     0.020     0.717     0.669     0.841
20180412      2458220.0       62.      1.    5.00E+000      0.1077      1.5752      0.0029     0.066     0.043     0.349     0.421     0.696
20180413      2458221.0     6136.      1.    5.00E+000      0.0528      1.6660      0.0029     0.007     0.004     0.339     0.414     0.690
20180414      2458222.0        0.      0.    5.00E+000      0.0164      1.7537      0.0029     0.000     0.000     0.240     0.372     0.773
20180415      2458223.0     2109.      1.    5.00E+000      0.0021      1.8321      0.0029     0.019     0.015     0.583     0.547     0.631
20180416      2458224.0     4520.      1.    5.00E+000      0.0120      1.6247      0.0029     0.013     0.010     0.504     0.423     0.607
20180417      2458225.0     7815.      1.    5.00E+000      0.0472      1.4440      0.0029     0.005     0.003     0.606     0.519     0.652
20180418      2458226.0     9554.      1.    5.00E+000      0.1067      1.2429      0.0029     0.005     0.003     0.448     0.511     0.684
20180419      2458227.0     9196.      1.    5.00E+000      0.1872      1.0449      0.0029     0.005     0.003     0.547     0.594     0.784
20180420      2458228.0     9812.      1.    5.00E+000      0.2851      0.8871      0.0029     0.004     0.003     0.288     0.384     0.624
20180421      2458229.0     9780.      1.    5.00E+000      0.3946      0.7181      0.0029     0.004     0.002     0.402     0.519     0.589
20180422      2458230.0     8180.      1.    5.00E+000      0.5086      0.5858      0.0029     0.005     0.003     0.474     0.603     0.709
20180423      2458231.0     5437.      1.    5.00E+000      0.6207      0.5190      0.0029     0.008     0.005     0.591     0.745     0.815
20180424      2458232.0     5831.      1.    5.00E+000      0.7262      0.5402      0.0029     0.006     0.004     0.626     0.816     0.775
20180425      2458233.0     4579.      1.    5.00E+000      0.8190      0.6137      0.0029     0.006     0.004     0.564     0.881     0.735
20180426      2458234.0     3146.      1.    5.00E+000      0.8948      0.6952      0.0029     0.009     0.006     0.415     0.899     0.653
20180427      2458235.0      446.      1.    5.00E+000      0.9510      0.7798      0.0029     0.020     0.015     0.336     0.923     0.811
20180428      2458236.0        0.      0.    5.00E+000      0.9855      0.8622      0.0029     0.000     0.000     0.265     0.884     0.907
20180429      2458237.0        0.      0.    5.00E+000      0.9980      0.9388      0.0029     0.000     0.000     0.663     0.740     1.088
20180430      2458238.0        0.      0.    5.00E+000      0.9911      1.1326      0.0029     0.000     0.000     0.568     0.505     0.935
